"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void aiter::cross_device_reduce_2stage<std::bfloat16_t, 8, false>(aiter::RankData*, aiter::RankData*, aiter::RankSignals, aiter::Signal*, std::bfloat16_t*, int, int)",1842876,18444334160200519208,10008451008207.019531,100.00,0,18444333982068332529,2113738.567990
"ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<4096ul>)",1191325,553877020838,464925.205832,3.003e-06,1800,43243012055,2666331.425072
"aiter::fmha_fwd_hd192_hd128_bf16_group",178272,403240812331,2261941.372347,2.186e-06,0,23567239,2549352.365419
"mfma_moe1_silu_mul_afp8_wfp4_bf16_t64x128x256_pm1_async_gui_xcd4_situv2_sb4p0_slb25p0_v32",174892,97820994596,559322.293736,5.304e-07,384243,11991171,560905.226802
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT8_7_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW8_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA8_VWB1_WSGRA0_WSGRB0_WS64_WG32_8_1",509698,87947441569,172548.139426,4.768e-07,23520,12511475,194199.548383
"mfma_moe2_afp8_wfp4_bf16_cshuffle_t64x256x128_vscale_fix3_fp4opt_v1_pm1_xcd4_acc0",174892,77300998739,441992.765472,4.191e-07,273842,1508992,441997.971817
"_attn_res_kernel",1515822,73958024344,48790.705204,4.010e-07,0,9038208,89807.822823
"aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_lse_ps",157152,59781321627,380404.459549,3.241e-07,0,7443434,453016.080672
"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT8_8_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW8_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA8_VWB8_WSGRA0_WSGRB0_WS64_WG32_8_1",132526,54470901638,411020.491360,2.953e-07,25120,1582583,433874.971859
"chunk_gated_delta_rule_fwd_kernel_h_blockdim64",163117,45366068677,278119.807727,2.460e-07,0,10857562,301049.633743
