Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),206.51,0.00,7520.45,,,,,,204.27,,337.15,373.09,422.94,98.03
Active Decode Throughput Per User (tokens/sec/user),20.54,0.00,7520.45,,,,,,21.32,,29.91,32.55,39.00,15.34
Active Prefill Throughput (tokens/sec),58275.36,361.41,284853.91,,,,,,51699.65,,115199.97,146221.14,190834.89,44128.53
Active Prefill Throughput Per User (tokens/sec/user),37228.82,361.41,190834.89,,,,,,26031.57,,82679.59,86310.64,96832.83,32092.20
Active Total Throughput (tokens/sec),36204.34,18.27,285085.42,,,,,,14629.39,,91664.64,127928.78,174940.67,44766.01
Credit Drop Latency (ms),316.72,10.60,3774.50,6651.10,11.51,15.13,16.02,24.51,95.19,174.16,415.51,925.97,3204.79,798.49
Credit-to-Start Latency (ms),14.19,0.74,3774.99,9662.17,0.98,1.26,1.41,1.60,1.90,2.25,2.73,14.57,169.91,152.58
E2E Output Token Throughput (tokens/sec/user),17.75,0.43,58.76,12087.41,1.70,4.04,6.01,11.48,18.01,23.52,28.79,30.69,34.50,8.55
Effective Concurrency,11.69,1.00,18.00,,,,,,12.00,,15.00,16.00,17.00,2.67
Effective Decode Concurrency,10.33,0.00,16.00,,,,,,10.00,,13.00,15.00,16.00,2.58
Effective Decode Throughput (tokens/sec),206.43,0.00,7520.45,,,,,,204.27,,337.15,373.09,422.94,98.09
Effective Decode Throughput Per User (tokens/sec/user),20.53,0.00,7520.45,,,,,,21.32,,29.91,32.55,39.00,15.34
Effective Latency (CO-aware) (ms),31353.99,506.09,1604907.95,21352067.19,1314.78,2001.49,3724.42,6795.67,15395.84,29761.79,61141.25,102915.31,289169.91,76898.26
Effective Prefill Concurrency,1.36,0.00,8.00,,,,,,1.00,,3.00,5.00,7.00,1.57
Effective Prefill Throughput (tokens/sec),35993.08,0.00,284853.91,,,,,,14483.77,,91362.17,127739.99,174747.69,44774.45
Effective Prefill Throughput Per User (tokens/sec/user),22993.94,0.00,190834.89,,,,,,6937.64,,77493.83,84259.33,92228.46,31039.12
Effective Total Throughput (tokens/sec),36204.34,18.27,285085.42,,,,,,14629.39,,91664.64,127928.78,174940.67,44766.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,565.98,6.00,33198.00,385432.00,7.00,12.00,31.00,120.00,212.00,512.00,1150.00,1913.00,5753.60,1574.92
HTTP Chunks Sent,1.00,1.00,1.00,681.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.33,0.00,2.07,226.20,0.00,0.00,0.00,0.00,0.00,0.65,0.78,1.05,1.40,0.40
HTTP Connection Overhead (ms),0.38,0.00,3.17,258.77,0.00,0.00,0.00,0.00,0.00,0.65,0.86,1.51,1.98,0.51
HTTP Connection Reused (ratio),0.55,0.00,1.00,376.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),139.45,2.06,8154.25,94967.92,2.32,3.52,8.23,29.89,52.48,125.68,283.40,468.49,1419.28,386.84
HTTP Data Sent (KB),380.13,1.76,999.80,258869.59,2.71,146.34,185.55,241.63,369.05,488.13,553.65,622.78,979.30,182.50
HTTP DNS Lookup (ms),0.05,0.00,1.11,32.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.59,0.15
HTTP Duration (excl. conn) (ms),31339.70,492.37,1604904.80,21342332.59,1229.05,1986.77,3722.66,6793.93,15393.62,29759.61,61139.14,102912.96,289168.43,76899.81
HTTP Receiving (ms),27689.80,109.26,1602627.10,18856755.43,156.80,457.52,1738.68,4493.94,10556.60,25160.98,56901.80,98886.45,286201.71,76720.99
HTTP Sending (ms),0.59,0.09,2.31,399.28,0.14,0.20,0.22,0.24,0.28,0.91,1.08,1.33,1.76,0.42
HTTP Total Time (ms),31340.08,494.33,1604905.58,21342591.35,1229.05,1986.77,3723.22,6793.93,15393.62,29759.61,61140.64,102913.63,289168.55,76899.85
HTTP Waiting (TTFB) (ms),3649.31,84.87,34639.27,2485177.88,417.80,707.85,825.48,1225.60,1686.40,3419.35,8051.51,12758.53,32322.65,5418.21
Input Sequence Length (tokens),96517.82,420.00,254590.00,65728633.00,628.20,37903.00,47126.00,61209.00,93517.00,124033.00,140474.00,158199.00,249545.80,46402.33
Inter Chunk Latency (ms),49.07,0.25,4432.51,18856627.86,11.59,18.02,19.87,23.06,24.63,26.71,32.31,40.68,849.31,176.09
Inter Token Latency (ms),54.12,12.13,891.04,36854.36,20.14,24.66,26.36,30.71,40.90,56.18,85.80,121.21,276.88,56.92
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),567.52,6.00,33304.00,386478.00,7.00,12.00,31.00,120.00,212.00,515.00,1154.00,1921.00,5768.00,1579.70
Output Token Count (tokens),567.52,6.00,33304.00,386478.00,7.00,12.00,31.00,120.00,212.00,515.00,1154.00,1921.00,5768.00,1579.70
Output Token Throughput Per User (tokens/sec/user),25.07,1.12,82.45,17075.83,3.61,8.25,11.65,17.80,24.45,32.57,37.94,40.56,49.66,10.65
Prefill Throughput Per User (tokens/sec/user),53381.37,115.08,190834.87,36352715.00,1567.07,4944.61,8473.82,23846.27,57436.60,79515.94,85952.50,89297.17,161883.40,33204.45
Request Latency (ms),31339.72,492.52,1604904.94,21342347.11,1229.15,1986.87,3722.75,6794.05,15393.73,29759.70,61139.24,102913.06,289168.53,76899.63
Requested OSL (tokens),567.52,6.00,33304.00,386478.00,7.00,12.00,31.00,120.00,212.00,515.00,1154.00,1921.00,5768.00,1579.70
Time to First Output Token (ms),3650.10,85.87,34640.39,2485719.25,419.37,708.88,826.01,1225.94,1688.79,3420.48,8051.85,12759.53,32323.80,5418.23
Time to First Token (ms),3650.10,85.87,34640.39,2485719.25,419.37,708.88,826.01,1225.94,1688.79,3420.48,8051.85,12759.53,32323.80,5418.23
Time to Second Token (ms),188.50,0.98,4432.45,128366.43,10.96,22.06,24.62,27.71,31.07,125.41,517.57,886.01,2384.54,440.49
Tokens In Flight (tokens),1401549.74,60378.00,2104820.00,,,,,,1382319.85,,1827472.13,1906493.37,2067378.25,316958.38
Usage Completion Tokens (tokens),567.52,6.00,33304.00,386478.00,7.00,12.00,31.00,120.00,212.00,515.00,1154.00,1921.00,5768.00,1579.70
Usage Prompt Tokens (tokens),96517.82,420.00,254590.00,65728633.00,628.20,37903.00,47126.00,61209.00,93517.00,124033.00,140474.00,158199.00,249545.80,46402.33
Usage Total Tokens (tokens),97085.33,436.00,254671.00,66115111.00,653.40,38032.00,48156.00,61715.00,93649.00,124211.00,141052.00,159276.00,250319.00,46707.95

Metric,Value
Benchmark Duration (sec),1826.15
Input Token Throughput (tokens/sec),35993.08
Maximum Response Timestamp (ns),1780146065043209216.00
Minimum Request Timestamp (ns),1780144238896845312.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),211.64
Request Count,681.00
Request Throughput (requests/sec),0.37
Theoretical Prefix Cache Hit (%),95.53
Total Input Sequence Length (tokens),65728633.00
Total Output Sequence Length (tokens),386478.00
Total Output Tokens (tokens),386478.00
Total Token Throughput (tokens/sec),36204.72
Total Usage Completion Tokens (tokens),386478.00
Total Usage Prompt Tokens (tokens),65728633.00
Total Usage Total Tokens (tokens),66115111.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
