Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),84.47,0.00,239.46,,,,,,84.86,,87.57,88.60,92.70,6.56
Active Decode Throughput Per User (tokens/sec/user),84.47,0.00,239.46,,,,,,84.86,,87.57,88.60,92.70,6.56
Active Prefill Throughput (tokens/sec),76281.14,104.27,110528.18,,,,,,97757.40,,105879.00,106399.02,109667.29,34437.74
Active Prefill Throughput Per User (tokens/sec/user),76281.14,104.27,110528.18,,,,,,97757.40,,105879.00,106399.02,109667.29,34437.74
Active Total Throughput (tokens/sec),11386.96,30.19,110528.18,,,,,,85.24,,61065.60,102495.68,106259.84,30155.72
Credit Drop Latency (ms),1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,1453.00,0.00
Credit-to-Start Latency (ms),18.52,0.64,1454.18,1555.88,0.79,0.90,0.95,1.00,1.15,1.29,1.53,2.36,249.38,157.58
E2E Output Token Throughput (tokens/sec/user),62.23,6.40,84.69,5227.29,17.20,35.49,40.85,52.46,65.07,75.12,80.54,81.59,83.68,16.20
Effective Concurrency,0.62,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.49
Effective Decode Concurrency,0.52,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.50
Effective Decode Throughput (tokens/sec),44.35,0.00,239.46,,,,,,81.06,,86.87,87.64,90.23,42.45
Effective Decode Throughput Per User (tokens/sec/user),44.33,0.00,239.46,,,,,,81.05,,86.87,87.64,90.23,42.45
Effective Latency (CO-aware) (ms),12950.44,2215.64,65752.95,1087837.22,2679.20,2980.00,3229.68,4696.88,7209.94,15885.88,28690.56,42452.96,60835.70,13762.82
Effective Prefill Concurrency,0.09,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),6971.17,0.00,110528.18,,,,,,0.00,,0.00,77288.63,105739.27,24321.87
Effective Prefill Throughput Per User (tokens/sec/user),6971.17,0.00,110528.18,,,,,,0.00,,0.00,77288.63,105739.27,24321.87
Effective Total Throughput (tokens/sec),7015.60,0.00,110528.18,,,,,,82.48,,88.28,77288.63,105739.27,24309.17
