Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),120.61,0.00,13841.86,,,,,,111.98,,239.68,269.89,326.63,80.80
Active Decode Throughput Per User (tokens/sec/user),5.47,0.00,7498.70,,,,,,4.68,,9.89,11.72,24.95,7.81
Active Prefill Throughput (tokens/sec),28241.02,1962.72,420187.52,,,,,,22926.00,,45047.55,55130.22,131666.76,24177.70
Active Prefill Throughput Per User (tokens/sec/user),3050.99,873.48,188294.71,,,,,,1905.47,,4469.42,5642.62,19288.04,7517.82
Active Total Throughput (tokens/sec),28158.56,11.15,420206.62,,,,,,23041.55,,45178.85,55092.05,131716.72,24214.92
Credit Drop Latency (ms),283.89,4.53,3753.18,8800.74,4.55,4.90,6.54,17.18,20.88,158.50,570.37,1147.71,3047.07,704.50
Credit-to-Start Latency (ms),25.38,0.26,3753.58,12438.29,0.55,0.72,0.78,0.87,1.03,1.28,18.55,73.07,556.41,193.70
E2E Output Token Throughput (tokens/sec/user),3.50,0.01,26.63,1716.15,0.26,0.78,1.20,1.84,2.89,4.48,5.89,7.51,17.73,2.91
Effective Concurrency,34.40,1.00,42.00,,,,,,36.00,,39.00,40.00,41.00,6.05
Effective Decode Concurrency,22.69,0.00,31.00,,,,,,23.00,,26.00,27.00,29.00,4.18
Effective Decode Throughput (tokens/sec),120.56,0.00,13841.86,,,,,,111.97,,239.61,269.89,326.63,80.82
Effective Decode Throughput Per User (tokens/sec/user),5.47,0.00,7498.70,,,,,,4.68,,9.89,11.72,24.95,7.81
Effective Latency (CO-aware) (ms),128328.54,1795.57,1234517.51,62880984.29,7437.98,20683.49,32192.77,57310.86,88918.88,147116.63,236680.40,358677.43,686043.80,141083.19
Effective Prefill Concurrency,11.71,0.00,22.00,,,,,,11.00,,17.00,18.00,20.00,3.70
Effective Prefill Throughput (tokens/sec),28027.98,0.00,420187.52,,,,,,22926.00,,45024.05,54975.57,131666.76,24209.96
Effective Prefill Throughput Per User (tokens/sec/user),3027.98,0.00,188294.71,,,,,,1905.47,,4449.91,5624.93,19288.04,7494.06
Effective Total Throughput (tokens/sec),28158.56,11.15,420206.62,,,,,,23041.55,,45178.85,55092.05,131716.72,24214.92
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,487.68,1.00,6719.00,238962.00,9.00,24.00,80.80,120.25,226.00,481.75,1146.10,1769.10,3682.49,789.68
HTTP Chunks Sent,1.00,1.00,1.00,490.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.26,0.00,1.52,127.54,0.00,0.00,0.00,0.00,0.30,0.43,0.65,0.71,0.89,0.28
HTTP Connection Overhead (ms),0.32,0.00,1.52,158.64,0.00,0.00,0.00,0.00,0.30,0.43,0.93,0.99,1.26,0.38
HTTP Connection Reused (ratio),0.48,0.00,1.00,237.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),120.11,0.84,1645.94,58851.73,2.84,6.48,20.32,30.10,56.06,118.61,281.30,435.53,901.19,193.44
HTTP Data Sent (KB),412.24,1.49,1024.80,201997.09,8.69,141.41,191.12,252.72,368.29,508.29,731.88,881.66,954.59,214.39
HTTP DNS Lookup (ms),0.06,0.00,0.42,31.10,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.31,0.37,0.12
