Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,avg,441.62
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,min,0.00
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,max,7498.70
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,p50,343.47
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,p90,882.42
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,p95,1828.61
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,p99,2618.37
0,1780245764937105152,1780245765937105152,Active Decode Throughput,tokens/sec,std,516.55
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,avg,441.62
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,max,7498.70
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,p50,343.47
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,p90,882.42
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,p95,1828.61
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,p99,2618.37
0,1780245764937105152,1780245765937105152,Active Decode Throughput Per User,tokens/sec/user,std,516.55
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,avg,195754.64
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,min,48747.07
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,max,237041.78
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,p50,237041.78
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,p90,237041.78
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,p95,237041.78
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,p99,237041.78
0,1780245764937105152,1780245765937105152,Active Prefill Throughput,tokens/sec,std,67191.98
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,avg,123297.41
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,min,48747.07
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,max,188294.71
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,p50,118520.89
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,p90,188294.71
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,p95,188294.71
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,p99,188294.71
0,1780245764937105152,1780245765937105152,Active Prefill Throughput Per User,tokens/sec/user,std,43235.45
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,avg,195757.70
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,min,48766.16
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,max,237041.78
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,p50,237041.78
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,p90,237041.78
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,p95,237041.78
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,p99,237041.78
0,1780245764937105152,1780245765937105152,Active Total Throughput,tokens/sec,std,67185.29
0,1780245764937105152,1780245765937105152,Benchmark Duration,sec,avg,7.81
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,avg,18.04
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,min,16.58
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,max,19.51
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,sum,36.09
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p1,16.60
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p5,16.72
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p10,16.87
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p25,17.31
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p50,18.04
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p75,18.78
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p90,19.22
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p95,19.36
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,p99,19.48
0,1780245764937105152,1780245765937105152,E2E Output Token Throughput,tokens/sec/user,std,1.47
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,avg,1.77
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,min,1.00
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,max,2.00
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,p50,2.00
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,p90,2.00
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,p95,2.00
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,p99,2.00
0,1780245764937105152,1780245765937105152,Effective Concurrency,requests,std,0.42
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,avg,0.16
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,min,0.00
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,max,1.00
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,p50,0.00
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,p90,1.00
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,p95,1.00
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,p99,1.00
0,1780245764937105152,1780245765937105152,Effective Decode Concurrency,requests,std,0.37
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,avg,70.70
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,min,0.00
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,max,7498.70
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,p90,240.85
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,p95,348.98
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,p99,975.55
0,1780245764937105152,1780245765937105152,Effective Decode Throughput,tokens/sec,std,262.57
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,avg,70.70
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,max,7498.70
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,p90,240.85
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,p95,348.98
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,p99,975.55
0,1780245764937105152,1780245765937105152,Effective Decode Throughput Per User,tokens/sec/user,std,262.57
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,avg,1.61
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,min,1.00
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,max,2.00
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,p50,2.00
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,p90,2.00
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,p95,2.00
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,p99,2.00
0,1780245764937105152,1780245765937105152,Effective Prefill Concurrency,requests,std,0.49
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,avg,195754.64
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,min,48747.07
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,max,237041.78
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,p50,237041.78
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,p90,237041.78
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,p95,237041.78
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,p99,237041.78
0,1780245764937105152,1780245765937105152,Effective Prefill Throughput,tokens/sec,std,67191.98
