Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),11.93,0.00,511.74,,,,,,10.44,,17.32,30.07,55.37,10.58
Active Decode Throughput Per User (tokens/sec/user),1.06,0.00,96.26,,,,,,0.80,,1.64,2.26,7.25,1.91
Active Prefill Throughput (tokens/sec),6490.98,695.15,196097.61,,,,,,5131.55,,7856.05,16043.95,54134.24,9255.96
Active Prefill Throughput Per User (tokens/sec/user),536.29,279.22,189145.30,,,,,,342.81,,695.15,695.15,5976.34,2925.66
Active Total Throughput (tokens/sec),6165.93,1.28,196097.61,,,,,,5001.70,,6647.46,16052.80,54136.99,9125.01
Credit Drop Latency (ms),746.90,43.26,3628.69,5975.23,44.47,49.30,55.33,78.17,197.73,822.28,1788.85,2708.77,3444.71,1140.18
Credit-to-Start Latency (ms),101.74,0.93,3629.15,9868.50,1.03,1.42,1.57,1.96,2.71,62.90,150.29,317.01,1106.02,391.20
E2E Output Token Throughput (tokens/sec/user),0.42,0.00,0.97,40.77,0.04,0.07,0.14,0.26,0.37,0.59,0.72,0.82,0.96,0.23
Effective Concurrency,26.89,1.00,36.00,,,,,,30.00,,35.00,36.00,36.00,8.38
Effective Decode Concurrency,13.19,0.00,19.00,,,,,,14.00,,17.00,17.00,18.00,3.61
Effective Decode Throughput (tokens/sec),11.92,0.00,511.74,,,,,,10.44,,17.32,30.07,55.37,10.58
Effective Decode Throughput Per User (tokens/sec/user),1.06,0.00,96.26,,,,,,0.80,,1.64,2.26,7.25,1.91
Effective Latency (CO-aware) (ms),505587.54,27634.52,1620048.45,49041991.68,28966.22,221785.23,253728.23,340003.68,438002.31,554282.82,833885.51,1063391.57,1537295.31,290906.29
Effective Prefill Concurrency,13.70,0.00,26.00,,,,,,15.00,,19.00,22.00,26.00,5.86
Effective Prefill Throughput (tokens/sec),6152.68,0.00,196097.61,,,,,,4986.86,,6633.51,16043.95,54132.05,9126.29
Effective Prefill Throughput Per User (tokens/sec/user),508.34,0.00,189145.30,,,,,,339.70,,661.19,695.15,5652.38,2850.89
Effective Total Throughput (tokens/sec),6165.93,1.28,196097.61,,,,,,5001.70,,6647.46,16052.80,54136.99,9125.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,250.00,1.00,1557.00,24250.00,9.64,23.00,27.60,99.00,148.00,266.00,594.60,730.80,1497.48,296.76
HTTP Chunks Sent,1.00,1.00,1.00,97.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.71,0.00,1.42,69.05,0.00,0.00,0.00,0.00,0.98,1.16,1.30,1.35,1.42,0.53
HTTP Connection Overhead (ms),0.96,0.00,2.02,93.46,0.00,0.00,0.00,0.00,1.36,1.67,1.86,1.91,1.97,0.76
