Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,avg,63.55
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,min,0.00
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,max,71.85
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,p50,71.38
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,p90,71.71
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,p95,71.85
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,p99,71.85
0,1780121645769447680,1780121646769447680,Active Decode Throughput,tokens/sec,std,10.23
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,avg,63.55
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,max,71.85
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,p50,71.38
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,p90,71.71
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,p95,71.85
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,p99,71.85
0,1780121645769447680,1780121646769447680,Active Decode Throughput Per User,tokens/sec/user,std,10.23
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,avg,163535.17
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,min,6952.32
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,max,196097.61
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,p50,196097.61
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,p90,196097.61
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,p95,196097.61
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,p99,196097.61
0,1780121645769447680,1780121646769447680,Active Prefill Throughput,tokens/sec,std,69378.52
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,avg,103641.65
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,min,6952.32
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,max,189145.30
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,p50,98048.81
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,p90,189145.30
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,p95,189145.30
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,p99,189145.30
0,1780121645769447680,1780121646769447680,Active Prefill Throughput Per User,tokens/sec/user,std,56551.52
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,avg,163535.31
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,min,6953.19
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,max,196097.61
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,p50,196097.61
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,p90,196097.61
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,p95,196097.61
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,p99,196097.61
0,1780121645769447680,1780121646769447680,Active Total Throughput,tokens/sec,std,69378.20
0,1780121645769447680,1780121646769447680,Benchmark Duration,sec,avg,228.69
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,avg,0.76
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,min,0.65
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,max,0.88
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,sum,1.52
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p1,0.65
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p5,0.66
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p10,0.67
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p25,0.70
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p50,0.76
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p75,0.82
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p90,0.85
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p95,0.86
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,p99,0.87
0,1780121645769447680,1780121646769447680,E2E Output Token Throughput,tokens/sec/user,std,0.11
