Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),140.28,0.00,145434.86,,,,,,144.08,,232.62,268.12,322.92,85.44
Active Decode Throughput Per User (tokens/sec/user),59.90,0.00,145434.86,,,,,,69.33,,82.97,87.84,98.34,42.58
Active Prefill Throughput (tokens/sec),53658.01,428.52,329051.90,,,,,,42167.52,,100512.07,104396.84,189038.44,41818.24
Active Prefill Throughput Per User (tokens/sec/user),46753.50,428.52,210529.97,,,,,,37426.56,,98969.83,100740.11,111070.80,37937.10
Active Total Throughput (tokens/sec),17538.21,29.99,329051.90,,,,,,197.56,,80796.57,98004.36,136128.24,34594.20
Credit Drop Latency (ms),443.81,2.37,3566.21,4438.13,2.41,2.57,2.77,9.58,15.16,86.03,948.16,2257.18,3304.40,1058.00
Credit-to-Start Latency (ms),17.14,0.45,3566.87,4902.86,0.61,0.72,0.78,0.86,0.99,1.16,1.30,3.15,93.66,213.99
E2E Output Token Throughput (tokens/sec/user),44.90,4.13,81.02,12841.95,5.30,12.23,18.61,34.61,47.41,57.48,64.22,68.18,75.04,17.07
Effective Concurrency,2.47,0.00,6.00,,,,,,3.00,,4.00,4.00,5.00,1.23
Effective Decode Concurrency,2.08,0.00,4.00,,,,,,2.00,,4.00,4.00,4.00,1.16
Effective Decode Throughput (tokens/sec),126.16,0.00,145434.86,,,,,,138.66,,227.67,259.59,322.82,90.85
Effective Decode Throughput Per User (tokens/sec/user),53.59,0.00,145434.86,,,,,,67.80,,82.58,87.62,97.83,44.27
Effective Latency (CO-aware) (ms),15394.61,636.41,175371.72,4402858.61,1099.08,2014.93,2351.40,3679.61,5846.81,12698.00,35737.68,64304.35,132638.02,26310.51
Effective Prefill Concurrency,0.39,0.00,4.00,,,,,,0.00,,1.00,2.00,2.00,0.65
Effective Prefill Throughput (tokens/sec),16212.67,0.00,329051.90,,,,,,0.00,,73478.32,97176.53,134429.08,33696.81
Effective Prefill Throughput Per User (tokens/sec/user),14126.49,0.00,210529.97,,,,,,0.00,,66845.96,93897.75,101726.93,29929.32
Effective Total Throughput (tokens/sec),16339.25,0.00,329051.90,,,,,,191.74,,73669.51,97326.64,134479.64,33682.87
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,787.62,7.00,10141.00,225260.00,7.85,77.75,97.50,132.00,239.50,558.25,1778.50,3458.50,8267.70,1573.07
HTTP Chunks Sent,1.00,1.00,1.00,286.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.15,0.00,0.98,44.21,0.00,0.00,0.00,0.00,0.00,0.36,0.43,0.60,0.72,0.22
HTTP Connection Overhead (ms),0.17,0.00,1.38,48.90,0.00,0.00,0.00,0.00,0.00,0.36,0.43,0.81,1.01,0.27
HTTP Connection Reused (ratio),0.65,0.00,1.00,185.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),193.53,2.31,2487.17,55350.97,2.53,19.65,24.54,32.78,59.27,136.83,438.04,847.68,2027.40,385.59
HTTP Data Sent (KB),397.41,1.82,799.92,113659.58,105.39,160.20,208.26,297.44,390.71,499.08,606.34,630.20,738.54,149.62
HTTP DNS Lookup (ms),0.02,0.00,0.40,4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.32,0.07
HTTP Duration (excl. conn) (ms),15377.40,455.98,175370.74,4397936.71,963.06,2013.92,2350.46,3678.77,5845.52,12696.79,35736.34,64303.12,132636.94,26315.37
HTTP Receiving (ms),12970.90,75.16,174354.71,3709677.60,91.90,1033.88,1288.47,2038.16,3975.40,11037.40,31478.89,56338.04,127123.56,25208.55
HTTP Sending (ms),0.31,0.11,1.23,89.17,0.11,0.12,0.12,0.15,0.17,0.52,0.63,0.75,0.98,0.24
HTTP Total Time (ms),15377.57,455.98,175370.74,4397985.61,963.06,2014.21,2350.46,3678.87,5845.71,12696.79,35737.05,64303.48,132636.99,26315.41
HTTP Waiting (TTFB) (ms),2406.19,190.63,31616.39,688169.93,431.20,622.07,837.37,1013.00,1364.59,2399.25,4844.42,7646.67,16593.71,3267.07
Input Sequence Length (tokens),100915.09,416.00,203682.00,28861717.00,26824.10,40120.00,52466.50,75779.50,98922.50,127220.50,154115.00,160150.75,188167.25,38046.49
Inter Chunk Latency (ms),16.52,0.01,3470.90,3709648.07,9.08,11.38,11.72,12.29,13.57,14.17,14.70,14.96,22.57,58.44
Inter Token Latency (ms),18.14,10.93,236.82,5187.08,11.25,11.55,12.07,13.39,14.27,16.73,25.55,33.10,58.41,17.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),788.90,7.00,10151.00,225624.00,7.85,77.75,99.00,132.25,240.00,560.75,1782.00,3464.25,8281.40,1575.41
