Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,avg,316.86
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,min,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,max,145434.86
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,p50,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,p90,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,p95,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,p99,8988.04
0,1780273110840380416,1780273111840380416,Active Decode Throughput,tokens/sec,std,1896.58
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,avg,316.86
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,max,145434.86
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,p99,8988.04
0,1780273110840380416,1780273111840380416,Active Decode Throughput Per User,tokens/sec/user,std,1896.58
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,avg,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,min,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,max,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,p50,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,p90,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,p95,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,p99,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput,tokens/sec,std,0.00
0,1780273110840380416,1780273111840380416,Active Prefill Throughput Per User,tokens/sec/user,avg,200719.25
0,1780273110840380416,1780273111840380416,Active Prefill Throughput Per User,tokens/sec/user,min,200719.25
