Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),152.75,0.00,2057.10,,,,,,145.08,,256.08,284.38,351.70,77.64
Active Decode Throughput Per User (tokens/sec/user),7.15,0.00,2057.10,,,,,,6.82,,10.64,12.33,18.24,7.15
Active Prefill Throughput (tokens/sec),33416.69,513.87,351564.33,,,,,,31454.00,,41414.54,54865.37,120917.48,22727.94
Active Prefill Throughput Per User (tokens/sec/user),1420.72,513.87,46276.80,,,,,,1081.38,,1562.22,2006.71,14942.03,2251.30
Active Total Throughput (tokens/sec),33527.28,2.92,351628.66,,,,,,31620.31,,41589.24,55064.52,121066.20,22749.88
Credit Drop Latency (ms),269.92,7.71,2615.31,7287.81,8.33,10.14,10.87,23.18,75.49,324.92,551.16,778.57,2161.59,510.80
Credit-to-Start Latency (ms),26.44,0.85,2619.16,14779.90,1.07,1.27,1.51,1.67,2.04,2.76,43.63,115.01,552.10,137.17
E2E Output Token Throughput (tokens/sec/user),2.57,0.01,19.46,1435.64,0.11,0.35,0.74,1.17,2.04,3.54,5.21,6.09,7.38,1.89
Effective Concurrency,48.17,1.00,58.00,,,,,,53.00,,57.00,57.00,58.00,12.03
Effective Decode Concurrency,21.33,0.00,30.00,,,,,,23.00,,26.00,27.00,28.00,5.12
Effective Decode Throughput (tokens/sec),152.46,0.00,2057.10,,,,,,145.04,,256.02,283.80,351.70,77.85
Effective Decode Throughput Per User (tokens/sec/user),7.14,0.00,2057.10,,,,,,6.81,,10.64,12.33,18.23,7.15
Effective Latency (CO-aware) (ms),156498.04,5328.39,1672133.34,87482406.31,16273.06,40153.37,69600.74,95610.65,126363.14,170352.30,248878.71,365397.90,772386.61,137457.69
Effective Prefill Concurrency,26.83,0.00,40.00,,,,,,29.00,,34.00,35.00,39.00,7.95
Effective Prefill Throughput (tokens/sec),33365.34,0.00,351564.33,,,,,,31399.11,,41414.54,54865.37,120917.48,22748.16
Effective Prefill Throughput Per User (tokens/sec/user),1418.54,0.00,46276.80,,,,,,1081.38,,1560.86,2006.71,14942.03,2250.26
Effective Total Throughput (tokens/sec),33527.28,2.92,351628.66,,,,,,31620.31,,41589.24,55064.52,121066.20,22749.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,526.90,1.00,12116.00,294537.00,9.00,21.90,75.80,123.00,221.00,483.50,1133.40,1983.20,4760.90,1009.61
HTTP Chunks Sent,1.00,1.00,1.00,559.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.00,2.35,239.03,0.00,0.00,0.00,0.00,0.53,0.69,1.10,1.17,1.42,0.46
