Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),152.93,0.00,10161.65,,,,,,145.89,,259.97,288.26,355.30,79.60
Active Decode Throughput Per User (tokens/sec/user),7.06,0.00,1597.42,,,,,,6.60,,10.75,11.99,16.96,4.94
Active Prefill Throughput (tokens/sec),35215.77,1258.54,319250.64,,,,,,31945.85,,46572.31,50663.99,134255.73,22799.15
Active Prefill Throughput Per User (tokens/sec/user),1220.77,630.03,47628.76,,,,,,902.44,,1293.85,1507.69,14754.42,2132.56
Active Total Throughput (tokens/sec),34923.29,7.44,319250.64,,,,,,32002.19,,46633.04,50597.35,134406.46,22999.91
Credit Drop Latency (ms),218.53,2.30,2541.63,6118.83,2.63,4.07,5.33,8.21,30.97,190.00,576.92,606.03,2021.23,487.18
Credit-to-Start Latency (ms),23.16,0.56,2541.98,13199.94,0.60,0.69,0.74,0.85,1.02,1.28,20.27,92.74,572.32,131.93
E2E Output Token Throughput (tokens/sec/user),2.25,0.01,7.59,1283.27,0.08,0.23,0.60,0.99,1.70,3.19,4.87,5.93,7.29,1.72
Effective Concurrency,55.66,1.00,66.00,,,,,,61.00,,64.00,65.00,66.00,13.87
Effective Decode Concurrency,21.61,0.00,32.00,,,,,,23.00,,26.00,27.00,28.00,5.06
Effective Decode Throughput (tokens/sec),152.66,0.00,10161.65,,,,,,145.77,,259.97,288.26,355.28,79.79
Effective Decode Throughput Per User (tokens/sec/user),7.04,0.00,1597.42,,,,,,6.59,,10.75,11.99,16.96,4.94
Effective Latency (CO-aware) (ms),178650.76,11561.04,1676006.38,101830933.44,20615.97,57134.62,92582.82,116845.16,150219.82,194488.90,258978.59,381772.48,751430.58,137837.42
Effective Prefill Concurrency,34.05,0.00,46.00,,,,,,37.00,,42.00,43.00,45.00,9.67
Effective Prefill Throughput (tokens/sec),34760.46,0.00,319250.64,,,,,,31882.54,,46449.41,50394.93,134255.73,22997.99
Effective Prefill Throughput Per User (tokens/sec/user),1204.98,0.00,47628.76,,,,,,897.99,,1293.68,1478.62,14749.45,2123.21
Effective Total Throughput (tokens/sec),34923.29,7.44,319250.64,,,,,,32002.19,,46633.04,50597.35,134406.46,22999.91
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,523.39,1.00,12116.00,298330.00,9.00,21.00,74.90,124.00,225.50,495.00,1084.00,1978.20,5355.84,1010.22
HTTP Chunks Sent,1.00,1.00,1.00,570.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.28,0.00,9.82,159.97,0.00,0.00,0.00,0.00,0.33,0.43,0.66,0.72,0.85,0.48
HTTP Connection Overhead (ms),0.36,0.00,18.05,204.65,0.00,0.00,0.00,0.00,0.33,0.43,0.97,1.03,1.22,0.83
HTTP Connection Reused (ratio),0.47,0.00,1.00,266.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),128.92,0.84,2966.50,73481.60,2.80,5.74,18.98,31.01,55.88,121.66,266.15,485.02,1310.66,247.55
HTTP Data Sent (KB),440.35,1.64,1024.80,250997.74,1.94,167.70,227.73,271.95,382.21,581.55,785.97,881.01,962.68,222.82
HTTP DNS Lookup (ms),0.08,0.00,8.23,44.69,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.33,0.39,0.36
HTTP Duration (excl. conn) (ms),178627.54,9018.97,1675920.76,101817695.96,20427.89,57060.15,92556.75,116843.85,150218.73,194487.86,258977.56,381771.28,751429.47,137852.69
HTTP Receiving (ms),69361.57,0.00,1669883.82,39536094.47,423.83,2334.40,6114.96,13031.00,28325.45,65393.82,145113.29,274728.38,647308.66,135678.56
HTTP Sending (ms),0.44,0.10,10.05,248.99,0.11,0.12,0.13,0.15,0.47,0.61,0.83,0.90,1.04,0.49
HTTP Total Time (ms),178627.90,9037.02,1675921.98,101817900.61,20428.75,57060.81,92556.78,116844.24,150219.10,194488.53,258977.96,381771.63,751429.59,137852.67
HTTP Waiting (TTFB) (ms),109265.53,2374.95,206370.15,62281352.50,6026.68,15205.34,57785.75,87000.17,111370.13,138102.88,161685.68,172024.35,183957.15,41964.47
Input Sequence Length (tokens),111559.48,417.00,260223.00,63588902.00,454.07,42494.15,57431.20,68923.25,96678.50,147210.75,197806.10,223342.00,244416.79,56425.52
Inter Chunk Latency (ms),132.96,0.00,5352.84,39535937.60,30.58,36.23,37.76,40.11,40.99,46.91,105.38,792.72,1913.84,351.27
Inter Token Latency (ms),132.67,37.75,618.75,75356.92,40.76,53.52,65.16,91.38,122.09,153.14,204.01,263.83,386.52,69.54
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),523.57,1.00,12119.00,298435.00,9.00,21.00,74.90,124.00,225.50,495.00,1084.90,1979.30,5357.22,1010.56
Output Token Count (tokens),523.57,1.00,12119.00,298435.00,9.00,21.00,74.90,124.00,225.50,495.00,1084.90,1979.30,5357.22,1010.56
Output Token Throughput Per User (tokens/sec/user),9.36,1.62,26.49,5315.47,2.59,3.79,4.90,6.53,8.19,10.94,15.35,18.68,24.53,4.58
Prefill Throughput Per User (tokens/sec/user),2145.66,3.25,51652.52,1223028.99,8.06,300.90,419.17,612.26,856.22,1392.33,2348.11,9390.00,31712.40,5243.34
Request Latency (ms),178627.54,9019.06,1675920.82,101817697.21,20427.96,57060.22,92556.81,116843.93,150218.80,194487.93,258977.63,381771.34,751429.53,137852.75
Requested OSL (tokens),523.57,1.00,12119.00,298435.00,9.00,21.00,74.90,124.00,225.50,495.00,1084.90,1979.30,5357.22,1010.56
Time to First Output Token (ms),109266.24,2385.10,206370.79,62281759.61,6027.71,15206.25,57786.32,87000.71,111370.36,138103.63,161686.24,172024.84,183957.75,41964.37
Time to First Token (ms),109266.24,2385.10,206370.79,62281759.61,6027.71,15206.25,57786.32,87000.71,111370.36,138103.63,161686.24,172024.84,183957.75,41964.37
Time to Second Token (ms),198.68,0.48,3199.36,112848.53,32.80,36.15,37.66,39.42,43.35,91.24,635.02,1003.64,1782.34,386.36
Tokens In Flight (tokens),6694937.66,158149.00,8484013.50,,,,,,7302778.42,,7974244.26,8063075.51,8281928.40,1728022.83
Usage Completion Tokens (tokens),523.57,1.00,12119.00,298435.00,9.00,21.00,74.90,124.00,225.50,495.00,1084.90,1979.30,5357.22,1010.56
