Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),8.53,0.00,91.37,,,,,,6.16,,17.75,27.60,31.22,7.35
Active Decode Throughput Per User (tokens/sec/user),1.09,0.00,81.21,,,,,,0.65,,2.36,3.55,8.43,2.03
Active Prefill Throughput (tokens/sec),4597.18,142.04,25914.09,,,,,,3633.10,,10687.85,15391.12,21540.09,4799.13
Active Prefill Throughput Per User (tokens/sec/user),167.94,102.78,5852.09,,,,,,136.08,,221.10,295.98,986.70,182.63
Active Total Throughput (tokens/sec),4492.85,1.23,25914.09,,,,,,3502.84,,10694.00,15394.02,21540.09,4790.49
Credit Drop Latency (ms),425.74,6.54,2622.43,5960.33,6.69,7.29,13.85,52.98,117.74,560.61,674.41,1360.43,2370.03,658.58
Credit-to-Start Latency (ms),180.82,1.42,2622.97,12476.61,1.47,1.95,2.22,20.75,70.18,208.73,532.72,622.65,1320.93,348.22
E2E Output Token Throughput (tokens/sec/user),0.25,0.00,0.83,17.16,0.01,0.02,0.03,0.07,0.20,0.35,0.62,0.65,0.83,0.21
Effective Concurrency,36.38,1.00,56.00,,,,,,42.00,,55.00,56.00,56.00,18.81
Effective Decode Concurrency,10.28,0.00,19.00,,,,,,11.00,,16.00,16.00,18.00,4.34
Effective Decode Throughput (tokens/sec),8.41,0.00,91.37,,,,,,5.89,,17.74,27.60,31.22,7.36
Effective Decode Throughput Per User (tokens/sec/user),1.08,0.00,81.21,,,,,,0.65,,2.25,3.54,8.42,2.02
Effective Latency (CO-aware) (ms),962995.15,153951.01,1798813.73,66446665.38,196408.78,265314.33,415609.61,822233.71,968401.24,1192288.50,1403079.27,1555115.42,1661203.03,357467.66
Effective Prefill Concurrency,26.10,0.00,54.00,,,,,,33.00,,46.00,50.00,53.00,17.98
Effective Prefill Throughput (tokens/sec),4483.24,0.00,25914.09,,,,,,3491.06,,10687.85,15391.12,21540.09,4792.87
Effective Prefill Throughput Per User (tokens/sec/user),163.77,0.00,5852.09,,,,,,136.08,,221.10,295.98,986.70,182.23
Effective Total Throughput (tokens/sec),4492.85,1.23,25914.09,,,,,,3502.84,,10694.00,15394.02,21540.09,4790.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.28,1.00,1495.00,17614.00,7.12,19.40,21.80,61.00,173.00,339.00,608.00,790.80,1293.72,286.99
HTTP Chunks Sent,1.00,1.00,1.00,69.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.95,0.00,4.84,65.54,0.00,0.00,0.57,0.65,0.86,1.16,1.34,1.60,3.60,0.66
HTTP Connection Overhead (ms),1.19,0.00,5.05,82.22,0.00,0.00,0.57,0.65,0.86,1.64,1.89,2.15,4.91,0.88
HTTP Connection Reused (ratio),0.07,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.26
HTTP Data Received (KB),63.14,0.84,366.54,4356.57,2.34,5.35,5.95,15.52,42.90,83.77,149.51,194.70,317.33,70.29
