Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,avg,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,min,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,max,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,p50,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,p90,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,p95,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,p99,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput,tokens/sec,std,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780131071592471552,1780131072592471552,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,avg,9398.11
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,min,5852.09
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,max,10875.03
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,p50,10875.03
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,p90,10875.03
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,p95,10875.03
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,p99,10875.03
0,1780131071592471552,1780131072592471552,Active Prefill Throughput,tokens/sec,std,2099.80
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,avg,4250.36
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,min,3625.01
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,max,5852.09
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,p50,3625.01
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,p90,5852.09
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,p95,5852.09
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,p99,5852.09
0,1780131071592471552,1780131072592471552,Active Prefill Throughput Per User,tokens/sec/user,std,924.49
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,avg,9398.11
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,min,5852.09
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,max,10875.03
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,p50,10875.03
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,p90,10875.03
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,p95,10875.03
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,p99,10875.03
0,1780131071592471552,1780131072592471552,Active Total Throughput,tokens/sec,std,2099.80
0,1780131071592471552,1780131072592471552,Benchmark Duration,sec,avg,841.13
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,avg,0.63
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,min,0.62
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,max,0.64
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,sum,1.90
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p1,0.62
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p5,0.62
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p10,0.62
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p25,0.63
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p50,0.64
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p75,0.64
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p90,0.64
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p95,0.64
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,p99,0.64
0,1780131071592471552,1780131072592471552,E2E Output Token Throughput,tokens/sec/user,std,0.01
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,avg,2.39
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,min,1.00
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,max,3.00
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,p50,3.00
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,p90,3.00
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,p95,3.00
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,p99,3.00
0,1780131071592471552,1780131072592471552,Effective Concurrency,requests,std,0.84
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,avg,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,min,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,max,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,p50,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,p90,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,p95,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,p99,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Concurrency,requests,std,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,avg,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,min,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,max,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,p95,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,p99,0.00
0,1780131071592471552,1780131072592471552,Effective Decode Throughput,tokens/sec,std,0.00
