# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 845c4e97-1ee1-43a5-afff-7e5f905ff43a
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8896,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8896,gauge,sglang:cache_hit_rate,,0.0260,0.0000,0.9997,0.1554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9833,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8896,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8896,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8896,gauge,sglang:decode_sum_seq_lens,,605149.7395,147267.0000,728633.0000,54217.7688,509771.4000,594971.0000,594971.0000,594971.0000,594971.0000,594971.0000,673609.0000,719695.0000,725370.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8896,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8896,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8896,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8896,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8896,gauge,sglang:full_token_usage,,0.8273,0.2008,0.9934,0.0748,0.6671,0.8111,0.8111,0.8111,0.8111,0.8111,0.9251,0.9818,0.9889,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8896,gauge,sglang:gen_throughput,tokens/s,152.6092,3.8199,225.1890,21.1758,38.4808,116.7825,131.6509,157.5074,157.5074,157.5074,157.5074,159.5771,212.3904,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8896,gauge,sglang:hicache_host_total_tokens,tokens,11128960.0000,11128960.0000,11128960.0000,0.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Total capacity of the host KV cache in tokens.
localhost:8896,gauge,sglang:hicache_host_used_tokens,tokens,1690764.9749,1328128.0000,1728192.0000,80949.8107,1473216.0000,1499840.0000,1553408.0000,1728192.0000,1728192.0000,1728192.0000,1728192.0000,1728192.0000,1728192.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of tokens currently used in the host KV cache.
localhost:8896,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Whether the batch is using CUDA graph.
localhost:8896,gauge,sglang:kv_available_tokens,tokens,20773.6772,1920.0000,43584.0000,5375.0296,5312.0000,8256.0000,9920.0000,22912.0000,22912.0000,22912.0000,22912.0000,22912.0000,28224.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free token slots in the KV cache pool.
