Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),39.27,0.00,72614.58,,,,,,32.04,,78.40,81.55,87.53,34.96
Active Decode Throughput Per User (tokens/sec/user),8.66,0.00,9076.82,,,,,,8.71,,16.03,17.82,26.69,9.06
Active Prefill Throughput (tokens/sec),4382.97,274.91,25301.32,,,,,,4400.76,,5622.73,6412.26,15345.00,2250.60
Active Prefill Throughput Per User (tokens/sec/user),489.35,269.93,11522.58,,,,,,427.25,,598.93,618.92,1534.50,451.39
Active Total Throughput (tokens/sec),4297.48,7.28,25301.32,,,,,,4413.96,,5561.50,6427.21,15349.73,2330.20
Credit Drop Latency (ms),10.88,3.13,22.02,32.63,3.21,3.56,4.00,5.30,7.48,14.75,19.12,20.57,21.73,8.08
Credit-to-Start Latency (ms),5.71,1.24,92.93,496.53,1.38,1.45,1.54,1.64,1.85,2.23,8.80,22.20,71.92,13.14
E2E Output Token Throughput (tokens/sec/user),2.42,0.03,7.96,210.19,0.03,0.05,0.09,0.73,1.94,3.38,5.95,6.37,7.72,2.06
Effective Concurrency,13.33,1.00,16.00,,,,,,15.00,,16.00,16.00,16.00,3.48
Effective Decode Concurrency,4.53,0.00,9.00,,,,,,5.00,,6.00,7.00,8.00,1.35
Effective Decode Throughput (tokens/sec),39.04,0.00,72614.58,,,,,,29.65,,78.39,81.54,87.53,34.99
Effective Decode Throughput Per User (tokens/sec/user),8.61,0.00,9076.82,,,,,,8.71,,16.03,17.82,26.69,9.05
Effective Latency (CO-aware) (ms),278601.03,98496.64,708458.82,24238289.33,104214.77,138079.84,174090.06,211740.89,255623.99,328620.82,404804.10,478937.64,687019.80,109958.58
Effective Prefill Concurrency,8.80,0.00,13.00,,,,,,10.00,,11.00,12.00,12.00,2.84
Effective Prefill Throughput (tokens/sec),4258.28,0.00,25301.32,,,,,,4377.03,,5522.44,6412.26,15345.00,2334.97
Effective Prefill Throughput Per User (tokens/sec/user),475.43,0.00,11522.58,,,,,,426.27,,598.68,618.92,1534.50,452.30
Effective Total Throughput (tokens/sec),4297.48,7.28,25301.32,,,,,,4413.96,,5561.50,6427.21,15349.73,2330.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,808.33,6.00,4459.00,70325.00,6.00,9.00,14.60,192.00,481.00,1053.50,2037.40,3057.20,4281.84,968.26
HTTP Chunks Sent,1.00,1.00,1.00,87.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.91,0.00,1.55,79.46,0.00,0.00,0.00,0.73,1.11,1.23,1.35,1.44,1.49,0.47
HTTP Connection Overhead (ms),1.21,0.00,2.15,105.12,0.00,0.00,0.00,0.73,1.54,1.73,1.89,2.00,2.12,0.69
HTTP Connection Reused (ratio),0.17,0.00,1.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.38
HTTP Data Received (KB),205.62,2.25,1144.42,17889.14,2.26,2.99,4.36,47.65,118.11,266.45,520.87,782.84,1102.07,248.52
HTTP Data Sent (KB),347.14,1.84,742.38,30201.02,7.75,106.63,165.18,250.63,332.40,450.68,532.69,701.39,740.14,167.10
HTTP DNS Lookup (ms),0.29,0.00,0.64,25.66,0.00,0.00,0.00,0.00,0.43,0.50,0.54,0.56,0.61,0.24
