Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),138.13,0.00,60902.59,,,,,,134.23,,204.16,220.51,249.52,91.87
Active Decode Throughput Per User (tokens/sec/user),22.81,0.00,20300.86,,,,,,23.09,,27.76,28.17,30.76,28.06
Active Prefill Throughput (tokens/sec),11345.38,209.54,310747.21,,,,,,10027.51,,15385.66,17332.77,30409.62,12537.15
Active Prefill Throughput Per User (tokens/sec/user),936.07,209.54,251404.58,,,,,,444.20,,676.15,851.23,4707.73,7583.93
Active Total Throughput (tokens/sec),11279.43,22.15,310820.07,,,,,,10169.14,,15497.92,17358.03,30562.13,12513.48
Credit Drop Latency (ms),7.80,1.01,20.74,31.21,1.03,1.12,1.23,1.57,4.73,10.96,16.83,18.79,20.35,7.91
Credit-to-Start Latency (ms),4.56,0.92,75.43,724.96,1.10,1.23,1.34,1.48,1.69,2.16,8.30,16.96,59.70,9.80
E2E Output Token Throughput (tokens/sec/user),5.48,0.02,25.19,871.88,0.04,0.09,0.56,1.39,3.34,6.61,13.81,23.12,24.97,6.37
Effective Concurrency,27.50,1.00,33.00,,,,,,30.00,,32.00,32.00,33.00,6.38
Effective Decode Concurrency,6.03,0.00,10.00,,,,,,6.00,,8.00,8.00,10.00,1.48
Effective Decode Throughput (tokens/sec),138.03,0.00,60902.59,,,,,,134.23,,204.15,220.51,249.52,91.90
Effective Decode Throughput Per User (tokens/sec/user),22.80,0.00,20300.86,,,,,,23.09,,27.76,28.17,30.76,28.06
Effective Latency (CO-aware) (ms),198581.42,3089.15,516808.43,31574445.32,8234.37,26159.54,104895.60,146706.01,194754.50,245637.52,303815.17,338655.79,434269.28,88017.71
Effective Prefill Concurrency,21.48,0.00,28.00,,,,,,23.00,,26.00,27.00,28.00,5.96
Effective Prefill Throughput (tokens/sec),11140.17,0.00,310747.21,,,,,,10027.51,,15385.66,17235.52,30409.62,12514.92
Effective Prefill Throughput Per User (tokens/sec/user),919.14,0.00,251404.58,,,,,,443.02,,674.92,851.23,4377.37,7516.07
Effective Total Throughput (tokens/sec),11279.43,22.15,310820.07,,,,,,10169.14,,15497.92,17358.03,30562.13,12513.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,990.62,5.00,10498.00,157509.00,6.00,12.90,88.80,215.50,522.00,1166.00,2414.60,3581.40,6036.06,1385.39
HTTP Chunks Sent,1.00,1.00,1.00,159.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.81,0.00,1.56,129.14,0.00,0.00,0.00,0.68,0.78,1.15,1.27,1.34,1.45,0.44
HTTP Connection Overhead (ms),1.03,0.00,2.15,164.25,0.00,0.00,0.00,0.68,0.78,1.60,1.79,1.86,2.01,0.64
HTTP Connection Reused (ratio),0.18,0.00,1.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.38
HTTP Data Received (KB),252.48,2.01,2687.31,40144.42,2.26,3.95,22.47,53.35,132.62,295.16,618.21,924.44,1548.49,355.46
HTTP Data Sent (KB),313.44,8.71,742.38,49836.55,9.17,93.81,120.38,193.13,300.48,425.60,489.56,609.86,738.51,162.18
HTTP DNS Lookup (ms),0.22,0.00,0.64,35.11,0.00,0.00,0.00,0.00,0.00,0.45,0.51,0.53,0.59,0.23
HTTP Duration (excl. conn) (ms),198576.73,3078.38,516802.99,31573699.70,8226.48,26104.83,104881.35,146704.45,194752.58,245635.48,303813.52,338649.18,434261.77,88019.43
HTTP Receiving (ms),43513.33,152.23,436887.11,6918619.23,184.34,467.27,3355.56,9044.34,23462.97,51507.17,110160.67,149762.35,254709.96,59326.35
HTTP Sending (ms),1.20,0.22,1.94,190.23,0.31,0.33,0.36,1.04,1.22,1.54,1.67,1.76,1.80,0.45
HTTP Total Time (ms),198577.76,3080.30,516804.76,31573863.95,8228.38,26106.59,104882.72,146705.17,194753.27,245635.86,303814.23,338649.79,434262.85,88019.34
HTTP Waiting (TTFB) (ms),155062.20,278.72,279075.55,24654890.24,445.64,887.84,51002.60,126865.67,147067.91,211450.54,234536.67,250339.32,276948.66,69592.26
Input Sequence Length (tokens),80439.01,2318.00,190983.00,12789803.00,2359.18,23879.00,30913.80,49294.00,77163.00,109023.50,125393.40,157479.30,190008.92,41742.55
Inter Chunk Latency (ms),43.95,0.00,13565.59,6918496.71,16.26,34.03,34.69,36.30,37.82,38.48,39.02,40.40,81.33,183.30
Inter Token Latency (ms),44.09,34.42,193.86,7010.83,35.51,36.54,37.45,38.17,40.70,44.85,49.63,63.59,92.49,15.05
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1006.55,5.00,10571.00,160041.00,6.00,12.90,88.80,216.00,540.00,1182.50,2497.60,3633.30,6118.22,1405.30
Output Token Count (tokens),1006.55,5.00,10571.00,160041.00,6.00,12.90,88.80,216.00,540.00,1182.50,2497.60,3633.30,6118.22,1405.30
Output Token Throughput Per User (tokens/sec/user),23.75,5.16,29.06,3775.69,10.81,15.73,20.15,22.30,24.57,26.20,26.70,27.37,28.16,3.66
Prefill Throughput Per User (tokens/sec/user),8079.45,11.79,251404.53,1284632.64,20.75,131.39,207.92,313.71,471.38,783.07,1530.22,62024.32,187063.11,33479.95
Request Latency (ms),198576.09,3078.51,516803.14,31573597.82,8226.61,26104.97,104881.48,146704.58,194752.71,245635.61,303813.65,338649.30,434261.90,88019.24
Requested OSL (tokens),1006.55,5.00,10571.00,160041.00,6.00,12.90,88.80,216.00,540.00,1182.50,2497.60,3633.30,6118.22,1405.30
Time to First Output Token (ms),170934.07,1942.97,319616.13,17606209.30,6608.51,22664.31,72709.45,134992.06,162795.78,228147.76,253979.99,284586.30,297484.56,72948.61
Time to First Token (ms),155063.53,280.25,279076.80,24655101.10,447.48,889.72,51003.35,126866.17,147069.50,211451.56,234537.76,250340.61,276949.89,69592.15
Time to Second Token (ms),128.38,0.12,3425.35,20413.08,18.94,30.06,30.78,33.03,34.25,35.52,37.04,262.92,2260.76,446.21
Tokens In Flight (tokens),2344227.00,122408.00,2842955.49,,,,,,2507991.49,,2739929.20,2768989.74,2790783.09,553732.36
Usage Completion Tokens (tokens),1006.55,5.00,10571.00,160041.00,6.00,12.90,88.80,216.00,540.00,1182.50,2497.60,3633.30,6118.22,1405.30
Usage Prompt Tokens (tokens),80439.01,2318.00,190983.00,12789803.00,2359.18,23879.00,30913.80,49294.00,77163.00,109023.50,125393.40,157479.30,190008.92,41742.55
Usage Total Tokens (tokens),81445.56,2330.00,194266.00,12949844.00,2839.66,24289.70,31204.40,50057.00,79429.00,110634.50,126487.80,159821.50,191236.36,42201.30

Metric,Value
Benchmark Duration (sec),1148.08
Input Token Throughput (tokens/sec),11140.17
Maximum Response Timestamp (ns),1780510838156628992.00
Minimum Request Timestamp (ns),1780509690077313024.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),139.40
Request Count,159.00
Request Throughput (requests/sec),0.14
Theoretical Prefix Cache Hit (%),94.83
Total Input Sequence Length (tokens),12789803.00
Total Output Sequence Length (tokens),160041.00
Total Output Tokens (tokens),160041.00
Total Token Throughput (tokens/sec),11279.57
Total Usage Completion Tokens (tokens),160041.00
Total Usage Prompt Tokens (tokens),12789803.00
Total Usage Total Tokens (tokens),12949844.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
