Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,avg,30.36
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,min,0.00
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,max,60.74
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,p50,30.36
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,p90,30.37
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,p95,30.37
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,p99,30.37
0,1780507048409885184,1780507049409885184,Active Decode Throughput,tokens/sec,std,0.07
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,avg,30.36
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,max,60.74
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,p50,30.36
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,p90,30.37
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,p95,30.37
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,p99,30.37
0,1780507048409885184,1780507049409885184,Active Decode Throughput Per User,tokens/sec/user,std,0.07
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,avg,127728.96
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,min,8497.22
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,max,171999.46
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,p50,163502.24
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,p90,171999.46
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,p95,171999.46
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,p99,171999.46
0,1780507048409885184,1780507049409885184,Active Prefill Throughput,tokens/sec,std,67156.70
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,avg,103342.61
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,min,7163.89
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,max,163502.24
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,p50,85999.73
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,p90,163502.24
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,p95,163502.24
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,p99,163502.24
0,1780507048409885184,1780507049409885184,Active Prefill Throughput Per User,tokens/sec/user,std,64108.86
0,1780507048409885184,1780507049409885184,Active Total Throughput,tokens/sec,avg,127729.78
0,1780507048409885184,1780507049409885184,Active Total Throughput,tokens/sec,min,8500.46
0,1780507048409885184,1780507049409885184,Active Total Throughput,tokens/sec,max,171999.46
