Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,avg,480.32
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,min,0.00
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,max,17255.61
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,p50,60.80
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,p90,61.01
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,p95,7013.12
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,p99,8349.60
0,1780508367353620480,1780508368353620480,Active Decode Throughput,tokens/sec,std,1750.34
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,avg,257.51
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,max,8627.81
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,p50,60.80
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,p90,61.01
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,p95,3506.56
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,p99,4174.80
0,1780508367353620480,1780508368353620480,Active Decode Throughput Per User,tokens/sec/user,std,871.13
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,avg,192152.59
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,min,80991.90
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,max,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,p50,98636.56
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,p90,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,p95,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,p99,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput,tokens/sec,std,106990.75
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,avg,192152.59
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,min,80991.90
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,max,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,p50,98636.56
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,p90,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,p95,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,p99,301103.68
0,1780508367353620480,1780508368353620480,Active Prefill Throughput Per User,tokens/sec/user,std,106990.75
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,avg,159394.53
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,min,16.57
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,max,301103.68
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,p50,98664.31
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,p90,301103.68
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,p95,301103.68
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,p99,301103.68
0,1780508367353620480,1780508368353620480,Active Total Throughput,tokens/sec,std,121306.91
0,1780508367353620480,1780508368353620480,Benchmark Duration,sec,avg,38.42
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,avg,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,min,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,max,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,sum,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p1,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p5,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p10,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p25,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p50,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p75,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p90,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p95,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,p99,1.86
0,1780508367353620480,1780508368353620480,Credit Drop Latency,ms,std,0.00
0,1780508367353620480,1780508368353620480,E2E Output Token Throughput,tokens/sec/user,avg,12.67
0,1780508367353620480,1780508368353620480,E2E Output Token Throughput,tokens/sec/user,min,10.49
