# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: f2634bf5-084a-44ef-abb4-6ae38236e021
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8891,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8891,gauge,sglang:cache_hit_rate,,0.0588,0.0000,0.9997,0.2297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9363,0.9955,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8891,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8891,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8891,gauge,sglang:decode_sum_seq_lens,,634032.4906,138357.0000,729713.0000,127734.8479,181038.0000,333982.0000,436646.0000,602353.0000,716634.0000,716634.0000,716634.0000,716634.0000,727311.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8891,gauge,sglang:full_token_usage,,0.8728,0.1886,0.9950,0.1650,0.2468,0.4882,0.6317,0.8226,0.9769,0.9769,0.9769,0.9769,0.9920,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8891,gauge,sglang:gen_throughput,tokens/s,123.7054,6.5532,179.9222,23.8283,36.5779,69.5471,93.9388,120.9413,130.0688,130.0688,144.6368,155.0429,161.1491,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8891,gauge,sglang:hicache_host_total_tokens,tokens,11128960.0000,11128960.0000,11128960.0000,0.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Total capacity of the host KV cache in tokens.
localhost:8891,gauge,sglang:hicache_host_used_tokens,tokens,1095439.9621,561408.0000,1226560.0000,172406.8217,561408.0000,740672.0000,858432.0000,917312.0000,1224320.0000,1226560.0000,1226560.0000,1226560.0000,1226560.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of tokens currently used in the host KV cache.
localhost:8891,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Whether the batch is using CUDA graph.
localhost:8891,gauge,sglang:kv_available_tokens,tokens,16828.0007,768.0000,48576.0000,8140.2768,1536.0000,3136.0000,5760.0000,13248.0000,16960.0000,16960.0000,29824.0000,32793.6000,39232.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8891,gauge,sglang:kv_evictable_tokens,tokens,76482.3203,0.0000,563072.0000,118894.0057,0.0000,0.0000,0.0000,0.0000,0.0000,115392.0000,261056.0000,339904.0000,534784.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8891,gauge,sglang:kv_used_tokens,tokens,640385.6790,138368.0000,730048.0000,121064.1413,181056.0000,358182.4000,463488.0000,603520.0000,716736.0000,716736.0000,716736.0000,716736.0000,727808.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8891,gauge,sglang:mamba_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8891,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8891,gauge,sglang:mamba_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for Mamba layers.
