Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),207.37,0.00,3715.46,,,,,,196.67,,341.52,386.32,457.59,102.96
Active Decode Throughput Per User (tokens/sec/user),80.55,0.00,2920.72,,,,,,85.59,,103.95,116.99,170.49,33.38
Active Prefill Throughput (tokens/sec),19642.45,4561.06,223006.23,,,,,,18285.51,,29964.26,33608.13,42008.96,8567.77
Active Prefill Throughput Per User (tokens/sec/user),2931.55,691.04,110595.69,,,,,,2447.84,,4846.94,5679.35,11378.07,3338.44
Active Total Throughput (tokens/sec),19756.35,102.43,223006.23,,,,,,18500.92,,30054.12,33550.69,42199.76,8635.17
Credit Drop Latency (ms),15.58,1.89,116.44,233.64,1.92,2.00,2.07,2.13,2.80,11.36,35.55,69.20,106.99,29.36
Credit-to-Start Latency (ms),2.34,0.72,117.03,895.78,0.81,0.90,0.98,1.11,1.31,1.59,1.87,3.89,23.55,7.63
E2E Output Token Throughput (tokens/sec/user),18.15,0.11,84.18,6952.05,0.18,0.36,1.13,6.23,13.52,25.99,41.28,51.22,69.01,16.37
Effective Concurrency,10.50,1.00,15.00,,,,,,11.00,,13.00,14.00,14.00,2.10
Effective Decode Concurrency,2.55,0.00,7.00,,,,,,3.00,,4.00,5.00,5.00,1.24
Effective Decode Throughput (tokens/sec),199.82,0.00,3715.46,,,,,,195.04,,338.04,386.27,457.52,106.86
Effective Decode Throughput Per User (tokens/sec/user),76.93,0.00,2920.72,,,,,,84.89,,103.68,115.08,170.48,36.64
Effective Latency (CO-aware) (ms),49537.99,3525.27,211610.68,18973051.06,10674.34,16366.37,21008.75,30270.54,42188.90,60732.44,90599.34,107644.51,139874.50,29030.36
Effective Prefill Concurrency,7.95,0.00,14.00,,,,,,8.00,,11.00,12.00,14.00,2.58
Effective Prefill Throughput (tokens/sec),19553.96,0.00,223006.23,,,,,,18277.31,,29791.90,33357.95,42008.96,8649.07
Effective Prefill Throughput Per User (tokens/sec/user),2918.34,0.00,110595.69,,,,,,2438.83,,4846.94,5679.35,11378.07,3336.69
Effective Total Throughput (tokens/sec),19756.35,102.43,223006.23,,,,,,18500.92,,30054.12,33550.69,42199.76,8635.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,49.21,2.00,655.00,18849.00,2.00,2.00,3.00,13.00,31.00,55.50,113.80,168.00,389.94,69.21
HTTP Chunks Sent,1.00,1.00,1.00,383.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.39,0.00,1.05,147.63,0.00,0.00,0.00,0.00,0.46,0.55,0.73,0.79,0.92,0.28
HTTP Connection Overhead (ms),0.44,0.00,1.52,167.87,0.00,0.00,0.00,0.00,0.46,0.55,1.00,1.16,1.34,0.36
HTTP Connection Reused (ratio),0.30,0.00,1.00,113.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),17.61,1.16,228.23,6744.17,1.17,1.21,1.54,5.07,11.56,19.82,39.99,58.30,134.44,23.87
HTTP Data Sent (KB),364.60,1.45,1009.21,139641.74,1.76,127.10,153.22,194.60,353.41,462.16,554.69,902.56,977.33,209.78
HTTP DNS Lookup (ms),0.05,0.00,0.48,20.24,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.39,0.42,0.12
HTTP Duration (excl. conn) (ms),49535.57,3524.01,211608.93,18972124.05,10668.58,16365.17,21007.29,30269.09,42187.94,60730.54,90598.15,107642.80,139873.25,29031.18
HTTP Receiving (ms),12027.47,50.83,138393.08,4606520.51,57.28,168.21,701.42,3230.69,7760.01,14061.92,27336.50,41632.95,77094.57,15997.00
HTTP Sending (ms),0.58,0.13,1.28,222.46,0.14,0.15,0.17,0.20,0.66,0.77,0.90,1.00,1.15,0.29
HTTP Total Time (ms),49536.01,3524.52,211609.87,18972291.92,10669.09,16365.20,21007.29,30269.95,42188.74,60731.06,90598.33,107643.22,139873.32,29031.22
HTTP Waiting (TTFB) (ms),37507.52,419.93,116352.47,14365381.08,4457.06,10304.96,14153.08,21482.43,32472.82,47217.39,67362.60,87119.20,111455.58,22966.28
Input Sequence Length (tokens),92269.61,420.00,256199.00,35339260.00,420.00,32241.10,38904.60,49247.50,88959.00,116996.00,141176.60,228620.50,248234.30,53215.98
Inter Chunk Latency (ms),249.46,9.07,11018.99,4606517.18,113.03,161.57,173.40,194.48,206.39,229.76,257.34,272.51,1378.35,356.85
Inter Token Latency (ms),14.68,8.00,137.69,5624.35,8.49,9.76,10.21,11.05,12.13,14.31,18.51,24.06,58.82,11.44
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),956.02,6.00,13081.00,366154.00,6.00,13.00,28.80,236.50,597.00,1081.50,2254.00,3323.20,7778.00,1384.30
Output Token Count (tokens),956.02,6.00,13081.00,366154.00,6.00,13.00,28.80,236.50,597.00,1081.50,2254.00,3323.20,7778.00,1384.30
Output Token Throughput Per User (tokens/sec/user),78.48,7.26,124.95,30056.54,17.52,41.57,54.02,69.88,82.47,90.47,97.95,102.42,117.82,18.94
Prefill Throughput Per User (tokens/sec/user),4249.64,7.89,110595.76,1627611.77,15.71,503.74,816.95,1541.83,2659.03,4116.14,7108.56,8620.81,32783.63,9675.70
Request Latency (ms),49535.65,3524.09,211609.02,18972155.28,10668.68,16365.23,21007.37,30269.18,42188.01,60730.63,90598.22,107642.88,139873.33,29031.18
Requested OSL (tokens),956.02,6.00,13081.00,366154.00,6.00,13.00,28.80,236.50,597.00,1081.50,2254.00,3323.20,7778.00,1384.30
Time to First Output Token (ms),44716.24,10131.69,141240.08,6931017.63,11406.46,17465.85,19472.31,26998.63,38706.53,53557.97,77219.12,98320.17,124001.95,25455.84
Time to First Token (ms),37508.19,420.84,116353.18,14365638.10,4457.86,10305.88,14153.79,21482.89,32473.85,47218.22,67363.57,87119.53,111456.58,22966.30
Time to Second Token (ms),463.61,50.83,5681.97,177562.77,57.27,142.16,195.97,208.57,234.01,359.51,1028.59,1450.46,3469.54,680.86
Tokens In Flight (tokens),1043915.07,32432.00,1530058.55,,,,,,1082145.53,,1285575.87,1322933.94,1417082.00,214382.13
Usage Completion Tokens (tokens),956.02,6.00,13081.00,366154.00,6.00,13.00,28.80,236.50,597.00,1081.50,2254.00,3323.20,7778.00,1384.30
Usage Prompt Tokens (tokens),92269.61,420.00,256199.00,35339260.00,420.00,32241.10,38904.60,49247.50,88959.00,116996.00,141176.60,228620.50,248234.30,53215.98
Usage Total Tokens (tokens),93225.62,439.00,257260.00,35705414.00,441.00,32534.50,39449.60,49900.50,88971.00,118183.50,145458.00,230514.80,249173.46,53698.67

Metric,Value
Benchmark Duration (sec),1807.27
Input Token Throughput (tokens/sec),19553.96
Maximum Response Timestamp (ns),1780441678464344576.00
Minimum Request Timestamp (ns),1780439871195688448.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),202.60
Request Count,383.00
Request Throughput (requests/sec),0.21
Theoretical Prefix Cache Hit (%),94.55
Total Input Sequence Length (tokens),35339260.00
Total Output Sequence Length (tokens),366154.00
Total Output Tokens (tokens),366154.00
Total Token Throughput (tokens/sec),19756.56
Total Usage Completion Tokens (tokens),366154.00
Total Usage Prompt Tokens (tokens),35339260.00
Total Usage Total Tokens (tokens),35705414.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
