Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),98.66,0.00,2487.22,,,,,,83.11,,214.92,255.63,310.68,82.13
Active Decode Throughput Per User (tokens/sec/user),30.68,0.00,497.44,,,,,,28.48,,62.20,72.50,84.44,23.97
Active Prefill Throughput (tokens/sec),10927.70,5.89,62775.55,,,,,,10945.73,,14140.92,14871.50,18022.59,3697.96
Active Prefill Throughput Per User (tokens/sec/user),1318.68,5.89,24173.44,,,,,,1240.29,,1728.54,1794.08,3234.63,801.04
Active Total Throughput (tokens/sec),11028.77,5.89,62775.55,,,,,,11062.83,,14202.83,14953.59,18056.21,3687.87
Credit Drop Latency (ms),16.37,1.70,105.54,147.29,1.71,1.78,1.86,2.31,3.21,11.85,32.74,69.14,98.26,31.84
Credit-to-Start Latency (ms),2.79,0.68,106.02,585.80,0.81,0.92,1.04,1.22,1.36,1.60,2.10,5.45,21.47,8.94
E2E Output Token Throughput (tokens/sec/user),7.68,0.05,33.62,1611.85,0.09,0.26,1.17,3.18,6.14,9.98,15.60,19.84,33.01,6.64
Effective Concurrency,11.63,1.00,14.00,,,,,,12.00,,13.00,13.00,14.00,1.92
Effective Decode Concurrency,3.12,0.00,7.00,,,,,,3.00,,5.00,5.00,6.00,1.29
Effective Decode Throughput (tokens/sec),98.06,0.00,2487.22,,,,,,82.92,,209.39,255.60,308.92,82.03
Effective Decode Throughput Per User (tokens/sec/user),30.42,0.00,497.44,,,,,,28.22,,61.86,72.44,84.44,24.03
Effective Latency (CO-aware) (ms),100968.21,20636.77,316685.14,21203323.16,23831.91,50703.68,61098.92,76094.16,94314.45,121523.80,145698.82,162196.02,217974.66,38556.45
Effective Prefill Concurrency,8.50,0.00,12.00,,,,,,9.00,,11.00,11.00,12.00,2.01
Effective Prefill Throughput (tokens/sec),10926.78,0.00,62775.55,,,,,,10945.73,,14140.92,14871.50,18022.59,3699.16
