Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,avg,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,min,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,max,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,p50,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,p90,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,p95,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,p99,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput,tokens/sec,std,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780440875589847808,1780440876589847808,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,avg,45527.83
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,min,23628.83
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,max,50027.08
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,p50,50027.08
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,p90,50027.08
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,p95,50027.08
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,p99,50027.08
0,1780440875589847808,1780440876589847808,Active Prefill Throughput,tokens/sec,std,7669.44
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,avg,12905.29
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,min,10005.42
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,max,23628.83
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,p50,10005.42
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,p90,18509.73
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,p95,23628.83
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,p99,23628.83
0,1780440875589847808,1780440876589847808,Active Prefill Throughput Per User,tokens/sec/user,std,4308.13
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,avg,45527.83
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,min,23628.83
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,max,50027.08
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,p50,50027.08
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,p90,50027.08
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,p95,50027.08
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,p99,50027.08
0,1780440875589847808,1780440876589847808,Active Total Throughput,tokens/sec,std,7669.44
0,1780440875589847808,1780440876589847808,Benchmark Duration,sec,avg,87.44
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,avg,9.88
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,min,5.25
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,max,16.36
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,sum,49.40
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p1,5.29
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p5,5.47
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p10,5.70
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p25,6.37
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p50,7.53
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p75,13.89
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p90,15.37
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p95,15.86
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,p99,16.26
0,1780440875589847808,1780440876589847808,E2E Output Token Throughput,tokens/sec/user,std,4.41
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,avg,3.99
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,min,1.00
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,max,5.00
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,p50,5.00
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,p90,5.00
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,p95,5.00
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,p99,5.00
0,1780440875589847808,1780440876589847808,Effective Concurrency,requests,std,1.39
0,1780440875589847808,1780440876589847808,Effective Decode Concurrency,requests,avg,0.00
0,1780440875589847808,1780440876589847808,Effective Decode Concurrency,requests,min,0.00
