Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,avg,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,min,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,max,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,p50,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,p90,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,p95,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,p99,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput,tokens/sec,std,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780438647273444608,1780438648273444608,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,avg,19233.87
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,min,3173.34
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,max,22008.91
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,p50,22008.91
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,p90,22008.91
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,p95,22008.91
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,p99,22008.91
0,1780438647273444608,1780438648273444608,Active Prefill Throughput,tokens/sec,std,5929.15
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,avg,6775.79
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,min,3173.34
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,max,7336.30
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,p50,7336.30
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,p90,7336.30
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,p95,7336.30
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,p99,7336.30
0,1780438647273444608,1780438648273444608,Active Prefill Throughput Per User,tokens/sec/user,std,1239.78
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,avg,19233.87
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,min,3173.34
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,max,22008.91
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,p50,22008.91
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,p90,22008.91
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,p95,22008.91
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,p99,22008.91
0,1780438647273444608,1780438648273444608,Active Total Throughput,tokens/sec,std,5929.15
0,1780438647273444608,1780438648273444608,Benchmark Duration,sec,avg,56.35
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,avg,16.73
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,min,9.20
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,max,21.56
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,sum,50.18
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p1,9.41
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p5,10.22
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p10,11.25
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p25,14.31
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p50,19.42
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p75,20.49
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p90,21.13
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p95,21.34
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,p99,21.51
0,1780438647273444608,1780438648273444608,E2E Output Token Throughput,tokens/sec/user,std,5.39
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,avg,2.73
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,min,1.00
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,max,3.00
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,p50,3.00
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,p90,3.00
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,p95,3.00
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,p99,3.00
0,1780438647273444608,1780438648273444608,Effective Concurrency,requests,std,0.60
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,avg,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,min,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,max,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,p50,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,p90,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,p95,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,p99,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Concurrency,requests,std,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Throughput,tokens/sec,avg,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Throughput,tokens/sec,min,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Throughput,tokens/sec,max,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780438647273444608,1780438648273444608,Effective Decode Throughput,tokens/sec,p95,0.00
