exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_kimik2.5_tp4_conc16_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_06,4,16,lmcache,SUCCESS,482,0.27,243.16,25128.47,24885.31,6219.14,1340.59,7884.72,86849.36,40.84,32.11,52.03,179.32,40848.25,19764.27,110148.41,276348.01
agentic_kimik2.5_tp4_conc16_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_05,4,16,none,SUCCESS,565,0.31,283.88,28598.9,28315.02,4419.56,1557.01,5898.54,58092.7,36.66,29.0,45.35,168.96,35060.77,16329.78,91690.19,241063.81
agentic_kimik2.5_tp4_conc1_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_04,4,1,lmcache,SUCCESS,61,0.03,39.1,2869.48,2830.38,1149.25,768.95,1522.7,6501.64,11.21,11.24,11.5,11.53,13760.43,5883.64,36025.17,98545.72
agentic_kimik2.5_tp4_conc1_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_08,4,1,none,SUCCESS,61,0.04,39.32,2885.58,2846.2599999999998,1040.81,722.19,1558.36,5537.5,11.17,11.2,11.45,11.47,13600.97,5828.04,34572.78,97775.93
agentic_kimik2.5_tp4_conc2_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_05,4,2,lmcache,SUCCESS,208,0.12,67.41,7278.5,7211.09,3763.76,1439.08,7193.42,38249.56,12.81,11.52,15.14,32.19,10824.97,5198.11,25667.98,94156.89
agentic_kimik2.5_tp4_conc2_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_07,4,2,none,SUCCESS,211,0.12,68.29,7647.94,7579.65,3507.57,1211.3,6732.39,40215.57,12.61,11.49,14.54,25.8,10485.87,4885.06,25481.56,94430.66
agentic_kimik2.5_tp4_conc32_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_05,4,32,lmcache,SUCCESS,778,0.44,329.49,35632.38,35302.89,4920.85,1923.45,7782.15,81831.93,77.29,57.7,112.71,450.92,55574.85,26615.4,141909.44,387753.87
agentic_kimik2.5_tp4_conc32_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_01,4,32,none,SUCCESS,774,0.42,323.12,34743.46,34420.34,4473.94,1305.48,10943.87,51684.56,76.47,52.81,122.0,449.4,55858.32,28231.69,140575.44,392303.81
agentic_kimik2.5_tp4_conc40_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_02,4,40,lmcache,SUCCESS,804,0.44,302.81,39104.27,38801.46,6716.02,2645.31,16194.15,63861.31,92.69,77.79,133.16,366.77,68717.27,32671.26,164879.47,519699.94
agentic_kimik2.5_tp4_conc40_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_04,4,40,none,SUCCESS,190,0.1,56.77,9425.52,9368.75,34795.51,25866.06,81739.13,107923.53,391.4,383.28,671.96,1127.95,247469.41,147117.3,624811.5,1120716.24
agentic_kimik2.5_tp4_conc48_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_07,4,48,lmcache,SUCCESS,640,0.35,245.64,30055.62,29809.98,25463.38,24750.0,47024.06,60099.76,117.44,110.25,174.03,262.93,110593.44,65010.07,241210.0,671423.47
agentic_kimik2.5_tp4_conc48_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_02,4,48,none,SUCCESS,150,0.08,38.95,7107.6,7068.650000000001,119585.37,128087.31,177496.51,215985.87,586.32,556.75,881.56,1043.28,389656.37,284938.79,724802.26,1697236.36
agentic_kimik2.5_tp4_conc4_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_04,4,4,lmcache,SUCCESS,353,0.19,97.06,14238.71,14141.65,1879.73,1243.1,2487.53,23185.41,14.56,12.96,15.9,32.91,8866.94,4141.91,19728.45,75966.66
agentic_kimik2.5_tp4_conc4_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_01,4,4,none,SUCCESS,360,0.2,98.83,14516.31,14417.48,1588.13,1117.27,2194.63,16571.57,13.96,12.66,15.23,34.0,8461.7,3680.31,18403.55,70453.74
agentic_kimik2.5_tp4_conc56_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc56_mi355x-amds_06,4,56,lmcache,SUCCESS,589,0.32,239.7,28386.97,28147.27,56140.78,60972.16,88977.16,116762.95,127.84,112.3,205.19,446.83,147297.2,100506.2,293451.02,823384.71
agentic_kimik2.5_tp4_conc56_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc56_mi355x-amds_08,4,56,none,SUCCESS,145,0.08,40.88,6789.77,6748.89,212511.21,239808.03,296012.33,354344.08,519.31,493.33,801.03,1179.76,467614.06,368523.31,770030.38,1552385.99
agentic_kimik2.5_tp4_conc64_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc64_mi355x-amds_03,4,64,lmcache,SUCCESS,551,0.3,255.71,27777.98,27522.27,90500.04,98475.43,142476.7,177627.25,112.31,98.17,178.99,362.82,181268.97,144367.58,310259.7,893652.94
agentic_kimik2.5_tp4_conc64_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc64_mi355x-amds_00,4,64,none,SUCCESS,105,0.06,29.88,5107.64,5077.76,395633.56,439664.93,576427.21,716610.2,620.96,526.11,1167.44,1434.72,673395.87,625288.68,1018808.95,1636692.96
agentic_kimik2.5_tp4_conc8_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_01,4,8,lmcache,SUCCESS,384,0.21,176.86,21244.64,21067.78,2954.28,1583.23,4724.65,26486.87,28.81,17.99,26.66,143.27,20527.63,10030.04,49916.81,137117.68
agentic_kimik2.5_tp4_conc8_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_00,4,8,none,SUCCESS,392,0.22,180.18,21782.43,21602.25,2697.15,1567.11,3974.07,24066.33,22.65,17.62,24.95,154.6,19327.18,9787.29,47302.2,132878.05
