Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,avg,170.70
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,min,0.00
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,max,372.23
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,p50,168.98
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,p90,179.98
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,p95,182.28
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,p99,189.04
0,1780474576930921984,1780474577930921984,Active Decode Throughput,tokens/sec,std,6.26
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,avg,170.70
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,max,372.23
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,p50,168.98
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,p90,179.98
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,p95,182.28
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,p99,189.04
0,1780474576930921984,1780474577930921984,Active Decode Throughput Per User,tokens/sec/user,std,6.26
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,avg,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,min,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,max,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,p50,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,p90,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,p95,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,p99,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput,tokens/sec,std,0.00
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,avg,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,min,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,max,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,p50,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,p90,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,p95,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,p99,177426.44
0,1780474576930921984,1780474577930921984,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,avg,73537.69
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,min,89.94
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,max,177426.44
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,p50,89.94
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,p90,177426.44
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,p95,177426.44
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,p99,177426.44
0,1780474576930921984,1780474577930921984,Active Total Throughput,tokens/sec,std,87352.13
0,1780474576930921984,1780474577930921984,Benchmark Duration,sec,avg,2.62
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,avg,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,min,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,max,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,sum,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p1,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p5,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p10,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p25,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p50,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p75,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p90,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p95,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,p99,76.08
0,1780474576930921984,1780474577930921984,E2E Output Token Throughput,tokens/sec/user,std,0.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,avg,1.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,min,1.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,max,1.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,p50,1.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,p90,1.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,p95,1.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,p99,1.00
0,1780474576930921984,1780474577930921984,Effective Concurrency,requests,std,0.00
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,avg,0.59
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,min,0.00
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,max,1.00
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,p50,1.00
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,p90,1.00
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,p95,1.00
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,p99,1.00
0,1780474576930921984,1780474577930921984,Effective Decode Concurrency,requests,std,0.49
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,avg,100.00
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,min,0.00
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,max,372.23
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,p50,164.66
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,p90,176.24
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,p95,180.65
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,p99,189.04
0,1780474576930921984,1780474577930921984,Effective Decode Throughput,tokens/sec,std,84.22
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,avg,100.00
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,max,372.23
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,p50,164.66
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,p90,176.24
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,p95,180.65
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,p99,189.04
0,1780474576930921984,1780474577930921984,Effective Decode Throughput Per User,tokens/sec/user,std,84.22
0,1780474576930921984,1780474577930921984,Effective Prefill Concurrency,requests,avg,0.41
0,1780474576930921984,1780474577930921984,Effective Prefill Concurrency,requests,min,0.00
0,1780474576930921984,1780474577930921984,Effective Prefill Concurrency,requests,max,1.00
0,1780474576930921984,1780474577930921984,Effective Prefill Concurrency,requests,p50,0.00
0,1780474576930921984,1780474577930921984,Effective Prefill Concurrency,requests,p90,1.00
