Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,avg,166.53
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,min,43.98
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,max,345.55
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,p50,192.43
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,p90,195.82
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,p95,196.25
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,p99,196.66
0,1780468280136169472,1780468281136169472,Active Decode Throughput,tokens/sec,std,56.45
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,avg,87.13
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,min,21.99
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,max,172.78
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,p50,96.22
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,p90,97.91
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,p95,98.12
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,p99,98.33
0,1780468280136169472,1780468281136169472,Active Decode Throughput Per User,tokens/sec/user,std,19.85
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,avg,180054.62
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,min,77517.07
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,max,279184.56
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,p50,187565.48
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,p90,279184.56
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,p95,279184.56
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,p99,279184.56
0,1780468280136169472,1780468281136169472,Active Prefill Throughput,tokens/sec,std,66644.95
0,1780468280136169472,1780468281136169472,Active Prefill Throughput Per User,tokens/sec/user,avg,151600.47
0,1780468280136169472,1780468281136169472,Active Prefill Throughput Per User,tokens/sec/user,min,77517.07
0,1780468280136169472,1780468281136169472,Active Prefill Throughput Per User,tokens/sec/user,max,187565.48
0,1780468280136169472,1780468281136169472,Active Prefill Throughput Per User,tokens/sec/user,p50,187565.48
0,1780468280136169472,1780468281136169472,Active Prefill Throughput Per User,tokens/sec/user,p90,187565.48
