Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),235.35,0.00,17723.20,,,,,,219.74,,426.21,551.75,653.08,144.96
Active Decode Throughput Per User (tokens/sec/user),7.84,0.00,2890.32,,,,,,7.06,,13.24,17.03,23.74,5.60
Active Prefill Throughput (tokens/sec),30427.82,845.64,318234.97,,,,,,27249.92,,42401.70,54981.55,124650.86,21373.54
Active Prefill Throughput Per User (tokens/sec/user),4844.11,845.64,135368.35,,,,,,2783.78,,6508.26,15158.93,45997.71,8169.88
Active Total Throughput (tokens/sec),30055.27,6.78,318306.45,,,,,,27348.08,,42645.10,54719.23,124913.21,21612.23
Credit Drop Latency (ms),30.63,0.88,442.15,551.38,1.03,1.64,2.03,2.43,2.89,9.20,18.44,95.71,372.86,100.09
Credit-to-Start Latency (ms),3.56,0.88,442.63,2280.31,0.95,1.09,1.14,1.27,1.47,1.74,2.56,8.63,49.11,18.88
E2E Output Token Throughput (tokens/sec/user),5.53,0.10,16.59,3536.83,0.24,0.83,1.83,3.19,5.13,7.19,10.08,11.57,13.54,3.18
Effective Concurrency,38.73,1.00,50.00,,,,,,41.00,,46.00,47.00,48.00,8.46
Effective Decode Concurrency,29.81,0.00,40.00,,,,,,31.00,,36.00,37.00,38.00,6.80
Effective Decode Throughput (tokens/sec),235.23,0.00,17723.20,,,,,,219.74,,426.21,551.72,653.08,145.02
Effective Decode Throughput Per User (tokens/sec/user),7.84,0.00,2890.32,,,,,,7.06,,13.24,17.02,23.74,5.60
Effective Latency (CO-aware) (ms),110597.07,3294.81,1246783.47,70782124.08,7732.54,15674.94,23142.08,39772.71,65011.25,135601.05,241211.29,345345.43,671427.94,128702.57
Effective Prefill Concurrency,8.92,0.00,18.00,,,,,,9.00,,14.00,15.00,16.00,3.74
Effective Prefill Throughput (tokens/sec),29809.99,0.00,318234.97,,,,,,27047.91,,42388.70,54463.91,124650.86,21586.34
Effective Prefill Throughput Per User (tokens/sec/user),4745.75,0.00,135368.35,,,,,,2726.70,,6375.99,14149.35,45508.64,8115.32
Effective Total Throughput (tokens/sec),30055.27,6.78,318306.45,,,,,,27348.08,,42645.10,54719.23,124913.21,21612.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,700.98,5.00,10563.00,448626.00,6.00,17.00,72.90,133.75,306.00,825.00,1710.50,2521.60,5817.94,1051.08
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.52,0.00,1.80,330.94,0.00,0.00,0.00,0.00,0.63,0.72,1.09,1.16,1.33,0.42
HTTP Connection Overhead (ms),0.61,0.00,2.38,393.59,0.00,0.00,0.00,0.00,0.63,0.72,1.56,1.65,1.89,0.58
HTTP Connection Reused (ratio),0.35,0.00,1.00,222.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),172.47,1.83,2594.10,110378.97,2.07,4.77,18.49,33.31,75.59,203.16,418.95,618.71,1424.94,257.66
HTTP Data Sent (KB),336.22,1.57,930.36,215181.50,2.01,94.80,121.76,187.59,331.08,457.44,601.32,703.15,876.27,190.63
HTTP DNS Lookup (ms),0.10,0.00,0.73,62.65,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.51,0.58,0.19
HTTP Duration (excl. conn) (ms),110593.40,3293.21,1246767.52,70779773.95,7720.13,15673.26,23140.84,39771.26,65009.98,135598.99,241209.88,345343.95,671423.36,128702.65
HTTP Receiving (ms),85130.39,157.58,1243905.13,54483447.60,343.33,1436.36,4728.53,14573.59,33577.90,104946.76,213734.05,323722.14,669907.53,128967.01
HTTP Sending (ms),0.79,0.20,2.14,504.90,0.21,0.22,0.24,0.27,0.89,1.02,1.37,1.46,1.70,0.44
HTTP Total Time (ms),110594.01,3293.21,1246769.90,70780167.54,7720.83,15673.93,23141.40,39771.42,65010.28,135599.70,241209.88,345345.43,671424.10,128702.75
HTTP Waiting (TTFB) (ms),25462.22,240.27,73288.84,16295821.45,902.40,1943.45,3479.10,15281.00,24749.31,34595.27,47022.72,52823.20,60098.24,15292.26
Input Sequence Length (tokens),85120.22,401.00,236264.00,54476942.00,466.00,23875.00,30786.00,47277.25,84082.50,115949.25,152459.40,178290.35,222489.63,48360.04
Inter Chunk Latency (ms),121.82,0.06,6822.35,54483239.07,25.03,34.99,38.06,40.08,41.32,48.13,77.21,535.04,2168.30,355.58
Inter Token Latency (ms),117.44,31.51,453.78,75161.32,41.38,45.88,61.00,81.96,110.25,147.62,174.03,191.16,262.93,50.73
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),701.40,5.00,10571.00,448896.00,6.00,17.00,72.90,133.75,306.00,825.00,1710.50,2521.70,5819.16,1051.49
Output Token Count (tokens),701.40,5.00,10571.00,448896.00,6.00,17.00,72.90,133.75,306.00,825.00,1710.50,2521.70,5819.16,1051.49
Output Token Throughput Per User (tokens/sec/user),10.22,2.20,31.73,6543.27,3.80,5.23,5.75,6.77,9.07,12.20,16.39,21.79,24.17,4.75
Prefill Throughput Per User (tokens/sec/user),8775.08,14.89,135368.36,5616050.89,27.13,688.21,1023.33,1762.06,3268.52,6226.52,26082.59,47007.08,69035.37,15487.53
Request Latency (ms),110593.44,3293.33,1246767.63,70779799.81,7720.23,15673.37,23140.94,39771.37,65010.07,135599.10,241210.00,345302.30,671423.47,128702.53
Requested OSL (tokens),701.40,5.00,10571.00,448896.00,6.00,17.00,72.90,133.75,306.00,825.00,1710.50,2521.70,5819.16,1051.49
Time to First Output Token (ms),25463.38,240.64,73289.88,16296560.74,904.30,1945.08,3479.61,15281.94,24750.00,34596.33,47024.06,52824.14,60099.76,15292.67
Time to First Token (ms),25463.38,240.64,73289.88,16296560.74,904.30,1945.08,3479.61,15281.94,24750.00,34596.33,47024.06,52824.14,60099.76,15292.67
Time to Second Token (ms),193.28,5.01,2994.44,123702.23,18.53,32.65,36.89,39.07,43.46,138.11,572.38,911.51,1877.58,362.76
Tokens In Flight (tokens),3728682.42,100220.00,4907185.52,,,,,,3919446.47,,4555557.56,4655701.90,4803299.14,912043.26
Usage Completion Tokens (tokens),701.40,5.00,10571.00,448896.00,6.00,17.00,72.90,133.75,306.00,825.00,1710.50,2521.70,5819.16,1051.49
Usage Prompt Tokens (tokens),85120.22,401.00,236264.00,54476942.00,466.00,23875.00,30786.00,47277.25,84082.50,115949.25,152459.40,178290.35,222489.63,48360.04
Usage Total Tokens (tokens),85821.62,419.00,237348.00,54925838.00,486.95,24295.85,31082.00,47593.00,84615.00,116435.75,153412.00,181458.55,223217.04,48549.67

Metric,Value
Benchmark Duration (sec),1827.47
Input Token Throughput (tokens/sec),29809.99
Maximum Response Timestamp (ns),1780473128015377664.00
Minimum Request Timestamp (ns),1780471300542435072.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),245.64
Request Count,640.00
Request Throughput (requests/sec),0.35
Theoretical Prefix Cache Hit (%),95.60
Total Input Sequence Length (tokens),54476942.00
Total Output Sequence Length (tokens),448896.00
Total Output Tokens (tokens),448896.00
Total Token Throughput (tokens/sec),30055.62
Total Usage Completion Tokens (tokens),448896.00
Total Usage Prompt Tokens (tokens),54476942.00
Total Usage Total Tokens (tokens),54925838.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
