Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),33.48,0.00,329.04,,,,,,26.92,,59.37,94.52,155.01,30.11
Active Decode Throughput Per User (tokens/sec/user),1.90,0.00,50.55,,,,,,1.34,,3.05,5.08,14.40,2.78
Active Prefill Throughput (tokens/sec),7346.23,396.32,206589.21,,,,,,6163.44,,9050.36,10036.66,54932.73,9219.84
Active Prefill Throughput Per User (tokens/sec/user),739.73,370.64,188891.11,,,,,,574.88,,772.52,929.75,3881.14,3396.34
Active Total Throughput (tokens/sec),7107.52,1.77,206589.21,,,,,,6133.90,,9087.62,10082.60,54465.95,9150.20
Credit Drop Latency (ms),2.57,0.93,5.13,10.29,0.96,1.06,1.18,1.55,2.11,3.13,4.33,4.73,5.05,1.57
Credit-to-Start Latency (ms),5.68,0.94,97.43,851.41,0.97,1.10,1.17,1.32,1.56,3.16,11.53,21.60,62.12,12.62
E2E Output Token Throughput (tokens/sec/user),0.95,0.03,1.74,142.92,0.04,0.09,0.35,0.65,0.95,1.37,1.57,1.61,1.72,0.47
Effective Concurrency,32.17,1.00,42.00,,,,,,37.00,,41.00,41.00,41.00,10.40
Effective Decode Concurrency,22.29,0.00,33.00,,,,,,25.00,,31.00,31.00,32.00,7.71
Effective Decode Throughput (tokens/sec),33.47,0.00,329.04,,,,,,26.92,,59.37,94.52,155.01,30.11
Effective Decode Throughput Per User (tokens/sec/user),1.90,0.00,50.55,,,,,,1.34,,3.05,5.08,14.40,2.78
Effective Latency (CO-aware) (ms),389662.04,67965.38,1807754.32,58449306.23,82220.43,144226.90,165534.45,214840.19,284940.02,455326.11,724804.83,903226.15,1697257.86,301816.05
Effective Prefill Concurrency,9.87,0.00,21.00,,,,,,10.00,,14.00,15.00,20.00,4.00
Effective Prefill Throughput (tokens/sec),7068.65,0.00,206589.21,,,,,,6085.59,,9039.49,10036.66,54456.12,9151.81
Effective Prefill Throughput Per User (tokens/sec/user),711.78,0.00,188891.11,,,,,,570.06,,772.05,929.75,3630.41,3334.54
Effective Total Throughput (tokens/sec),7107.52,1.77,206589.21,,,,,,6133.90,,9087.62,10082.60,54465.95,9150.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,471.84,5.00,3154.00,70776.00,6.00,14.00,60.00,122.00,258.00,655.00,1106.40,1441.75,2910.08,566.47
HTTP Chunks Sent,1.00,1.00,1.00,150.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.66,0.00,1.31,99.66,0.00,0.00,0.00,0.00,0.67,1.07,1.14,1.16,1.27,0.45
HTTP Connection Overhead (ms),0.86,0.00,1.85,129.70,0.00,0.00,0.00,0.00,0.67,1.51,1.61,1.65,1.78,0.65
HTTP Connection Reused (ratio),0.27,0.00,1.00,41.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.45
HTTP Data Received (KB),116.23,1.82,773.75,17435.02,2.06,4.04,15.28,30.43,63.81,160.86,271.85,355.86,712.93,138.85
HTTP Data Sent (KB),338.16,9.68,829.39,50724.02,22.93,94.71,123.52,198.24,335.07,455.47,580.04,727.36,795.76,179.59
HTTP DNS Lookup (ms),0.20,0.00,0.54,30.04,0.00,0.00,0.00,0.00,0.00,0.45,0.49,0.50,0.53,0.23
HTTP Duration (excl. conn) (ms),389656.25,67867.84,1807718.56,58448438.01,82207.99,144225.35,165532.95,214826.44,284938.67,455324.39,724802.17,903224.82,1697236.23,301814.49
HTTP Receiving (ms),270071.00,326.45,1785012.49,40510649.72,849.48,3834.83,18479.39,63500.65,154557.93,364831.57,631744.30,795053.12,1669611.72,319363.29
HTTP Sending (ms),0.94,0.21,1.66,140.83,0.22,0.23,0.25,0.31,0.95,1.34,1.45,1.48,1.62,0.46
HTTP Total Time (ms),389657.12,67869.34,1807720.19,58448567.71,82209.63,144226.23,165534.51,214826.60,284939.77,455325.00,724802.70,903225.97,1697237.70,301814.64
HTTP Waiting (TTFB) (ms),119584.32,646.74,220251.17,17937647.47,2247.78,8273.35,26712.27,93715.27,128086.42,157188.34,177495.47,195450.45,215985.18,53815.69
Input Sequence Length (tokens),85629.03,2385.00,210208.00,12844355.00,5832.10,23874.00,31360.30,50013.75,84600.00,115418.50,146836.10,184810.55,201178.05,45526.36
Inter Chunk Latency (ms),574.71,9.59,8724.14,40510648.94,32.52,39.12,39.75,40.34,370.95,976.08,1551.62,1846.38,2600.24,645.41
Inter Token Latency (ms),586.32,40.03,1163.36,87948.73,40.64,288.41,347.42,492.94,556.75,678.65,881.56,1003.58,1043.28,209.68
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),471.84,5.00,3154.00,70776.00,6.00,14.00,60.00,122.00,258.00,655.00,1106.40,1441.75,2910.08,566.47
Output Token Count (tokens),471.84,5.00,3154.00,70776.00,6.00,14.00,60.00,122.00,258.00,655.00,1106.40,1441.75,2910.08,566.47
Output Token Throughput Per User (tokens/sec/user),2.47,0.86,24.98,370.51,0.96,1.00,1.13,1.47,1.80,2.03,2.88,3.47,24.61,3.74
Prefill Throughput Per User (tokens/sec/user),3012.35,15.06,188891.13,451852.29,53.40,199.42,283.36,411.94,632.24,1088.58,3578.58,6313.83,38690.70,16011.48
Request Latency (ms),389656.37,67867.95,1807718.67,58448454.82,82208.12,144225.47,165533.05,214826.56,284938.79,455324.49,724802.26,903224.94,1697236.36,301814.49
Requested OSL (tokens),471.84,5.00,3154.00,70776.00,6.00,14.00,60.00,122.00,258.00,655.00,1106.40,1441.75,2910.08,566.47
Time to First Output Token (ms),119585.37,648.41,220251.50,17937805.88,2249.47,8274.96,26713.86,93716.38,128087.31,157189.42,177496.51,195451.62,215985.87,53815.49
Time to First Token (ms),119585.37,648.41,220251.50,17937805.88,2249.47,8274.96,26713.86,93716.38,128087.31,157189.42,177496.51,195451.62,215985.87,53815.49
Time to Second Token (ms),256.89,12.42,929.29,38533.93,25.02,38.18,38.81,50.00,313.57,347.06,371.70,371.83,379.13,142.04
