Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,avg,35.98
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,min,0.00
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,max,71.96
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,p50,35.98
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,p90,35.99
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,p95,35.99
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,p99,35.99
0,1780477649025051904,1780477650025051904,Active Decode Throughput,tokens/sec,std,0.05
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,avg,35.98
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,max,71.96
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,p50,35.98
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,p90,35.99
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,p95,35.99
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,p99,35.99
0,1780477649025051904,1780477650025051904,Active Decode Throughput Per User,tokens/sec/user,std,0.05
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,avg,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,min,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,max,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,p50,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,p90,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,p95,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,p99,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput,tokens/sec,std,0.00
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,avg,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,min,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,max,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,p50,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,p90,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,p95,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,p99,164655.39
0,1780477649025051904,1780477650025051904,Active Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,avg,122488.29
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,min,5.04
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,max,164655.39
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,p50,164655.39
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,p90,164655.39
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,p95,164655.39
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,p99,164655.39
0,1780477649025051904,1780477650025051904,Active Total Throughput,tokens/sec,std,71866.29
0,1780477649025051904,1780477650025051904,Benchmark Duration,sec,avg,125.77
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,avg,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,min,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,max,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,sum,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p1,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p5,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p10,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p25,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p50,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p75,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p90,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p95,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,p99,5.02
0,1780477649025051904,1780477650025051904,E2E Output Token Throughput,tokens/sec/user,std,0.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,avg,1.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,min,1.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,max,1.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,p50,1.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,p90,1.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,p95,1.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,p99,1.00
0,1780477649025051904,1780477650025051904,Effective Concurrency,requests,std,0.00
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,avg,0.26
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,min,0.00
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,max,1.00
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,p50,0.00
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,p90,1.00
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,p95,1.00
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,p99,1.00
0,1780477649025051904,1780477650025051904,Effective Decode Concurrency,requests,std,0.44
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,avg,9.21
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,min,0.00
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,max,71.96
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,p90,35.98
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,p95,35.99
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,p99,35.99
0,1780477649025051904,1780477650025051904,Effective Decode Throughput,tokens/sec,std,15.71
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,avg,9.21
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,max,71.96
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,p90,35.98
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,p95,35.99
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,p99,35.99
0,1780477649025051904,1780477650025051904,Effective Decode Throughput Per User,tokens/sec/user,std,15.71
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,avg,0.74
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,min,0.00
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,max,1.00
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,p50,1.00
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,p90,1.00
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,p95,1.00
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,p99,1.00
0,1780477649025051904,1780477650025051904,Effective Prefill Concurrency,requests,std,0.44
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,avg,122487.00
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,min,0.00
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,max,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,p50,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,p90,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,p95,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,p99,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput,tokens/sec,std,71868.49
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,avg,122487.00
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,min,0.00
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,max,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,p50,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,p90,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,p95,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,p99,164655.39
0,1780477649025051904,1780477650025051904,Effective Prefill Throughput Per User,tokens/sec/user,std,71868.49
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,avg,122488.29
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,min,5.04
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,max,164655.39
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,p50,164655.39
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,p90,164655.39
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,p95,164655.39
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,p99,164655.39
0,1780477649025051904,1780477650025051904,Effective Total Throughput,tokens/sec,std,71866.29
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,avg,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,min,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,max,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,sum,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p1,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p5,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p10,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p25,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p50,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p75,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p90,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p95,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,p99,0.00
0,1780477649025051904,1780477650025051904,HTTP Blocked,ms,std,0.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,avg,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,min,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,max,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,sum,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p1,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p5,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p10,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p25,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p50,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p75,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p90,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p95,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,p99,623.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Received,count,std,0.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,avg,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,min,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,max,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,sum,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p1,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p5,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p10,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p25,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p50,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p75,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p90,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p95,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,p99,1.00
0,1780477649025051904,1780477650025051904,HTTP Chunks Sent,count,std,0.00
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,avg,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,min,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,max,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,sum,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p1,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p5,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p10,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p25,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p50,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p75,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p90,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p95,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,p99,0.85
0,1780477649025051904,1780477650025051904,HTTP Connecting,ms,std,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,avg,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,min,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,max,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,sum,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p1,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p5,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p10,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p25,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p50,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p75,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p90,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p95,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,p99,0.85
0,1780477649025051904,1780477650025051904,HTTP Connection Overhead,ms,std,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,avg,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,min,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,max,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,sum,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p1,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p5,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p10,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p25,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p50,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p75,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p90,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p95,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,p99,0.00
0,1780477649025051904,1780477650025051904,HTTP Connection Reused,ratio,std,0.00
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,avg,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,min,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,max,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,sum,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p1,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p5,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p10,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p25,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p50,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p75,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p90,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p95,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,p99,155.38
0,1780477649025051904,1780477650025051904,HTTP Data Received,KB,std,0.00
0,1780477649025051904,1780477650025051904,HTTP Data Sent,KB,avg,479.36
0,1780477649025051904,1780477650025051904,HTTP Data Sent,KB,min,479.36
0,1780477649025051904,1780477650025051904,HTTP Data Sent,KB,max,479.36
0,1780477649025051904,1780477650025051904,HTTP Data Sent,KB,sum,479.36
0,1780477649025051904,1780477650025051904,HTTP Data Sent,KB,p1,479.36
0,1780477649025051904,1780477650025051904,HTTP Data Sent,KB,p5,479.36
