Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,avg,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,min,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,max,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,p50,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,p90,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,p95,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,p99,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput,tokens/sec,std,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780477366848912896,1780477367848912896,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,avg,37679.15
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,min,26450.66
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,max,56773.22
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,p50,44514.49
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,p90,56773.22
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,p95,56773.22
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,p99,56773.22
0,1780477366848912896,1780477367848912896,Active Prefill Throughput,tokens/sec,std,11506.57
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,avg,23771.11
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,min,18924.41
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,max,26450.66
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,p50,22257.24
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,p90,26450.66
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,p95,26450.66
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,p99,26450.66
0,1780477366848912896,1780477367848912896,Active Prefill Throughput Per User,tokens/sec/user,std,2794.97
