exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_minimaxm2.5_tp1_conc16_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_04,1,16,lmcache,SUCCESS,181,0.1,95.11,8855.23,8760.119999999999,96497.19,98403.17,140047.54,160995.08,37.48,34.93,46.83,108.31,128951.99,130667.21,182405.33,298594.0
agentic_minimaxm2.5_tp1_conc16_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_05,1,16,none,SUCCESS,112,0.06,54.24,5669.03,5614.79,175691.23,184209.39,241706.5,258445.31,82.18,55.94,131.65,491.87,224599.67,214258.98,316311.08,470874.98
agentic_minimaxm2.5_tp1_conc1_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_01,1,1,lmcache,SUCCESS,33,0.04,43.39,2883.58,2840.19,1008.55,687.22,1263.85,5424.92,10.31,10.14,11.22,11.31,13694.37,7904.56,32875.55,81358.86
agentic_minimaxm2.5_tp1_conc1_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_02,1,1,none,SUCCESS,62,0.04,39.7,2948.68,2908.98,812.12,551.85,947.4,4605.86,9.94,10.06,11.25,11.35,12168.23,5279.3,32486.64,87204.12
agentic_minimaxm2.5_tp1_conc2_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_06,1,2,lmcache,SUCCESS,245,0.14,69.67,6999.6,6929.93,3059.63,679.13,5905.85,44684.26,12.8,11.6,16.46,34.73,9284.52,3736.52,17559.95,93469.89
agentic_minimaxm2.5_tp1_conc2_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_07,1,2,none,SUCCESS,250,0.14,71.42,7104.79,7033.37,2553.54,576.67,6665.66,37593.07,11.06,10.97,13.92,19.17,8414.73,3401.19,14749.29,88086.62
agentic_minimaxm2.5_tp1_conc32_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_07,1,32,lmcache,SUCCESS,137,0.07,80.01,6218.01,6138.0,315783.92,330921.66,473531.27,521053.75,51.28,38.95,80.54,176.0,365563.86,379824.67,534392.6,677864.26
agentic_minimaxm2.5_tp1_conc32_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_04,1,32,none,SUCCESS,108,0.06,66.06,4933.58,4867.5199999999995,392304.6,414584.26,565314.71,601269.23,70.39,51.33,123.59,398.89,451959.05,460671.07,616127.05,839015.79
agentic_minimaxm2.5_tp1_conc40_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_05,1,40,lmcache,SUCCESS,97,0.05,65.69,4582.37,4516.68,529904.86,645286.52,796449.65,840535.42,67.35,55.86,116.35,220.61,598957.73,714485.53,870440.51,1105774.8
agentic_minimaxm2.5_tp1_conc40_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_03,1,40,none,SUCCESS,109,0.06,71.78,5278.38,5206.6,495349.03,529315.4,781690.67,810963.82,70.7,50.36,135.73,275.3,555195.18,570215.45,823894.49,946966.22
agentic_minimaxm2.5_tp1_conc48_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_00,1,48,lmcache,SUCCESS,96,0.05,62.78,4487.91,4425.13,637276.2,803260.52,993341.76,1009679.2,80.5,55.94,163.28,265.33,707909.24,849864.65,1028926.42,1330002.71
agentic_minimaxm2.5_tp1_conc48_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_02,1,48,none,SUCCESS,114,0.06,68.6,5324.83,5256.23,582590.99,639339.41,888869.5,916755.41,67.78,49.97,143.81,195.86,640785.06,686010.66,922417.77,1077922.96
agentic_minimaxm2.5_tp1_conc4_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_01,1,4,lmcache,SUCCESS,345,0.19,91.89,13510.94,13419.050000000001,879.04,666.77,1126.6,6347.06,16.16,15.32,23.4,49.7,9036.81,3635.12,20592.85,74566.6
agentic_minimaxm2.5_tp1_conc4_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_06,1,4,none,SUCCESS,357,0.2,98.24,14018.88,13920.64,682.59,574.38,927.32,3309.5,14.07,13.9,20.71,40.28,8544.19,3074.17,20658.84,81051.38
agentic_minimaxm2.5_tp1_conc8_offloadlmcache_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_08,1,8,lmcache,SUCCESS,263,0.14,105.24,12027.16,11921.92,14293.44,9195.56,36249.6,75551.47,38.73,32.53,49.5,170.67,38766.21,27337.17,86183.8,181896.17
agentic_minimaxm2.5_tp1_conc8_offloadnone_fp8_vllm_tp1-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_04,1,8,none,SUCCESS,135,0.07,57.86,6009.33,5951.47,45331.1,47464.32,81283.24,105162.79,74.04,49.18,117.6,482.99,87904.16,76446.98,164235.11,310801.47
