Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),90.38,0.00,23573.08,,,,,,100.58,,139.97,158.04,187.78,51.40
Active Decode Throughput Per User (tokens/sec/user),90.38,0.00,23573.08,,,,,,100.58,,139.97,158.04,187.78,51.40
Active Prefill Throughput (tokens/sec),99608.96,5214.26,236418.84,,,,,,115672.19,,182463.40,213374.23,222747.42,69198.85
Active Prefill Throughput Per User (tokens/sec/user),99608.96,5214.26,236418.84,,,,,,115672.19,,182463.40,213374.23,222747.42,69198.85
Active Total Throughput (tokens/sec),6738.29,88.02,236418.84,,,,,,98.77,,103.53,23025.49,172463.41,30599.71
Credit Drop Latency (ms),6.52,3.51,9.52,13.03,3.57,3.81,4.11,5.01,6.52,8.02,8.92,9.22,9.46,3.00
Credit-to-Start Latency (ms),1.79,1.25,11.28,111.12,1.25,1.29,1.30,1.38,1.47,1.68,1.80,2.01,7.82,1.41
E2E Output Token Throughput (tokens/sec/user),79.72,10.51,99.43,4942.87,18.21,38.57,57.61,75.23,82.64,93.73,96.62,98.41,99.03,18.24
Effective Concurrency,0.44,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.50
Effective Decode Concurrency,0.41,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.49
Effective Decode Throughput (tokens/sec),39.64,0.00,23573.08,,,,,,0.00,,112.08,139.12,187.61,54.69
Effective Decode Throughput Per User (tokens/sec/user),36.91,0.00,23573.08,,,,,,0.00,,112.08,139.11,187.61,55.25
Effective Latency (CO-aware) (ms),12170.63,228.30,98104.84,754578.92,269.27,607.93,950.16,2700.51,5280.71,11679.78,32488.60,43199.36,87205.57,18036.27
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),2908.99,0.00,236418.84,,,,,,0.00,,0.00,0.00,141284.07,20521.74
Effective Prefill Throughput Per User (tokens/sec/user),2908.99,0.00,236418.84,,,,,,0.00,,0.00,0.00,141284.07,20521.74
Effective Total Throughput (tokens/sec),2948.65,0.00,236418.84,,,,,,0.00,,102.43,103.49,141284.07,20516.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1099.84,3.00,9655.00,68190.00,7.88,18.00,52.70,199.25,411.00,1097.75,2757.90,4142.65,8513.08,1740.97
HTTP Chunks Sent,1.00,1.00,1.00,62.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.49,0.00,1.24,30.64,0.00,0.00,0.00,0.00,0.64,0.70,0.80,1.11,1.22,0.37
HTTP Connection Overhead (ms),0.53,0.00,1.78,33.10,0.00,0.00,0.00,0.00,0.64,0.70,0.80,1.55,1.77,0.45
HTTP Connection Reused (ratio),0.32,0.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),273.54,1.35,2386.08,16959.76,2.57,5.08,13.73,50.21,102.88,273.86,687.68,1031.21,2112.98,431.49
HTTP Data Sent (KB),316.17,1.74,465.97,19602.77,3.27,215.32,227.15,243.66,290.86,442.22,460.77,463.71,465.97,105.50
HTTP DNS Lookup (ms),0.04,0.00,0.56,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.55,0.13
HTTP Duration (excl. conn) (ms),12168.73,223.00,98103.45,754461.28,260.26,606.39,948.69,2698.60,5279.19,11678.04,32486.53,43197.89,87204.02,18036.45
HTTP Receiving (ms),11356.73,3.32,97784.26,704117.12,50.45,140.43,502.13,2155.49,4582.87,11142.06,28965.32,40715.92,84499.40,17664.68
HTTP Sending (ms),0.75,0.20,1.51,46.56,0.21,0.21,0.22,0.25,0.89,0.98,1.10,1.36,1.48,0.38
HTTP Total Time (ms),12169.26,223.00,98104.07,754494.39,260.26,606.39,949.39,2698.60,5279.88,11678.04,32486.60,43198.62,87204.26,18036.46
HTTP Waiting (TTFB) (ms),811.25,82.75,4832.13,50297.61,124.24,334.04,459.56,497.18,551.17,659.44,946.41,3514.21,4605.09,935.28
Input Sequence Length (tokens),80894.29,433.00,119005.00,5015446.00,861.22,55288.35,58262.00,63103.75,74423.00,112664.50,117631.00,118396.10,119005.00,26768.46
Inter Chunk Latency (ms),11.75,0.06,29.51,704079.10,7.53,9.65,9.70,9.79,10.12,11.24,20.32,22.54,22.89,4.00
Inter Token Latency (ms),9.94,0.66,11.36,616.41,4.04,8.02,8.82,9.70,10.06,11.03,11.25,11.34,11.35,1.55
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1103.90,6.00,9659.00,68442.00,10.88,18.15,56.90,204.00,416.00,1102.00,2762.00,4145.75,8516.47,1741.00
Output Token Count (tokens),1103.90,6.00,9659.00,68442.00,10.88,18.15,56.90,204.00,416.00,1102.00,2762.00,4145.75,8516.47,1741.00
Output Token Throughput Per User (tokens/sec/user),122.98,88.05,1508.98,7624.64,88.09,88.18,88.87,90.64,99.44,103.14,113.39,124.67,686.91,177.87
Prefill Throughput Per User (tokens/sec/user),135511.70,5214.25,236418.83,8401725.11,6616.35,13660.20,67947.44,109787.83,141369.34,170575.00,198655.01,216934.62,228079.26,55270.49
Request Latency (ms),12168.23,223.09,98103.55,754430.45,260.35,606.51,948.80,2698.71,5279.30,11678.16,32486.64,43197.34,87204.12,18035.87
Requested OSL (tokens),1103.90,6.00,9659.00,68442.00,10.88,18.15,56.90,204.00,416.00,1102.00,2762.00,4145.75,8516.47,1741.00
Time to First Output Token (ms),812.12,83.04,4832.51,50351.35,124.54,335.05,460.62,497.83,551.85,660.62,947.40,3514.56,4605.86,935.20
Time to First Token (ms),812.12,83.04,4832.51,50351.35,124.54,335.05,460.62,497.83,551.85,660.62,947.40,3514.56,4605.86,935.20
Time to Second Token (ms),0.59,0.20,7.92,36.40,0.21,0.23,0.26,0.29,0.36,0.41,0.47,0.57,7.65,1.30
Tokens In Flight (tokens),35939.25,0.00,119106.00,,,,,,0.00,,112712.48,116583.53,118091.43,43189.52
Usage Completion Tokens (tokens),1103.90,6.00,9659.00,68442.00,10.88,18.15,56.90,204.00,416.00,1102.00,2762.00,4145.75,8516.47,1741.00
Usage Prompt Tokens (tokens),80894.29,433.00,119005.00,5015446.00,861.22,55288.35,58262.00,63103.75,74423.00,112664.50,117631.00,118396.10,119005.00,26768.46
Usage Total Tokens (tokens),81998.19,451.00,119106.00,5083888.00,878.61,55652.25,60428.00,63437.50,77043.00,113880.75,117826.00,118794.20,119106.00,26741.96

Metric,Value
Benchmark Duration (sec),1724.12
Input Token Throughput (tokens/sec),2908.99
Maximum Response Timestamp (ns),1780504097914443520.00
Minimum Request Timestamp (ns),1780502373792257280.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),39.70
Request Count,62.00
Request Throughput (requests/sec),0.04
Theoretical Prefix Cache Hit (%),95.32
Total Input Sequence Length (tokens),5015446.00
Total Output Sequence Length (tokens),68442.00
Total Output Tokens (tokens),68442.00
Total Token Throughput (tokens/sec),2948.68
Total Usage Completion Tokens (tokens),68442.00
Total Usage Prompt Tokens (tokens),5015446.00
Total Usage Total Tokens (tokens),5083888.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
