Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),64.89,0.00,16651.77,,,,,,52.52,,130.19,156.96,205.41,53.51
Active Decode Throughput Per User (tokens/sec/user),16.66,0.00,3330.35,,,,,,14.82,,30.55,38.57,44.39,11.93
Active Prefill Throughput (tokens/sec),4587.22,182.81,103723.03,,,,,,4107.78,,7287.37,9916.89,20756.90,5934.06
Active Prefill Throughput Per User (tokens/sec/user),203.39,107.45,20747.74,,,,,,119.52,,200.96,268.02,1462.50,813.38
Active Total Throughput (tokens/sec),4582.32,34.82,103737.11,,,,,,4167.50,,7384.18,9968.36,20815.78,5916.92
Credit Drop Latency (ms),8.97,0.87,23.32,35.87,0.90,1.04,1.20,1.71,5.84,13.10,19.23,21.28,22.91,8.96
Credit-to-Start Latency (ms),8.07,0.93,94.27,782.41,1.10,1.19,1.29,1.44,1.70,7.77,18.32,39.99,66.21,14.75
E2E Output Token Throughput (tokens/sec/user),3.20,0.01,17.47,310.59,0.01,0.09,0.17,0.39,1.12,3.54,10.13,14.29,17.02,4.53
Effective Concurrency,31.87,1.00,41.00,,,,,,39.00,,41.00,41.00,41.00,12.38
Effective Decode Concurrency,3.67,0.00,6.00,,,,,,4.00,,5.00,6.00,6.00,1.28
Effective Decode Throughput (tokens/sec),64.32,0.00,16651.77,,,,,,52.39,,127.45,156.93,198.12,53.60
Effective Decode Throughput Per User (tokens/sec/user),16.51,0.00,3330.35,,,,,,14.81,,30.54,38.56,44.38,11.98
Effective Latency (CO-aware) (ms),598967.76,13733.87,1140132.75,58099872.43,15591.67,43075.24,80443.03,446108.68,714486.71,799392.53,870442.12,911013.48,1105788.40,290327.66
Effective Prefill Concurrency,28.20,0.00,38.00,,,,,,35.00,,37.00,38.00,38.00,12.02
Effective Prefill Throughput (tokens/sec),4516.68,0.00,103723.03,,,,,,4107.78,,7287.37,9916.89,20732.08,5915.25
Effective Prefill Throughput Per User (tokens/sec/user),200.26,0.00,20747.74,,,,,,119.28,,200.96,268.02,1462.50,807.49
Effective Total Throughput (tokens/sec),4582.32,34.82,103737.11,,,,,,4167.50,,7384.18,9968.36,20815.78,5916.92
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1233.11,5.00,10563.00,119612.00,5.96,12.80,90.20,210.00,618.00,1201.00,3123.40,6076.00,7546.68,1847.04
HTTP Chunks Sent,1.00,1.00,1.00,97.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.90,0.00,1.65,87.32,0.00,0.00,0.00,0.68,1.07,1.22,1.37,1.42,1.56,0.45
HTTP Connection Overhead (ms),1.21,0.00,2.31,117.52,0.00,0.00,0.00,0.68,1.52,1.73,1.93,2.01,2.21,0.69
HTTP Connection Reused (ratio),0.15,0.00,1.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.36
HTTP Data Received (KB),306.73,1.84,2625.09,29752.83,2.08,3.79,23.06,52.85,153.57,298.99,776.00,1506.65,1883.22,458.60
HTTP Data Sent (KB),329.25,9.12,747.18,31937.70,9.17,81.35,93.99,190.57,327.90,434.51,562.37,711.72,743.64,176.21
HTTP DNS Lookup (ms),0.31,0.00,0.70,30.20,0.00,0.00,0.00,0.00,0.44,0.53,0.59,0.61,0.66,0.26
HTTP Duration (excl. conn) (ms),598959.58,13727.48,1140130.83,58099078.84,15587.39,43062.52,80407.49,446103.98,714485.43,799390.93,870440.40,911011.80,1105774.70,290333.53
HTTP Receiving (ms),69054.84,76.39,483957.90,6698319.77,98.94,1481.93,4408.41,14579.43,35345.82,78227.92,140384.42,290388.73,480038.44,95261.82
HTTP Sending (ms),1.20,0.23,2.02,116.04,0.23,0.27,0.28,0.96,1.37,1.53,1.72,1.76,1.91,0.47
HTTP Total Time (ms),598960.79,13729.49,1140131.44,58099196.36,15589.44,43064.41,80409.23,446105.50,714485.43,799392.59,870442.05,911012.62,1105775.38,290333.21
HTTP Waiting (TTFB) (ms),529903.54,1412.56,856834.96,51400643.02,4685.71,14568.87,43482.53,294748.91,645285.48,750344.99,796448.35,821933.76,840534.43,280365.85
Input Sequence Length (tokens),84886.94,2350.00,194151.00,8234033.00,2351.92,20779.40,24391.00,48655.00,84759.00,111775.00,145186.00,183445.80,193217.88,45598.70
Inter Chunk Latency (ms),60.01,0.09,59878.11,6698128.95,21.54,24.44,24.79,27.26,32.15,38.10,61.36,69.42,1042.82,255.45
Inter Token Latency (ms),67.35,19.09,282.28,6532.73,19.94,27.66,28.76,39.70,55.86,83.38,116.35,141.17,220.61,42.96
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1234.59,5.00,10571.00,119755.00,5.96,12.80,92.20,210.00,624.00,1201.00,3127.60,6080.20,7553.72,1848.28
Output Token Count (tokens),1234.59,5.00,10571.00,119755.00,5.96,12.80,92.20,210.00,624.00,1201.00,3127.60,6080.20,7553.72,1848.28
Output Token Throughput Per User (tokens/sec/user),19.63,3.54,52.37,1903.63,4.54,7.09,8.66,11.99,17.90,25.19,34.77,36.15,50.16,9.67
Prefill Throughput Per User (tokens/sec/user),1375.75,2.91,36010.00,133447.45,3.81,32.45,52.71,84.32,146.80,297.43,2285.20,4796.80,20566.98,4781.89
Request Latency (ms),598957.73,13727.63,1140130.93,58098900.25,15587.52,43062.65,80407.63,446104.12,714485.53,799391.04,870440.51,911005.92,1105774.80,290333.84
Requested OSL (tokens),1234.59,5.00,10571.00,119755.00,5.96,12.80,92.20,210.00,624.00,1201.00,3127.60,6080.20,7553.72,1848.28
Time to First Output Token (ms),529904.86,1414.29,856836.30,51400771.31,4687.68,14570.64,43484.39,294750.50,645286.52,750346.10,796449.65,821934.86,840535.42,280365.59
Time to First Token (ms),529904.86,1414.29,856836.30,51400771.31,4687.68,14570.64,43484.39,294750.50,645286.52,750346.10,796449.65,821934.86,840535.42,280365.59
Time to Second Token (ms),94.02,0.13,479.14,9119.61,0.13,0.16,0.23,0.33,0.51,43.34,387.95,408.78,479.07,162.31
Tokens In Flight (tokens),2752796.99,112655.00,3623762.98,,,,,,3389644.50,,3570714.00,3611184.65,3622708.30,1091580.04
Usage Completion Tokens (tokens),1234.59,5.00,10571.00,119755.00,5.96,12.80,92.20,210.00,624.00,1201.00,3127.60,6080.20,7553.72,1848.28
Usage Prompt Tokens (tokens),84886.94,2350.00,194151.00,8234033.00,2351.92,20779.40,24391.00,48655.00,84759.00,111775.00,145186.00,183445.80,193217.88,45598.70
Usage Total Tokens (tokens),86121.53,2362.00,194473.00,8353788.00,2364.88,21075.60,25470.40,49323.00,85018.00,113632.00,148147.00,186938.40,194074.60,45962.29

Metric,Value
Benchmark Duration (sec),1823.03
Input Token Throughput (tokens/sec),4516.68
