Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),293.49,0.00,118987.48,,,,,,302.98,,401.60,427.91,469.62,174.70
Active Decode Throughput Per User (tokens/sec/user),10.44,0.00,16998.21,,,,,,9.89,,12.22,12.88,15.31,32.49
Active Prefill Throughput (tokens/sec),62782.78,180.60,407545.94,,,,,,55382.54,,110565.35,130035.60,184548.35,36458.51
Active Prefill Throughput Per User (tokens/sec/user),34432.99,180.60,182701.32,,,,,,28881.20,,63272.87,79991.92,106174.57,22275.90
Active Total Throughput (tokens/sec),39563.99,16.19,407566.70,,,,,,33708.71,,94616.34,115788.89,167598.14,41878.53
Credit Drop Latency (ms),12.37,1.21,50.81,210.29,1.31,1.68,2.02,2.64,4.13,16.72,37.39,49.63,50.57,15.78
Credit-to-Start Latency (ms),2.66,0.94,91.09,2173.17,1.19,1.31,1.38,1.51,1.69,1.94,2.30,4.92,29.59,5.79
E2E Output Token Throughput (tokens/sec/user),9.15,0.46,15.03,7472.85,1.27,3.00,5.08,8.14,9.76,10.79,11.90,12.50,13.88,2.69
Effective Concurrency,30.52,1.00,39.00,,,,,,32.00,,36.00,37.00,39.00,5.77
Effective Decode Concurrency,29.12,0.00,39.00,,,,,,30.00,,35.00,36.00,38.00,5.83
Effective Decode Throughput (tokens/sec),293.30,0.00,118987.48,,,,,,302.98,,401.60,427.87,469.62,174.80
Effective Decode Throughput Per User (tokens/sec/user),10.43,0.00,16998.21,,,,,,9.89,,12.22,12.88,15.31,32.48
Effective Latency (CO-aware) (ms),68286.72,1309.34,1025379.88,55790250.88,1732.51,3520.78,7403.22,14412.67,31583.42,78169.74,161556.40,255722.82,537279.39,103126.55
Effective Prefill Concurrency,1.39,0.00,9.00,,,,,,1.00,,4.00,5.00,6.00,1.55
Effective Prefill Throughput (tokens/sec),39265.09,0.00,407545.94,,,,,,33396.19,,94399.09,115496.02,167339.51,41889.57
Effective Prefill Throughput Per User (tokens/sec/user),21534.80,0.00,182701.32,,,,,,17080.98,,52189.80,71384.21,100739.36,24250.75
Effective Total Throughput (tokens/sec),39563.99,16.19,407566.70,,,,,,33708.71,,94616.34,115788.89,167598.14,41878.53
