Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),209.29,0.00,44926.66,,,,,,210.34,,346.21,394.01,441.65,137.06
Active Decode Throughput Per User (tokens/sec/user),6.30,0.00,3619.51,,,,,,6.21,,8.93,9.58,10.43,13.98
Active Prefill Throughput (tokens/sec),24985.25,552.46,240327.16,,,,,,24138.06,,33287.15,39133.62,101657.74,14824.15
Active Prefill Throughput Per User (tokens/sec/user),1047.34,354.38,121779.61,,,,,,853.86,,1439.49,1687.56,4048.89,2565.96
Active Total Throughput (tokens/sec),25098.94,9.22,240327.16,,,,,,24391.68,,33591.05,39409.64,101693.43,14887.22
Credit Drop Latency (ms),11.18,1.34,69.59,100.61,1.37,1.49,1.64,2.18,3.45,4.81,22.31,45.95,64.86,20.81
Credit-to-Start Latency (ms),4.87,1.01,439.47,2313.90,1.15,1.26,1.35,1.47,1.72,2.05,6.52,15.38,55.59,21.85
E2E Output Token Throughput (tokens/sec/user),2.78,0.04,6.86,1320.89,0.08,0.20,0.71,1.25,2.43,4.23,5.41,5.88,6.62,1.80
Effective Concurrency,57.92,1.00,70.00,,,,,,64.00,,67.00,68.00,69.00,14.39
Effective Decode Concurrency,32.27,0.00,47.00,,,,,,35.00,,40.00,42.00,45.00,8.81
Effective Decode Throughput (tokens/sec),209.18,0.00,44926.66,,,,,,210.34,,346.19,394.01,441.65,137.11
Effective Decode Throughput Per User (tokens/sec/user),6.29,0.00,3619.51,,,,,,6.21,,8.93,9.58,10.43,13.97
Effective Latency (CO-aware) (ms),222553.61,55002.44,1617120.10,105712965.24,69345.14,91766.10,102742.69,129083.18,162908.09,243501.15,386974.36,543394.25,973803.13,180736.52
Effective Prefill Concurrency,25.65,0.00,41.00,,,,,,27.00,,33.00,35.00,38.00,7.34
Effective Prefill Throughput (tokens/sec),24884.27,0.00,240327.16,,,,,,24133.53,,33287.15,39133.62,101657.74,14878.85
Effective Prefill Throughput Per User (tokens/sec/user),1043.11,0.00,121779.61,,,,,,853.38,,1439.49,1687.56,4048.89,2561.63
Effective Total Throughput (tokens/sec),25098.94,9.22,240327.16,,,,,,24391.68,,33591.05,39409.64,101693.43,14887.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,803.25,5.00,9655.00,381542.00,8.22,19.00,88.40,157.00,375.00,972.50,1928.00,2845.10,6099.18,1187.83
HTTP Chunks Sent,1.00,1.00,1.00,475.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.63,0.00,1.44,297.74,0.00,0.00,0.00,0.00,0.70,1.05,1.17,1.22,1.35,0.44
HTTP Connection Overhead (ms),0.75,0.00,2.09,355.98,0.00,0.00,0.00,0.00,0.70,1.44,1.65,1.74,1.94,0.60
HTTP Connection Reused (ratio),0.28,0.00,1.00,132.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.45
HTTP Data Received (KB),215.34,2.16,2581.24,102286.21,3.02,5.91,24.47,42.91,101.01,260.68,515.85,759.64,1628.37,317.12
HTTP Data Sent (KB),328.07,1.66,777.15,155832.48,13.54,83.39,112.28,183.22,308.27,424.50,614.26,655.59,735.83,174.25
HTTP DNS Lookup (ms),0.12,0.00,0.69,58.24,0.00,0.00,0.00,0.00,0.00,0.37,0.47,0.51,0.59,0.21
HTTP Duration (excl. conn) (ms),222548.61,54904.63,1617104.07,105710588.77,69331.86,91764.34,102740.46,129081.43,162906.69,243485.01,386972.28,543350.50,973798.85,180736.01
HTTP Receiving (ms),123987.32,298.66,1588285.46,58893975.56,610.45,5189.55,11368.70,24761.92,59320.55,147856.61,284887.96,454897.15,927707.27,184072.28
HTTP Sending (ms),1.00,0.31,1.83,476.52,0.32,0.32,0.34,0.40,1.08,1.42,1.56,1.62,1.77,0.45
HTTP Total Time (ms),222549.36,54905.36,1617105.70,105710944.75,69333.36,91764.82,102740.46,129082.21,162906.69,243486.57,386972.28,543351.26,973799.76,180736.08
HTTP Waiting (TTFB) (ms),98560.29,748.39,160130.11,46816136.68,3729.41,27931.15,53466.03,83392.95,104285.26,122443.13,138925.40,144449.57,155891.19,34613.55
Input Sequence Length (tokens),95613.49,409.00,227500.00,45416408.00,3933.00,24210.80,32885.20,53014.50,90022.00,123295.50,178861.00,191556.00,214892.88,50801.08
Inter Chunk Latency (ms),154.55,0.00,65971.16,58892589.67,0.82,58.56,59.32,61.65,76.73,79.34,82.59,146.81,2998.88,726.16
Inter Token Latency (ms),174.41,59.37,4336.70,82843.97,62.29,85.46,101.76,126.66,143.59,170.48,213.51,263.37,532.32,253.12
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),825.84,5.00,10571.00,392274.00,8.22,19.00,88.40,157.00,375.00,990.50,2034.80,2876.00,6426.70,1258.18
Output Token Count (tokens),825.84,5.00,10571.00,392274.00,8.22,19.00,88.40,157.00,375.00,990.50,2034.80,2876.00,6426.70,1258.18
Output Token Throughput Per User (tokens/sec/user),7.11,0.23,16.84,3379.50,1.88,3.80,4.68,5.87,6.96,7.90,9.83,11.70,16.06,2.40
Prefill Throughput Per User (tokens/sec/user),1899.36,4.06,121779.62,902196.58,44.92,227.68,356.32,544.74,890.09,1433.50,2419.55,4472.24,19801.53,6981.91
Request Latency (ms),222545.82,54904.78,1617104.23,105709265.30,69331.99,91764.48,102740.60,129081.56,162906.85,243485.14,386972.41,543350.64,973798.97,180733.83
Requested OSL (tokens),825.84,5.00,10571.00,392274.00,8.22,19.00,88.40,157.00,375.00,990.50,2034.80,2876.00,6426.70,1258.18
Time to First Output Token (ms),98561.42,750.08,160131.90,46816675.62,3731.09,27932.88,53466.88,83394.12,104286.54,122443.96,138926.65,144450.56,155892.83,34613.48
Time to First Token (ms),98561.42,750.08,160131.90,46816675.62,3731.09,27932.88,53466.88,83394.12,104286.54,122443.96,138926.65,144450.56,155892.83,34613.48
Time to Second Token (ms),3683.43,0.15,65971.16,1749627.80,37.30,62.57,63.99,76.65,82.48,153.23,3391.06,32693.31,61995.44,12281.76
Tokens In Flight (tokens),6023362.65,70842.00,7428544.05,,,,,,6630136.89,,7075495.06,7143122.44,7218464.29,1536221.35
Usage Completion Tokens (tokens),825.84,5.00,10571.00,392274.00,8.22,19.00,88.40,157.00,375.00,990.50,2034.80,2876.00,6426.70,1258.18
Usage Prompt Tokens (tokens),95613.49,409.00,227500.00,45416408.00,3933.00,24210.80,32885.20,53014.50,90022.00,123295.50,178861.00,191556.00,214892.88,50801.08
Usage Total Tokens (tokens),96439.33,428.00,228398.00,45808682.00,5195.80,24788.80,33591.20,53597.50,90494.00,124585.00,180417.60,193528.30,216003.62,51042.89

Metric,Value
Benchmark Duration (sec),1825.11
Input Token Throughput (tokens/sec),24884.27
Maximum Response Timestamp (ns),1780538746916407296.00
Minimum Request Timestamp (ns),1780536921810985216.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),214.93
Request Count,475.00
Request Throughput (requests/sec),0.26
Theoretical Prefix Cache Hit (%),95.97
Total Input Sequence Length (tokens),45416408.00
Total Output Sequence Length (tokens),392274.00
Total Output Tokens (tokens),392274.00
Total Token Throughput (tokens/sec),25099.20
Total Usage Completion Tokens (tokens),392274.00
