Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,avg,2347.14
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,min,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,max,173438.55
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,p50,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,p90,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,p95,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,p99,66459.45
0,1780539330763255552,1780539331763255552,Active Decode Throughput,tokens/sec,std,11791.63
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,avg,2347.14
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,max,173438.55
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,p99,66459.45
0,1780539330763255552,1780539331763255552,Active Decode Throughput Per User,tokens/sec/user,std,11791.63
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,avg,132182.61
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,min,58684.37
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,max,154905.98
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,p50,154905.98
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,p90,154905.98
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,p95,154905.98
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,p99,154905.98
0,1780539330763255552,1780539331763255552,Active Prefill Throughput,tokens/sec,std,32164.06
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,avg,60759.17
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,min,29342.19
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,max,96221.61
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,p50,51635.33
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,p90,96221.61
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,p95,96221.61
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,p99,96221.61
0,1780539330763255552,1780539331763255552,Active Prefill Throughput Per User,tokens/sec/user,std,20062.51
0,1780539330763255552,1780539331763255552,Active Total Throughput,tokens/sec,avg,132185.17
0,1780539330763255552,1780539331763255552,Active Total Throughput,tokens/sec,min,58715.20
0,1780539330763255552,1780539331763255552,Active Total Throughput,tokens/sec,max,154905.98
0,1780539330763255552,1780539331763255552,Active Total Throughput,tokens/sec,p50,154905.98
0,1780539330763255552,1780539331763255552,Active Total Throughput,tokens/sec,p90,154905.98
0,1780539330763255552,1780539331763255552,Active Total Throughput,tokens/sec,p95,154905.98
0,1780539330763255552,1780539331763255552,Active Total Throughput,tokens/sec,p99,154905.98
