# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: e1012b59-71b2-40d3-be4f-a528f8381659
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8895,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8895,gauge,sglang:cache_hit_rate,,0.0472,0.0000,0.9997,0.2068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0678,0.9983,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8895,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8895,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8895,gauge,sglang:decode_sum_seq_lens,,626215.3796,105643.0000,732596.0000,56320.7958,506284.0000,522773.0000,550090.0000,619484.0000,619484.0000,660999.0000,699145.9000,715569.0000,730321.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8895,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8895,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8895,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8895,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8895,gauge,sglang:full_token_usage,,0.8584,0.1440,0.9988,0.0767,0.7009,0.7133,0.7501,0.8446,0.8446,0.9051,0.9642,0.9766,0.9960,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
