# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 2cbcc83a-e426-42cb-8a50-ffafad478546
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8890,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8890,gauge,sglang:cache_hit_rate,,0.0768,0.0000,0.9997,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9761,0.9992,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8890,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8890,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8890,gauge,sglang:decode_sum_seq_lens,,626717.8705,107651.0000,730643.0000,71641.2358,452036.4000,508965.0000,529584.7000,570619.0000,639474.0000,687704.0000,710281.0000,717997.0000,727048.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8890,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8890,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8890,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8890,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8890,gauge,sglang:full_token_usage,,0.8628,0.1468,0.9961,0.0939,0.6170,0.6976,0.7300,0.7958,0.8774,0.9398,0.9695,0.9789,0.9934,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8890,gauge,sglang:gen_throughput,tokens/s,154.9943,14.6680,280.2087,42.1478,38.7626,79.3616,109.1913,132.1286,155.5420,180.8740,208.5676,233.3228,248.4005,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8890,gauge,sglang:hicache_host_total_tokens,tokens,11128960.0000,11128960.0000,11128960.0000,0.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Total capacity of the host KV cache in tokens.
localhost:8890,gauge,sglang:hicache_host_used_tokens,tokens,3841224.4634,3385216.0000,4366528.0000,299121.5396,3489216.0000,3492288.0000,3496832.0000,3530624.0000,3842816.0000,4112768.0000,4299904.0000,4355456.0000,4366528.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of tokens currently used in the host KV cache.
localhost:8890,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Whether the batch is using CUDA graph.
localhost:8890,gauge,sglang:kv_available_tokens,tokens,18925.1614,320.0000,56832.0000,13154.0654,760.9600,2048.0000,3840.0000,8448.0000,15296.0000,28160.0000,40064.0000,42688.0000,54208.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8890,gauge,sglang:kv_evictable_tokens,tokens,81738.5851,0.0000,610304.0000,68501.2800,0.0000,0.0000,0.0000,26944.0000,65536.0000,124544.0000,181952.0000,197184.0000,245376.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8890,gauge,sglang:kv_used_tokens,tokens,633032.2536,107712.0000,730816.0000,68894.3549,452672.0000,511859.2000,535616.0000,583872.0000,643776.0000,689536.0000,711296.0000,718208.0000,728839.0400,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8890,gauge,sglang:mamba_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8890,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
