Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),61.15,0.00,39547.96,,,,,,54.00,,116.78,142.63,193.63,54.90
Active Decode Throughput Per User (tokens/sec/user),10.19,0.00,6591.33,,,,,,9.14,,19.46,21.48,24.68,8.48
Active Prefill Throughput (tokens/sec),4111.86,144.13,42035.43,,,,,,3859.24,,6784.86,9084.62,20581.34,3564.29
Active Prefill Throughput Per User (tokens/sec/user),172.76,74.02,23000.37,,,,,,121.43,,183.37,293.05,1068.95,512.73
Active Total Throughput (tokens/sec),4140.04,7.08,42035.43,,,,,,3954.81,,6815.30,9110.69,20588.96,3562.26
Credit Drop Latency (ms),8.93,1.16,22.65,35.74,1.19,1.30,1.44,1.85,5.96,13.05,18.81,20.73,22.27,8.61
Credit-to-Start Latency (ms),8.66,1.16,95.03,779.17,1.18,1.27,1.37,1.65,2.03,8.26,20.14,41.46,69.27,15.19
E2E Output Token Throughput (tokens/sec/user),1.82,0.01,10.46,163.96,0.01,0.08,0.18,0.37,0.96,2.29,4.64,7.31,9.68,2.24
Effective Concurrency,32.34,1.00,41.00,,,,,,39.00,,41.00,41.00,41.00,11.91
Effective Decode Concurrency,5.67,0.00,10.00,,,,,,6.00,,8.00,8.00,9.00,1.73
Effective Decode Throughput (tokens/sec),60.97,0.00,39547.96,,,,,,54.00,,116.77,142.63,193.63,54.92
Effective Decode Throughput Per User (tokens/sec/user),10.16,0.00,6591.33,,,,,,9.13,,19.46,21.48,24.68,8.48
Effective Latency (CO-aware) (ms),655965.94,65602.34,1338490.21,59036935.04,80519.97,134464.52,192292.23,538077.39,677931.17,816185.83,929425.17,1029281.39,1306282.65,276198.22
Effective Prefill Concurrency,26.68,0.00,37.00,,,,,,32.00,,35.00,36.00,37.00,11.31
Effective Prefill Throughput (tokens/sec),4078.89,0.00,42035.43,,,,,,3859.24,,6784.86,9084.62,20581.34,3568.86
Effective Prefill Throughput Per User (tokens/sec/user),171.37,0.00,23000.37,,,,,,121.13,,183.37,293.05,1068.95,510.91
Effective Total Throughput (tokens/sec),4140.04,7.08,42035.43,,,,,,3954.81,,6815.30,9110.69,20588.96,3562.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1222.40,6.00,10484.00,110016.00,8.67,33.70,92.80,208.50,529.00,1137.75,3100.20,6029.70,7749.03,1884.11
HTTP Chunks Sent,1.00,1.00,1.00,90.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.97,0.00,1.60,86.90,0.00,0.00,0.00,0.74,1.16,1.27,1.36,1.42,1.48,0.46
HTTP Connection Overhead (ms),1.29,0.00,2.22,116.08,0.00,0.00,0.00,0.74,1.63,1.79,1.93,1.98,2.14,0.68
HTTP Connection Reused (ratio),0.14,0.00,1.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.35
HTTP Data Received (KB),312.72,2.26,2700.93,28144.96,2.91,9.01,23.44,51.70,133.82,292.84,793.65,1545.13,1997.37,485.28
HTTP Data Sent (KB),322.37,8.71,755.74,29012.95,8.87,73.77,95.99,186.01,328.23,410.72,555.85,723.20,752.78,179.50
HTTP DNS Lookup (ms),0.32,0.00,0.68,29.18,0.00,0.00,0.00,0.00,0.45,0.51,0.56,0.58,0.63,0.24
HTTP Duration (excl. conn) (ms),655957.16,65591.45,1338485.76,59036144.26,80505.77,134460.06,192282.04,538069.54,677929.81,816181.87,929423.01,1029273.99,1306280.16,276202.74
HTTP Receiving (ms),114975.17,409.01,795293.19,10347765.31,460.88,3100.06,5234.66,16343.11,52348.26,126603.76,312844.20,480676.34,684511.40,157966.33
HTTP Sending (ms),1.34,0.30,2.02,120.27,0.33,0.34,0.36,1.10,1.54,1.63,1.76,1.82,1.88,0.47
HTTP Total Time (ms),655958.45,65593.49,1338486.54,59036260.34,80507.97,134461.83,192283.64,538070.96,677931.48,816183.16,929423.18,1029275.30,1306281.80,276202.48
HTTP Waiting (TTFB) (ms),540980.65,5320.10,837550.24,48688258.68,7871.84,46581.07,78290.63,406080.05,612649.09,741944.68,782665.25,815644.28,837325.49,249149.35
Input Sequence Length (tokens),82721.30,2317.00,193822.00,7444917.00,2317.89,18946.60,24323.00,47551.75,83725.00,105377.00,143362.40,186028.40,192964.93,46159.78
Inter Chunk Latency (ms),94.13,0.00,60046.32,10347765.29,20.62,33.72,33.99,35.66,37.08,38.26,39.40,40.82,77.44,1146.61
Inter Token Latency (ms),145.79,33.78,2633.57,13120.93,34.25,36.73,37.96,63.02,86.59,125.12,257.08,330.97,951.98,284.85
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1241.13,6.00,10571.00,111702.00,8.67,33.70,92.80,211.50,531.00,1171.75,3200.20,6089.30,7773.73,1906.89
Output Token Count (tokens),1241.13,6.00,10571.00,111702.00,8.67,33.70,92.80,211.50,531.00,1171.75,3200.20,6089.30,7773.73,1906.89
