Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,avg,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,min,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,max,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,p50,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,p90,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,p95,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,p99,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput,tokens/sec,std,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780510430918068992,1780510431918068992,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,avg,24722.52
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,min,23000.37
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,max,27899.13
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,p50,25658.39
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,p90,27899.13
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,p95,27899.13
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,p99,27899.13
0,1780510430918068992,1780510431918068992,Active Prefill Throughput,tokens/sec,std,1806.05
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,avg,17168.78
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,min,9299.71
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,max,23000.37
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,p50,12829.20
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,p90,23000.37
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,p95,23000.37
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,p99,23000.37
0,1780510430918068992,1780510431918068992,Active Prefill Throughput Per User,tokens/sec/user,std,5707.53
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,avg,24722.52
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,min,23000.37
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,max,27899.13
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,p50,25658.39
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,p90,27899.13
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,p95,27899.13
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,p99,27899.13
0,1780510430918068992,1780510431918068992,Active Total Throughput,tokens/sec,std,1806.05
0,1780510430918068992,1780510431918068992,Benchmark Duration,sec,avg,208.84
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,avg,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,min,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,max,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,sum,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p1,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p5,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p10,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p25,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p50,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p75,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p90,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p95,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,p99,2.08
0,1780510430918068992,1780510431918068992,Credit Drop Latency,ms,std,0.00
0,1780510430918068992,1780510431918068992,E2E Output Token Throughput,tokens/sec/user,avg,2.32
