# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: d3bb9dde-39d8-4d49-b2b3-9dd97bed843e
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8894,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8894,gauge,sglang:cache_hit_rate,,0.0831,0.0000,0.9997,0.2707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9852,0.9988,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8894,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8894,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8894,gauge,sglang:decode_sum_seq_lens,,615510.0324,105637.0000,732511.0000,88338.3553,372706.0000,468604.0000,515447.0000,561235.0000,642005.0000,675793.0000,708935.0000,720003.0000,728769.9200,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8894,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8894,gauge,sglang:full_token_usage,,0.8467,0.1440,0.9987,0.1172,0.5082,0.6394,0.7089,0.7800,0.8803,0.9305,0.9688,0.9829,0.9937,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8894,gauge,sglang:gen_throughput,tokens/s,155.7951,13.4302,274.0395,42.8053,23.4492,82.4573,116.4126,133.3395,157.0621,181.8809,207.9299,225.0263,246.4408,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8894,gauge,sglang:hicache_host_total_tokens,tokens,11128960.0000,11128960.0000,11128960.0000,0.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Total capacity of the host KV cache in tokens.
localhost:8894,gauge,sglang:hicache_host_used_tokens,tokens,4698364.9341,4239168.0000,5257920.0000,311632.4184,4334208.0000,4336512.0000,4336512.0000,4371072.0000,4692928.0000,5003648.0000,5092672.0000,5204928.0000,5256384.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of tokens currently used in the host KV cache.
localhost:8894,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Whether the batch is using CUDA graph.
localhost:8894,gauge,sglang:kv_available_tokens,tokens,17804.4036,320.0000,58688.0000,13571.9886,576.0000,1792.0000,3129.6000,7360.0000,14880.0000,24384.0000,38048.0000,48064.0000,55936.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8894,gauge,sglang:kv_evictable_tokens,tokens,94647.4783,0.0000,616960.0000,86408.6873,0.0000,0.0000,960.0000,32768.0000,69248.0000,136448.0000,198976.0000,230144.0000,346560.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8894,gauge,sglang:kv_used_tokens,tokens,621244.1180,105664.0000,732736.0000,86005.2280,372864.0000,469148.8000,520128.0000,572288.0000,645888.0000,682672.0000,710784.0000,721152.0000,729088.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8894,gauge,sglang:mamba_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8894,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8894,gauge,sglang:mamba_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for Mamba layers.
localhost:8894,gauge,sglang:mamba_used_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of actively used state slots in the mamba SSM pool.
