# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 4634d7fc-4065-4d87-98b0-644efb2ceac9
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8892,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8892,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8892,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8892,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8892,gauge,sglang:decode_sum_seq_lens,,629916.0930,88245.0000,733602.0000,142436.5097,88245.0000,88245.0000,559217.0000,636429.0000,667330.0000,704445.0000,714593.0000,716875.0000,727619.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8892,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8892,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8892,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8892,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8892,gauge,sglang:full_token_usage,,0.8619,0.0000,0.9979,0.1359,0.1559,0.6791,0.7590,0.8320,0.8952,0.9360,0.9663,0.9736,0.9903,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8892,gauge,sglang:gen_throughput,tokens/s,147.6237,3.3004,271.6021,63.5393,4.8360,13.4674,23.3784,129.5034,161.5311,186.6362,213.2026,226.5341,248.7641,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8892,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Whether the batch is using CUDA graph.
localhost:8892,gauge,sglang:kv_available_tokens,tokens,13150.0460,128.0000,32512.0000,8412.0932,192.0000,1472.0000,2432.0000,7040.0000,11200.0000,18496.0000,26688.0000,28544.0000,31552.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8892,gauge,sglang:kv_evictable_tokens,tokens,88445.0545,0.0000,723328.0000,99264.8865,0.0000,0.0000,16384.0000,32768.0000,65536.0000,108544.0000,167296.0000,221696.0000,590464.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8892,gauge,sglang:kv_used_tokens,tokens,633892.8994,0.0000,733952.0000,99980.7891,114688.0000,499456.0000,558272.0000,611904.0000,658432.0000,688384.0000,710668.8000,716096.0000,728384.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8892,gauge,sglang:mamba_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8892,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8892,gauge,sglang:mamba_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for Mamba layers.
localhost:8892,gauge,sglang:mamba_used_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of actively used state slots in the mamba SSM pool.
localhost:8892,gauge,sglang:max_total_num_tokens,tokens,735488.0000,735488.0000,735488.0000,0.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum total number of tokens in the KV cache pool.
localhost:8892,gauge,sglang:max_total_num_tokens,tokens,735488.0000,735488.0000,735488.0000,0.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,735488.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum total number of tokens in the KV cache pool.
localhost:8892,gauge,sglang:new_token_ratio,ratio,0.1585,0.0980,0.7000,0.1633,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.4452,0.7000,0.7000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The new token ratio.
