# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: ef29bb54-74dc-488b-bdae-9bb4ba3588a9
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8889,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8889,gauge,sglang:cache_hit_rate,,0.0708,0.0000,0.9993,0.2517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9799,0.9979,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8889,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8889,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8889,gauge,sglang:decode_sum_seq_lens,,114380.5295,10407.0000,316954.0000,62493.3944,18950.0000,46748.0000,51174.0000,76655.0000,76655.0000,151634.0000,215930.0000,244851.0000,285761.6000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8889,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8889,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8889,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8889,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8889,gauge,sglang:full_token_usage,,0.2016,0.0142,0.4333,0.0825,0.0381,0.0638,0.0727,0.1370,0.2340,0.2340,0.3061,0.3357,0.3908,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8889,gauge,sglang:gen_throughput,tokens/s,66.6851,2.2333,144.1455,29.4141,11.8528,41.9601,43.9904,43.9904,47.5642,85.5603,109.0967,117.1933,142.4341,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8889,gauge,sglang:hicache_host_total_tokens,tokens,11128960.0000,11128960.0000,11128960.0000,0.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,11128960.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Total capacity of the host KV cache in tokens.
localhost:8889,gauge,sglang:hicache_host_used_tokens,tokens,531427.1592,220800.0000,675840.0000,155713.0903,267264.0000,268992.0000,285632.0000,386816.0000,602624.0000,675840.0000,675840.0000,675840.0000,675840.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of tokens currently used in the host KV cache.
