# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 2f0d6b74-4578-4af7-9c76-50811bb0b21e
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8891,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8891,gauge,sglang:cache_hit_rate,,0.0868,0.0000,0.9994,0.2765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9870,0.9981,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8891,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8891,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8891,gauge,sglang:decode_sum_seq_lens,,146517.6244,10361.0000,426337.0000,83035.3153,27933.6000,46777.0000,50639.0000,78070.0000,136319.0000,199623.0000,252882.0000,308569.0000,424257.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8891,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8891,gauge,sglang:full_token_usage,,0.2082,0.0000,0.5813,0.1179,0.0143,0.0638,0.0690,0.1081,0.1986,0.2835,0.3753,0.4229,0.5784,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8891,gauge,sglang:gen_throughput,tokens/s,76.2947,2.3722,144.7456,30.0257,8.6747,40.8951,42.7569,46.5963,79.3030,102.4510,114.8934,124.8475,142.5373,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8891,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Whether the batch is using CUDA graph.
localhost:8891,gauge,sglang:kv_available_tokens,tokens,154819.8820,64.0000,465856.0000,172754.7075,192.0000,512.0000,896.0000,3920.0000,67264.0000,316672.0000,440192.0000,454208.0000,465600.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free token slots in the KV cache pool.
