Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),103.48,0.00,361483.33,,,,,,106.38,,158.84,160.24,171.64,172.37
Active Decode Throughput Per User (tokens/sec/user),23.48,0.00,180741.66,,,,,,23.96,,28.16,29.43,36.62,80.25
Active Prefill Throughput (tokens/sec),21093.89,789.65,377222.81,,,,,,7088.22,,44808.81,125843.04,199606.46,39919.40
Active Prefill Throughput Per User (tokens/sec/user),16265.66,711.18,244394.33,,,,,,4224.47,,33086.38,99945.67,185210.96,36245.81
Active Total Throughput (tokens/sec),12307.40,25.36,377302.35,,,,,,3733.61,,24077.24,60308.97,170580.50,32095.45
Credit Drop Latency (ms),8.23,1.77,18.07,32.93,1.87,2.25,2.73,4.17,6.54,10.60,15.08,16.58,17.77,6.11
Credit-to-Start Latency (ms),3.24,1.24,94.68,457.31,1.27,1.38,1.46,1.62,1.82,2.16,2.49,6.75,23.51,8.40
E2E Output Token Throughput (tokens/sec/user),16.97,0.18,31.02,2392.30,0.34,2.55,5.33,10.65,18.54,23.56,25.27,27.82,29.38,7.96
Effective Concurrency,5.42,1.00,8.00,,,,,,6.00,,7.00,8.00,8.00,1.71
Effective Decode Concurrency,4.33,0.00,7.00,,,,,,5.00,,6.00,6.00,7.00,1.54
Effective Decode Throughput (tokens/sec),100.88,0.00,361483.33,,,,,,105.95,,158.06,160.24,171.64,170.92
Effective Decode Throughput Per User (tokens/sec/user),22.88,0.00,180741.66,,,,,,23.76,,28.15,29.43,36.57,79.30
Effective Latency (CO-aware) (ms),35763.11,586.19,311439.81,5042598.42,754.72,949.86,1467.37,7019.94,19922.42,39008.29,88660.86,129938.23,215662.02,48999.74
Effective Prefill Concurrency,1.10,0.00,6.00,,,,,,1.00,,3.00,3.00,6.00,1.23
Effective Prefill Throughput (tokens/sec),12205.66,0.00,377222.81,,,,,,3614.01,,23993.41,60239.73,170527.54,32102.58
Effective Prefill Throughput Per User (tokens/sec/user),9411.88,0.00,244394.33,,,,,,1673.22,,12107.39,52682.63,165411.46,28717.48
Effective Total Throughput (tokens/sec),12307.40,25.36,377302.35,,,,,,3733.61,,24077.24,60308.97,170580.50,32095.45
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,658.40,6.00,6807.00,92834.00,6.00,9.00,12.00,112.00,238.00,665.00,1844.00,3012.00,5029.60,1095.03
