Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,avg,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,min,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,max,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,p50,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,p90,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,p95,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,p99,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput,tokens/sec,std,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780510124873454080,1780510125873454080,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,avg,8069.92
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,min,4164.32
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,max,9419.17
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,p50,9419.17
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,p90,9419.17
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,p95,9419.17
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,p99,9419.17
0,1780510124873454080,1780510125873454080,Active Prefill Throughput,tokens/sec,std,2144.11
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,avg,3405.45
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,min,3139.72
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,max,4164.32
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,p50,3139.72
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,p90,4164.32
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,p95,4164.32
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,p99,4164.32
0,1780510124873454080,1780510125873454080,Active Prefill Throughput Per User,tokens/sec/user,std,419.21
0,1780510124873454080,1780510125873454080,Active Total Throughput,tokens/sec,avg,8069.92
0,1780510124873454080,1780510125873454080,Active Total Throughput,tokens/sec,min,4164.32
