# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: d97de397-e980-4e9c-af60-757a9e392e4e
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8893,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8893,gauge,sglang:cache_hit_rate,,0.0449,0.0000,0.9993,0.1820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.9454,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The prefix cache hit rate.
localhost:8893,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Maximum context length.
localhost:8893,gauge,sglang:context_len,,202752.0000,202752.0000,202752.0000,0.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,202752.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,Maximum context length.
localhost:8893,gauge,sglang:decode_sum_seq_lens,,601074.5558,149509.0000,731513.0000,137231.2693,181010.0000,236578.0000,358025.0000,569317.0000,649549.0000,692404.0000,714200.0000,723630.0000,728905.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The sum of all sequence lengths in decode.
localhost:8893,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to load weights.
localhost:8893,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to load weights.
localhost:8893,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The time taken for the engine to start up.
localhost:8893,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,1,The time taken for the engine to start up.
localhost:8893,gauge,sglang:full_token_usage,,0.8544,0.2039,0.9973,0.1432,0.2468,0.5225,0.7008,0.8275,0.8951,0.9440,0.9737,0.9867,0.9936,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for full attention layers.
localhost:8893,gauge,sglang:gen_throughput,tokens/s,120.9356,1.5521,183.9771,43.3346,5.3933,17.8946,36.9503,120.8438,131.5765,152.9274,155.9036,156.9655,180.0271,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The generation throughput (token/s).
localhost:8893,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Whether the batch is using CUDA graph.
localhost:8893,gauge,sglang:kv_available_tokens,tokens,12423.9869,320.0000,32640.0000,8279.1571,576.0000,1600.0000,2304.0000,5504.0000,11840.0000,17664.0000,23616.0000,28480.0000,32128.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8893,gauge,sglang:kv_evictable_tokens,tokens,94428.4963,0.0000,583104.0000,104832.3965,0.0000,0.0000,768.0000,26048.0000,65536.0000,116544.0000,205952.0000,342080.0000,537024.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8893,gauge,sglang:kv_used_tokens,tokens,626843.5169,149568.0000,731712.0000,105051.1369,181056.0000,383360.0000,514201.6000,607104.0000,656704.0000,692608.0000,714432.0000,723904.0000,729024.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8893,gauge,sglang:mamba_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8893,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8893,gauge,sglang:mamba_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,amd/GLM-5.1-MXFP4,0,,0,0,The token usage for Mamba layers.
