exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_kimik2.5_tp4_conc12_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc12_b200-dgxc_01,4,12,lmcache,SUCCESS,384,0.21,216.85,19544.5,19327.65,28363.36,23842.45,60805.84,87976.29,15.7,12.32,19.06,69.37,41173.51,34448.53,77154.22,122132.64
agentic_kimik2.5_tp4_conc12_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc12_b200-dgxc_02,4,12,none,SUCCESS,191,0.11,102.25,10689.75,10587.5,65788.67,67683.83,92801.5,112333.94,40.38,26.11,74.55,304.98,93469.86,89274.2,141191.79,216856.82
agentic_kimik2.5_tp4_conc14_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc14_b200-dgxc_05,4,14,lmcache,SUCCESS,383,0.21,202.6,19756.56,19553.960000000003,37508.19,32473.85,67363.57,111456.58,14.68,12.13,18.51,58.82,49535.65,42188.01,90598.22,139873.33
agentic_kimik2.5_tp4_conc14_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc14_b200-dgxc_02,4,14,none,SUCCESS,210,0.12,102.1,11028.89,10926.789999999999,73847.24,71447.86,106568.17,130003.11,39.78,29.89,69.21,207.43,100965.42,94312.39,145697.5,217973.38
agentic_kimik2.5_tp4_conc16_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_b200-dgxc_01,4,16,lmcache,SUCCESS,171,0.3,246.34,26698.95,26452.61,25236.69,24247.93,37526.85,58995.18,14.05,12.87,17.47,35.22,36001.06,33298.74,59231.74,84461.72
agentic_kimik2.5_tp4_conc16_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_b200-dgxc_01,4,16,none,SUCCESS,226,0.12,105.09,11351.4,11246.31,81111.29,81049.56,106070.13,136256.29,35.36,28.64,53.66,224.93,106942.91,100112.98,146122.26,212443.7
agentic_kimik2.5_tp4_conc18_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc18_b200-dgxc_09,4,18,lmcache,SUCCESS,412,0.24,241.01,21225.92,20984.91,43014.73,42543.77,71182.85,94206.06,14.02,13.03,17.47,31.87,56986.48,52941.7,94316.4,158686.87
agentic_kimik2.5_tp4_conc18_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc18_b200-dgxc_03,4,18,none,SUCCESS,227,0.13,110.63,11399.09,11288.460000000001,91039.12,89291.07,120996.51,137518.05,38.7,29.35,64.2,277.31,119245.27,113113.15,171729.87,226639.51
agentic_kimik2.5_tp4_conc20_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc20_b200-dgxc_07,4,20,lmcache,SUCCESS,416,0.23,237.62,19203.1,18965.48,56686.14,48853.63,104563.04,151117.7,15.07,12.97,18.84,47.73,70413.56,58823.2,126580.56,176952.23
agentic_kimik2.5_tp4_conc20_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc20_b200-dgxc_02,4,20,none,SUCCESS,252,0.14,124.34,11238.76,11114.42,102529.01,102594.22,134807.78,166262.81,41.02,33.38,66.4,248.55,131779.29,124662.55,176729.01,321723.09
agentic_kimik2.5_tp4_conc22_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc22_b200-dgxc_09,4,22,lmcache,SUCCESS,320,0.23,250.11,19068.93,18818.82,62481.74,58382.63,102249.18,118068.33,15.65,13.36,20.3,38.75,77553.09,70646.13,121961.08,164733.64
agentic_kimik2.5_tp4_conc24_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc24_b200-dgxc_00,4,24,lmcache,SUCCESS,441,0.24,257.58,21022.18,20764.6,67521.18,59254.51,102461.9,188937.34,15.37,13.27,21.76,46.17,81973.51,71017.56,127704.66,208001.21
agentic_kimik2.5_tp4_conc32_offloadlmcache_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc32_b200-dgxc_06,4,32,lmcache,SUCCESS,478,0.26,262.54,21449.82,21187.28,96185.57,90053.76,137725.69,220242.17,15.03,13.04,20.71,42.32,109655.79,102897.71,163108.47,230304.63
agentic_kimik2.5_tp4_conc8_offloadnone_fp4_vllm_tp4-ep1-dpafalse_disagg-false_spec-none_conc8_b200-dgxc_04,4,8,none,SUCCESS,266,0.15,126.49,12942.27,12815.78,18127.42,13687.35,45208.26,63207.01,25.15,16.64,37.9,225.51,38115.61,28166.21,78124.59,178166.27
agentic_kimik2.5_tp8_conc16_offloadlmcache_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc16_b200-dgxc_03,8,16,lmcache,SUCCESS,25,0.42,184.46,34284.87,34100.41,3915.69,1513.07,11776.16,12251.96,20.99,19.09,25.56,45.74,13092.58,9682.54,29684.83,38275.32
agentic_kimik2.5_tp8_conc16_offloadnone_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc16_b200-dgxc_04,8,16,none,SUCCESS,818,0.45,430.42,38217.17,37786.75,1001.29,659.85,1580.33,8018.25,20.73,21.42,24.99,31.24,20670.59,9630.88,48839.56,176202.38
agentic_kimik2.5_tp8_conc1_offloadnone_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc1_b200-dgxc_04,8,1,none,SUCCESS,66,0.04,40.67,3125.65,3084.98,886.03,433.46,779.3,9791.37,7.16,7.09,7.46,7.47,8432.91,3711.34,20339.86,61190.81
agentic_kimik2.5_tp8_conc24_offloadnone_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc24_b200-dgxc_03,8,24,none,SUCCESS,1044,0.57,487.16,46546.65,46059.49,1333.64,732.03,2612.79,11873.26,31.17,28.06,41.56,90.46,27010.69,12432.55,68225.83,214261.52
agentic_kimik2.5_tp8_conc2_offloadnone_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc2_b200-dgxc_05,8,2,none,SUCCESS,288,0.16,90.93,12550.01,12459.08,1100.98,524.27,1742.54,9428.85,7.86,7.58,8.95,10.38,5472.4,2423.8,11599.65,61473.55
agentic_kimik2.5_tp8_conc32_offloadlmcache_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc32_b200-dgxc_05,8,32,lmcache,SUCCESS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentic_kimik2.5_tp8_conc36_offloadlmcache_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc36_b200-dgxc_08,8,36,lmcache,SUCCESS,20,0.02,40.13,1274.57,1234.4399999999998,121510.48,9221.44,126691.87,1140223.1,89.61,27.26,141.78,855.35,237847.74,62848.5,834013.38,1140360.08
agentic_kimik2.5_tp8_conc4_offloadnone_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc4_b200-dgxc_00,8,4,none,SUCCESS,409,0.23,134.35,17792.54,17658.190000000002,673.56,530.4,794.25,5430.26,8.53,8.12,9.8,22.76,5676.51,2244.81,14281.18,45330.67
agentic_kimik2.5_tp8_conc8_offloadnone_fp4_vllm_tp8-ep1-dpafalse_disagg-false_spec-none_conc8_b200-dgxc_00,8,8,none,SUCCESS,579,0.32,272.49,30407.97,30135.48,973.06,672.45,1513.88,5383.94,11.63,11.19,15.09,22.19,10831.39,4680.87,28834.77,84668.29
