Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,avg,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,min,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,max,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,p50,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,p90,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,p95,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,p99,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput,tokens/sec,std,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780441279545728000,1780441280545728000,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,avg,31626.42
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,min,6474.75
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,max,37047.79
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,p50,37047.79
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,p90,37047.79
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,p95,37047.79
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,p99,37047.79
0,1780441279545728000,1780441280545728000,Active Prefill Throughput,tokens/sec,std,8951.57
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,avg,8150.11
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,min,6474.75
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,max,10433.96
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,p50,7409.56
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,p90,10433.96
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,p95,10433.96
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,p99,10433.96
0,1780441279545728000,1780441280545728000,Active Prefill Throughput Per User,tokens/sec/user,std,1331.31
0,1780441279545728000,1780441280545728000,Active Total Throughput,tokens/sec,avg,31626.42
