Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),255.27,0.00,3651.09,,,,,,239.44,,404.49,469.11,681.44,122.79
Active Decode Throughput Per User (tokens/sec/user),76.45,0.00,3651.09,,,,,,77.93,,101.09,117.47,169.86,31.58
Active Prefill Throughput (tokens/sec),20768.21,1528.94,239642.30,,,,,,20562.62,,28051.80,31694.41,40543.35,7470.33
Active Prefill Throughput Per User (tokens/sec/user),1403.86,539.86,111043.27,,,,,,1272.50,,1861.37,2150.55,5976.70,1931.14
Active Total Throughput (tokens/sec),21021.94,34.76,239642.30,,,,,,20750.04,,28290.12,31938.12,40730.83,7467.76
Inter Token Latency (error-adjusted) (ms),,7.98,,,9.41,10.21,10.70,11.56,13.27,16.21,21.80,26.92,52.33,
Request Latency (error-adjusted) (ms),,8455.73,,,14579.54,40307.47,48743.92,58055.62,71017.56,96597.43,127892.84,170782.69,213148.70,
Time to First Token (error-adjusted) (ms),,419.14,,,7998.50,29342.57,39680.62,49309.02,59254.51,79263.90,103712.95,142261.73,190462.53,
Credit Drop Latency (ms),10.05,1.41,108.67,190.91,1.48,1.76,1.81,2.14,3.37,5.06,12.31,27.24,92.38,23.58
Credit-to-Start Latency (ms),2.33,0.58,108.99,1028.99,0.77,0.93,1.00,1.15,1.30,1.56,2.12,4.47,21.55,6.94
E2E Output Token Throughput (tokens/sec/user),11.94,0.07,73.73,5265.21,0.10,0.40,1.33,3.43,8.35,17.67,28.17,34.69,50.55,11.67
Effective Concurrency,19.81,1.00,27.00,,,,,,20.00,,23.00,24.00,26.00,3.43
Effective Decode Concurrency,3.49,0.00,11.00,,,,,,3.00,,5.00,6.00,9.00,1.59
Effective Decode Throughput (tokens/sec),254.43,0.00,3651.09,,,,,,239.11,,404.39,468.33,681.44,123.12
Effective Decode Throughput Per User (tokens/sec/user),76.09,0.00,3651.09,,,,,,77.90,,101.07,117.38,169.86,31.93
Effective Latency (CO-aware) (ms),81790.39,11.94,269935.61,36151350.84,12084.42,39747.78,48594.06,57985.31,71001.79,96336.63,127659.57,169199.01,207925.56,38147.24
Effective Prefill Concurrency,16.32,0.00,25.00,,,,,,17.00,,20.00,21.00,23.00,3.66
Effective Prefill Throughput (tokens/sec),20764.60,0.00,239642.30,,,,,,20562.62,,28051.80,31694.41,40543.35,7474.69
Effective Prefill Throughput Per User (tokens/sec/user),1403.62,0.00,111043.27,,,,,,1272.50,,1861.37,2150.55,5976.70,1931.06
Effective Total Throughput (tokens/sec),21021.94,34.76,239642.30,,,,,,20750.04,,28290.12,31938.12,40730.83,7467.76
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,54.70,2.00,635.00,24122.00,2.00,2.00,6.00,13.00,32.00,64.00,126.00,182.00,429.60,75.71
HTTP Chunks Sent,1.00,1.00,1.00,441.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.41,0.00,1.33,179.84,0.00,0.00,0.00,0.00,0.45,0.60,0.77,0.86,1.03,0.29
HTTP Connection Overhead (ms),0.49,0.00,2.32,217.07,0.00,0.00,0.00,0.00,0.45,0.76,1.11,1.25,1.41,0.42
HTTP Connection Reused (ratio),0.28,0.00,1.00,122.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.45
HTTP Data Received (KB),19.56,1.17,234.42,8626.20,1.18,1.25,2.64,5.08,11.60,22.92,44.19,63.44,149.47,26.50
HTTP Data Sent (KB),339.05,1.45,1019.50,149519.11,1.77,15.75,127.92,202.69,305.33,444.32,580.97,789.42,980.97,206.29
HTTP DNS Lookup (ms),0.08,0.00,1.00,37.22,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.42,0.47,0.16
HTTP Duration (excl. conn) (ms),81973.43,8455.63,269933.98,36150282.96,14627.69,40307.39,48743.86,58055.54,71017.49,96395.24,127704.58,169290.23,208001.14,37992.07
HTTP Receiving (ms),14452.33,61.86,179271.59,6373479.71,90.27,396.04,1146.84,3254.75,8937.40,16134.34,33919.95,44960.74,109817.94,19489.34
HTTP Sending (ms),0.61,0.13,1.50,267.85,0.14,0.16,0.17,0.22,0.65,0.81,0.97,1.08,1.24,0.31
HTTP Total Time (ms),81973.92,8456.28,269934.51,36150500.03,14628.19,40308.41,48743.86,58055.88,71018.01,96396.25,127705.62,169290.75,208001.55,37992.09
HTTP Waiting (TTFB) (ms),67520.49,418.29,201584.65,29776535.40,8025.01,29342.28,39679.71,49308.78,59253.81,78260.90,102461.04,141786.87,188936.65,32724.38
Input Sequence Length (tokens),85909.55,420.00,258976.00,37886110.00,422.00,4076.00,32095.00,51564.00,77199.00,113447.00,147017.00,199979.00,249152.00,52393.17
Inter Chunk Latency (ms),269.14,10.25,20200.10,6373475.95,139.46,179.34,191.84,205.96,226.33,250.30,286.69,358.51,1542.83,359.56
Inter Token Latency (ms),15.37,7.98,91.37,6779.27,9.42,10.21,10.70,11.56,13.27,16.21,21.76,26.89,46.17,7.93
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1065.69,6.00,12679.00,469968.00,6.00,21.00,96.00,233.00,619.00,1249.00,2486.00,3616.00,8559.60,1513.54
Output Token Count (tokens),1065.69,6.00,12679.00,469968.00,6.00,21.00,96.00,233.00,619.00,1249.00,2486.00,3616.00,8559.60,1513.54
Output Token Throughput Per User (tokens/sec/user),72.84,10.94,125.30,32123.81,21.67,37.19,45.96,61.69,75.36,86.52,93.42,97.96,106.21,18.80
Prefill Throughput Per User (tokens/sec/user),2056.40,4.14,111043.29,906872.88,9.33,81.60,417.91,761.68,1230.09,1840.30,2776.84,3918.21,13196.05,6993.22
Request Latency (ms),81973.51,8455.73,269934.06,36150318.11,14627.79,40307.47,48743.92,58055.62,71017.56,96395.32,127704.66,169290.32,208001.21,37992.07
Requested OSL (tokens),1065.69,6.00,12679.00,469968.00,6.00,21.00,96.00,233.00,619.00,1249.00,2486.00,3616.00,8559.60,1513.54
Time to First Output Token (ms),77832.63,12463.42,204910.58,15333027.64,15097.40,39564.89,45134.12,54521.38,69381.03,91805.06,112703.37,170837.08,199712.14,35851.82
Time to First Token (ms),67521.18,419.14,201585.35,29776842.15,8025.57,29342.57,39680.62,49309.02,59254.51,78261.55,102461.90,141787.81,188937.34,32724.38
Time to Second Token (ms),447.96,61.85,10551.75,197550.31,90.26,197.25,208.61,228.69,261.80,368.59,687.94,1251.40,3513.84,725.81
Tokens In Flight (tokens),1804386.38,46543.00,2492508.53,,,,,,1838215.80,,2197251.49,2268050.82,2487653.76,358584.45
Usage Completion Tokens (tokens),1065.69,6.00,12679.00,469968.00,6.00,21.00,96.00,233.00,619.00,1249.00,2486.00,3616.00,8559.60,1513.54
Usage Prompt Tokens (tokens),85909.55,420.00,258976.00,37886110.00,422.00,4076.00,32095.00,51564.00,77199.00,113447.00,147017.00,199979.00,249152.00,52393.17
Usage Total Tokens (tokens),86975.23,438.00,260293.00,38356078.00,442.00,4895.00,32469.00,51959.00,79533.00,114999.00,147792.00,201667.00,250054.20,52750.50

Metric,Value
Benchmark Duration (sec),1824.55
Completed Requests (Success + Error),442.00
Context Overflow Count,0.00
Error Request Count,1.00
Input Token Throughput (tokens/sec),20764.60
Maximum Response Timestamp (ns),1780445077349784576.00
Minimum Request Timestamp (ns),1780443252797323520.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),257.58
Request Count,441.00
Request Error Rate (%),0.23
Request Throughput (requests/sec),0.24
Theoretical Prefix Cache Hit (%),95.20
Total Input Sequence Length (tokens),37886110.00
Total Output Sequence Length (tokens),469968.00
Total Output Tokens (tokens),469968.00
Total Token Throughput (tokens/sec),21022.18
Total Usage Completion Tokens (tokens),469968.00
Total Usage Prompt Tokens (tokens),37886110.00
Total Usage Total Tokens (tokens),38356078.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
