Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),279.53,0.00,4522.01,,,,,,278.34,,426.35,490.70,590.84,124.81
Active Decode Throughput Per User (tokens/sec/user),91.50,0.00,3163.16,,,,,,90.02,,121.34,136.50,234.89,40.64
Active Prefill Throughput (tokens/sec),128372.33,754.52,374664.71,,,,,,144013.11,,167264.06,223754.71,270829.37,54222.70
Active Prefill Throughput Per User (tokens/sec/user),114034.41,754.52,189974.90,,,,,,135277.53,,160243.47,164326.87,174168.68,50144.15
Active Total Throughput (tokens/sec),30973.43,22.43,374822.78,,,,,,340.55,,149669.99,159459.15,234926.91,60819.58
Credit Drop Latency (ms),17.97,1.57,131.18,251.60,1.58,1.62,1.72,2.67,4.28,13.10,39.34,76.44,120.23,33.55
Credit-to-Start Latency (ms),1.96,0.61,131.72,1134.86,0.73,0.84,0.96,1.13,1.33,1.56,1.78,1.96,11.05,6.95
E2E Output Token Throughput (tokens/sec/user),66.09,0.48,132.53,38267.86,6.14,8.51,14.18,53.24,71.91,85.47,97.91,105.56,119.62,28.97
Effective Concurrency,3.45,0.00,8.00,,,,,,3.00,,6.00,6.00,7.00,1.59
Effective Decode Concurrency,3.14,0.00,8.00,,,,,,3.00,,5.00,6.00,7.00,1.58
Effective Decode Throughput (tokens/sec),270.28,0.00,4522.01,,,,,,275.61,,424.97,488.93,589.80,131.94
Effective Decode Throughput Per User (tokens/sec/user),88.22,0.00,3163.16,,,,,,89.16,,121.05,135.49,228.92,43.37
Effective Latency (CO-aware) (ms),10833.35,224.53,132644.72,6272511.57,466.09,698.68,764.34,1754.33,4681.65,12236.24,28836.37,41252.31,84670.39,16365.43
Effective Prefill Concurrency,0.31,0.00,5.00,,,,,,0.00,,1.00,2.00,3.00,0.66
Effective Prefill Throughput (tokens/sec),30135.48,0.00,374664.71,,,,,,0.00,,149056.81,159077.48,230908.20,60420.24
Effective Prefill Throughput Per User (tokens/sec/user),26769.64,0.00,189974.90,,,,,,0.00,,143215.20,155208.71,165411.10,54095.40
Effective Total Throughput (tokens/sec),30407.65,0.00,374822.78,,,,,,337.55,,149107.26,159331.52,231196.15,60404.12
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,44.16,2.00,537.00,25570.00,2.00,2.00,2.00,7.00,18.00,50.00,114.40,179.60,380.34,69.25
HTTP Chunks Sent,1.00,1.00,1.00,579.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.28,0.00,0.96,163.79,0.00,0.00,0.00,0.00,0.37,0.49,0.57,0.65,0.86,0.26
HTTP Connection Overhead (ms),0.30,0.00,1.47,174.99,0.00,0.00,0.00,0.00,0.37,0.49,0.57,0.86,1.22,0.30
HTTP Connection Reused (ratio),0.42,0.00,1.00,243.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),15.85,0.91,186.57,9180.01,1.17,1.17,1.20,2.95,6.82,17.93,40.23,63.36,127.92,23.87
HTTP Data Sent (KB),374.07,1.45,981.22,216587.48,9.42,107.11,149.64,252.19,379.08,438.34,585.66,724.41,916.59,177.29
HTTP DNS Lookup (ms),0.02,0.00,0.50,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.40,0.08
HTTP Duration (excl. conn) (ms),10831.32,214.37,132643.14,6271331.60,464.93,697.30,762.88,1752.56,4680.81,12234.76,28834.67,41250.57,84668.22,16365.46
HTTP Receiving (ms),9859.33,31.78,127729.13,5708549.41,43.60,69.71,100.48,1153.40,3665.82,10809.91,26981.51,40022.16,83361.29,16139.37
HTTP Sending (ms),0.46,0.09,1.19,269.20,0.10,0.13,0.14,0.16,0.57,0.69,0.78,0.89,1.07,0.28
HTTP Total Time (ms),10831.62,214.37,132643.58,6271506.58,465.30,697.68,762.88,1752.75,4680.81,12235.17,28834.79,41250.90,84668.34,16365.52
HTTP Waiting (TTFB) (ms),971.53,57.56,17185.41,562512.99,167.55,306.81,375.79,540.49,670.92,928.50,1513.08,2140.81,5383.12,1316.14
Input Sequence Length (tokens),94514.17,420.00,248749.00,54723706.00,2405.00,27018.50,38242.20,64534.00,95114.00,110753.50,147782.60,183911.60,232196.58,44927.59
Inter Chunk Latency (ms),228.43,8.20,6508.25,5707976.36,95.44,150.50,164.84,183.33,208.55,262.46,302.39,320.12,462.42,142.84
Inter Token Latency (ms),11.63,0.00,44.59,6730.98,7.10,8.05,8.55,9.50,11.19,13.14,15.09,15.80,22.19,3.35
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),854.62,4.00,10710.00,494824.00,6.00,6.00,12.00,109.00,334.00,977.50,2267.80,3558.50,7582.48,1384.82
Output Token Count (tokens),854.62,4.00,10710.00,494824.00,6.00,6.00,12.00,109.00,334.00,977.50,2267.80,3558.50,7582.48,1384.82
Output Token Throughput Per User (tokens/sec/user),91.95,22.43,750.05,53148.27,45.06,63.30,66.24,76.11,89.33,105.30,116.77,123.94,140.62,34.13
Prefill Throughput Per User (tokens/sec/user),125344.98,35.74,189974.92,72574740.70,9350.47,27539.61,54174.12,103745.78,143476.57,155662.57,161710.99,165449.10,176037.56,42440.99
Request Latency (ms),10831.39,214.44,132643.21,6271376.71,465.00,697.38,762.96,1752.64,4680.87,12234.85,28834.77,41250.67,84668.29,16365.46
Requested OSL (tokens),854.62,4.00,10710.00,494824.00,6.00,6.00,12.00,109.00,334.00,977.50,2267.80,3558.50,7582.48,1384.82
