Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,avg,169.30
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,min,0.00
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,max,350.23
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,p50,171.51
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,p90,175.17
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,p95,175.26
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,p99,175.30
0,1780468122738276352,1780468123738276352,Active Decode Throughput,tokens/sec,std,5.94
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,avg,169.30
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,max,350.23
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,p50,171.51
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,p90,175.17
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,p95,175.26
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,p99,175.30
0,1780468122738276352,1780468123738276352,Active Decode Throughput Per User,tokens/sec/user,std,5.94
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,avg,199651.05
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,min,199651.05
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,max,199651.05
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,p50,199651.05
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,p90,199651.05
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,p95,199651.05
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,p99,199651.05
0,1780468122738276352,1780468123738276352,Active Prefill Throughput,tokens/sec,std,0.00
0,1780468122738276352,1780468123738276352,Active Prefill Throughput Per User,tokens/sec/user,avg,199651.05
