Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),312.87,0.00,3064.66,,,,,,316.14,,508.23,567.69,672.53,155.13
Active Decode Throughput Per User (tokens/sec/user),14.53,0.00,646.18,,,,,,13.42,,23.29,26.55,38.79,9.38
Active Prefill Throughput (tokens/sec),54538.03,192.54,537407.56,,,,,,39908.30,,117046.83,153946.10,201276.89,49154.07
Active Prefill Throughput Per User (tokens/sec/user),34579.65,192.54,195587.73,,,,,,12701.74,,89606.97,97423.21,168162.50,38957.36
Active Total Throughput (tokens/sec),34743.03,9.26,537583.84,,,,,,12055.19,,95544.15,134917.27,182719.30,47099.96
Credit Drop Latency (ms),13.32,0.95,51.02,359.69,1.19,2.05,2.47,4.78,11.25,14.94,28.00,44.77,49.52,12.83
Credit-to-Start Latency (ms),2.79,0.82,76.79,2157.73,0.98,1.09,1.15,1.25,1.43,1.65,2.13,7.19,40.87,6.77
E2E Output Token Throughput (tokens/sec/user),15.16,0.17,63.37,11732.36,0.73,3.48,5.18,9.09,15.48,20.27,23.73,25.88,36.12,7.87
Effective Concurrency,23.71,1.00,36.00,,,,,,24.00,,32.00,33.00,35.00,6.43
Effective Decode Concurrency,21.81,0.00,32.00,,,,,,23.00,,28.00,29.00,31.00,5.69
Effective Decode Throughput (tokens/sec),312.76,0.00,3064.66,,,,,,316.14,,508.23,567.69,672.53,155.21
Effective Decode Throughput Per User (tokens/sec/user),14.52,0.00,646.18,,,,,,13.42,,23.28,26.55,38.79,9.39
Effective Latency (CO-aware) (ms),55861.10,771.73,581256.14,43236494.63,942.45,1621.81,4184.92,10895.88,28232.99,66315.86,140577.44,200540.82,392305.72,78784.10
Effective Prefill Concurrency,1.90,0.00,14.00,,,,,,1.00,,5.00,8.00,12.00,2.62
Effective Prefill Throughput (tokens/sec),34420.34,0.00,537407.56,,,,,,11857.22,,95293.13,134434.15,182262.14,47088.58
Effective Prefill Throughput Per User (tokens/sec/user),21824.10,0.00,195587.73,,,,,,4101.38,,82435.56,91889.17,158392.80,35159.96
Effective Total Throughput (tokens/sec),34743.03,9.26,537583.84,,,,,,12055.19,,95544.15,134917.27,182719.30,47099.96
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,760.33,5.00,10546.00,588493.00,6.00,12.00,24.90,163.00,353.50,896.50,1800.20,3147.15,5538.02,1106.28
HTTP Chunks Sent,1.00,1.00,1.00,774.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.57,0.00,9.70,438.20,0.00,0.00,0.00,0.00,0.62,0.70,1.09,1.17,1.98,0.75
HTTP Connection Overhead (ms),0.66,0.00,17.19,511.40,0.00,0.00,0.00,0.00,0.62,0.70,1.55,1.68,2.27,0.97
HTTP Connection Reused (ratio),0.34,0.00,1.00,264.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),187.06,1.82,2586.99,144782.81,2.07,3.52,6.72,40.47,87.24,219.99,441.81,772.41,1361.88,271.34
HTTP Data Sent (KB),320.38,1.50,1008.83,247972.79,1.85,94.81,155.31,202.26,288.35,381.85,508.20,643.49,942.63,170.89
HTTP DNS Lookup (ms),0.09,0.00,7.49,73.20,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.50,0.56,0.32
HTTP Duration (excl. conn) (ms),55858.20,762.74,581254.72,43234250.31,935.60,1620.19,4183.45,10894.57,28231.58,66314.41,140575.33,200538.77,392303.69,78783.78
HTTP Receiving (ms),51385.22,151.73,580897.81,39772159.93,188.46,536.58,2559.78,8261.93,21979.63,59338.84,133619.68,199577.30,371358.44,77394.95
HTTP Sending (ms),0.83,0.14,9.82,643.20,0.20,0.22,0.23,0.26,0.89,0.99,1.38,1.46,2.17,0.75
HTTP Total Time (ms),55858.87,762.74,581255.42,43234761.71,935.60,1620.45,4184.07,10895.05,28232.21,66315.09,140576.23,200539.42,392304.16,78783.88
HTTP Waiting (TTFB) (ms),4472.15,84.60,60873.34,3461447.19,194.86,364.49,543.72,800.56,1304.37,3791.58,10943.05,21355.16,51684.03,8510.20
Input Sequence Length (tokens),81081.60,400.00,256171.00,62757155.00,404.00,23874.00,39434.00,50875.75,73459.00,96216.00,128331.20,163538.55,239432.92,43408.96
Inter Chunk Latency (ms),67.86,0.36,6328.08,39771504.82,18.14,25.87,28.17,30.51,34.38,37.36,40.79,74.12,1085.33,210.52
Inter Token Latency (ms),76.47,15.24,1715.42,59188.66,26.26,32.25,35.73,42.53,52.81,76.09,122.00,166.77,449.40,92.55
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),761.15,5.00,10571.00,589129.00,6.00,12.00,24.90,163.00,354.00,898.00,1802.60,3154.35,5541.10,1107.47
Output Token Count (tokens),761.15,5.00,10571.00,589129.00,6.00,12.00,24.90,163.00,354.00,898.00,1802.60,3154.35,5541.10,1107.47
Output Token Throughput Per User (tokens/sec/user),18.60,0.58,65.64,14393.94,2.23,6.00,8.20,13.14,18.93,23.51,27.98,31.01,38.15,8.36
Prefill Throughput Per User (tokens/sec/user),61144.04,126.18,195587.73,47325484.63,989.30,2215.32,5345.05,16224.35,63833.88,88135.79,110642.30,158214.86,178972.70,45659.30
Request Latency (ms),55858.32,762.85,581254.83,43234336.91,935.72,1620.31,4183.55,10894.67,28231.69,66314.53,140575.44,200538.88,392303.81,78783.78
Requested OSL (tokens),761.15,5.00,10571.00,589129.00,6.00,12.00,24.90,163.00,354.00,898.00,1802.60,3154.35,5541.10,1107.47
Time to First Output Token (ms),4473.94,85.61,60874.77,3462832.09,195.39,365.50,544.36,801.16,1305.48,3792.72,10943.87,21356.32,51684.56,8510.37
Time to First Token (ms),4473.94,85.61,60874.77,3462832.09,195.39,365.50,544.36,801.16,1305.48,3792.72,10943.87,21356.32,51684.56,8510.37
Time to Second Token (ms),128.92,7.17,1852.68,99787.81,14.28,24.54,27.74,30.62,34.92,53.32,330.32,681.20,1201.85,256.60
Tokens In Flight (tokens),2337153.88,122479.00,3432781.56,,,,,,2446518.97,,3014982.59,3077385.77,3314552.52,612240.39
Usage Completion Tokens (tokens),761.15,5.00,10571.00,589129.00,6.00,12.00,24.90,163.00,354.00,898.00,1802.60,3154.35,5541.10,1107.47
