Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),118.81,0.00,38569.50,,,,,,92.13,,185.31,239.20,270.34,73.30
Active Decode Throughput Per User (tokens/sec/user),70.60,0.00,38569.50,,,,,,79.67,,91.70,93.89,139.78,37.87
Active Prefill Throughput (tokens/sec),51660.86,1534.25,242858.44,,,,,,54308.77,,88399.11,97344.18,154389.64,29601.43
Active Prefill Throughput Per User (tokens/sec/user),45653.48,1534.25,195349.85,,,,,,51438.65,,76588.13,89386.96,99307.38,27354.37
Active Total Throughput (tokens/sec),16649.23,38.03,242858.44,,,,,,160.92,,60997.03,74518.55,105609.76,29323.88
Credit Drop Latency (ms),7.85,1.71,18.10,54.98,1.71,1.72,1.74,1.93,4.76,13.28,17.41,17.76,18.03,6.64
Credit-to-Start Latency (ms),1.89,0.59,96.79,666.22,0.88,0.98,1.03,1.13,1.39,1.57,1.78,2.10,10.79,5.37
E2E Output Token Throughput (tokens/sec/user),44.15,0.39,103.31,15584.41,3.01,3.94,5.33,21.87,52.09,63.21,72.24,75.28,80.70,24.60
Effective Concurrency,1.73,0.00,4.00,,,,,,2.00,,3.00,4.00,4.00,1.09
Effective Decode Concurrency,1.36,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,0.97
Effective Decode Throughput (tokens/sec),96.04,0.00,38569.50,,,,,,87.82,,180.61,229.72,266.46,80.54
Effective Decode Throughput Per User (tokens/sec/user),56.78,0.00,38569.50,,,,,,76.08,,90.83,93.05,124.77,44.02
Effective Latency (CO-aware) (ms),8868.86,365.19,125084.17,3130707.56,600.20,1160.26,1442.56,1870.52,4143.00,9253.46,19729.49,36027.54,75974.21,14517.16
Effective Prefill Concurrency,0.37,0.00,3.00,,,,,,0.00,,1.00,2.00,3.00,0.67
Effective Prefill Throughput (tokens/sec),14141.65,0.00,242858.44,,,,,,0.00,,59002.10,71333.96,102838.96,27756.92
Effective Prefill Throughput Per User (tokens/sec/user),12497.19,0.00,195349.85,,,,,,0.00,,56878.93,66536.02,91303.75,24883.52
Effective Total Throughput (tokens/sec),14238.51,0.00,242858.44,,,,,,152.10,,59080.78,71471.73,102838.96,27743.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,490.61,4.00,8508.00,173186.00,6.00,6.00,9.00,61.00,186.00,521.00,1143.40,2004.20,4046.84,903.67
