Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,avg,390.99
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,min,0.00
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,max,7151.56
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,p50,0.00
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,p90,2481.88
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,p95,2816.84
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,p99,3358.81
0,1780467775727529984,1780467776727529984,Active Decode Throughput,tokens/sec,std,966.79
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,avg,390.99
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,max,7151.56
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,p90,2481.88
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,p95,2816.84
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,p99,3358.81
0,1780467775727529984,1780467776727529984,Active Decode Throughput Per User,tokens/sec/user,std,966.79
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,avg,189602.98
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,min,136290.03
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,max,312487.63
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,p50,176197.59
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,p90,312487.63
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,p95,312487.63
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,p99,312487.63
0,1780467775727529984,1780467776727529984,Active Prefill Throughput,tokens/sec,std,68560.70
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,avg,103940.88
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,min,68145.02
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,max,176197.59
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,p50,104162.54
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,p90,176197.59
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,p95,176197.59
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,p99,176197.59
0,1780467775727529984,1780467776727529984,Active Prefill Throughput Per User,tokens/sec/user,std,42569.48
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,avg,189639.54
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,min,136363.35
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,max,312487.63
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,p50,176197.59
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,p90,312487.63
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,p95,312487.63
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,p99,312487.63
0,1780467775727529984,1780467776727529984,Active Total Throughput,tokens/sec,std,68532.27
0,1780467775727529984,1780467776727529984,Benchmark Duration,sec,avg,4.83
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,avg,56.34
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,min,36.82
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,max,70.20
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,sum,169.03
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p1,37.32
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p5,39.34
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p10,41.86
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p25,49.41
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p50,62.01
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p75,66.10
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p90,68.56
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p95,69.38
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,p99,70.04
0,1780467775727529984,1780467776727529984,E2E Output Token Throughput,tokens/sec/user,std,14.20
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,avg,2.47
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,min,1.00
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,max,3.00
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,p50,3.00
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,p90,3.00
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,p95,3.00
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,p99,3.00
0,1780467775727529984,1780467776727529984,Effective Concurrency,requests,std,0.82
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,avg,0.50
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,min,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,max,1.00
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,p50,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,p90,1.00
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,p95,1.00
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,p99,1.00
0,1780467775727529984,1780467776727529984,Effective Decode Concurrency,requests,std,0.50
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,avg,195.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,min,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,max,7151.56
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,p95,2481.88
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,p99,3128.02
0,1780467775727529984,1780467776727529984,Effective Decode Throughput,tokens/sec,std,710.20
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,avg,195.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,max,7151.56
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,p95,2481.88
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,p99,3128.02
0,1780467775727529984,1780467776727529984,Effective Decode Throughput Per User,tokens/sec/user,std,710.20
0,1780467775727529984,1780467776727529984,Effective Prefill Concurrency,requests,avg,1.97
