Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,avg,17.80
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,min,17.78
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,max,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,p50,17.80
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,p90,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,p95,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,p99,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput,tokens/sec,std,0.01
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,avg,17.80
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,min,17.78
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,max,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,p50,17.80
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,p90,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,p95,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,p99,17.81
0,1780480680437989888,1780480681437989888,Active Decode Throughput Per User,tokens/sec/user,std,0.01
0,1780480680437989888,1780480681437989888,Active Prefill Throughput,tokens/sec,avg,135481.93
0,1780480680437989888,1780480681437989888,Active Prefill Throughput,tokens/sec,min,20765.91
0,1780480680437989888,1780480681437989888,Active Prefill Throughput,tokens/sec,max,177145.47
0,1780480680437989888,1780480681437989888,Active Prefill Throughput,tokens/sec,p50,156379.56
0,1780480680437989888,1780480681437989888,Active Prefill Throughput,tokens/sec,p90,177145.47
0,1780480680437989888,1780480681437989888,Active Prefill Throughput,tokens/sec,p95,177145.47
0,1780480680437989888,1780480681437989888,Active Prefill Throughput,tokens/sec,p99,177145.47
