Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,avg,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,min,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,max,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,p50,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,p90,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,p95,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,p99,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput,tokens/sec,std,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780479995615386368,1780479996615386368,Active Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,avg,91546.03
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,min,53786.37
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,max,95794.76
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,p50,95794.76
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,p90,95794.76
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,p95,95794.76
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,p99,95794.76
0,1780479995615386368,1780479996615386368,Active Prefill Throughput,tokens/sec,std,12666.12
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,avg,48492.99
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,min,47897.38
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,max,53786.37
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,p50,47897.38
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,p90,53786.37
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,p95,53786.37
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,p99,53786.37
0,1780479995615386368,1780479996615386368,Active Prefill Throughput Per User,tokens/sec/user,std,1775.61
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,avg,91546.03
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,min,53786.37
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,max,95794.76
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,p50,95794.76
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,p90,95794.76
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,p95,95794.76
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,p99,95794.76
0,1780479995615386368,1780479996615386368,Active Total Throughput,tokens/sec,std,12666.12
0,1780479995615386368,1780479996615386368,Benchmark Duration,sec,avg,4.33
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,avg,53.37
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,min,31.79
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,max,74.94
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,sum,106.73
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p1,32.23
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p5,33.95
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p10,36.11
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p25,42.58
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p50,53.37
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p75,64.15
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p90,70.62
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p95,72.78
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,p99,74.51
0,1780479995615386368,1780479996615386368,E2E Output Token Throughput,tokens/sec/user,std,21.57
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,avg,1.90
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,min,1.00
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,max,2.00
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,p50,2.00
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,p90,2.00
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,p95,2.00
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,p99,2.00
0,1780479995615386368,1780479996615386368,Effective Concurrency,requests,std,0.30
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,avg,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,min,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,max,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,p50,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,p90,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,p95,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,p99,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Concurrency,requests,std,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,avg,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,min,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,max,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,p50,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,p90,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,p95,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,p99,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput,tokens/sec,std,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,avg,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,min,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,max,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,p50,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,p90,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,p95,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,p99,0.00
0,1780479995615386368,1780479996615386368,Effective Decode Throughput Per User,tokens/sec/user,std,0.00
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,avg,1.90
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,min,1.00
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,max,2.00
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,p50,2.00
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,p90,2.00
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,p95,2.00
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,p99,2.00
0,1780479995615386368,1780479996615386368,Effective Prefill Concurrency,requests,std,0.30
0,1780479995615386368,1780479996615386368,Effective Prefill Throughput,tokens/sec,avg,91546.03
0,1780479995615386368,1780479996615386368,Effective Prefill Throughput,tokens/sec,min,53786.37
0,1780479995615386368,1780479996615386368,Effective Prefill Throughput,tokens/sec,max,95794.76
0,1780479995615386368,1780479996615386368,Effective Prefill Throughput,tokens/sec,p50,95794.76
