Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),78.84,0.00,13827.08,,,,,,75.23,,151.50,168.28,216.26,54.02
Active Decode Throughput Per User (tokens/sec/user),21.27,0.00,3456.77,,,,,,19.99,,37.13,40.78,53.45,13.06
Active Prefill Throughput (tokens/sec),6210.41,210.57,121180.17,,,,,,5365.85,,8475.80,11798.46,25656.63,4754.77
Active Prefill Throughput Per User (tokens/sec/user),326.38,162.56,103248.75,,,,,,220.18,,321.35,426.70,1934.12,1975.64
Active Total Throughput (tokens/sec),6217.93,8.27,121180.17,,,,,,5445.76,,8483.83,11912.17,25725.52,4777.15
Credit Drop Latency (ms),7.76,0.96,20.81,31.04,0.99,1.12,1.29,1.77,4.64,10.62,16.73,18.77,20.40,7.90
Credit-to-Start Latency (ms),5.22,0.98,95.98,715.25,1.01,1.18,1.23,1.38,1.58,2.05,11.18,18.80,69.78,12.31
E2E Output Token Throughput (tokens/sec/user),3.51,0.01,27.99,480.43,0.02,0.04,0.28,0.68,1.73,4.13,9.03,14.49,23.50,4.84
Effective Concurrency,27.40,1.00,33.00,,,,,,31.00,,32.00,33.00,33.00,7.73
Effective Decode Concurrency,3.73,0.00,7.00,,,,,,4.00,,5.00,5.00,6.00,1.11
Effective Decode Throughput (tokens/sec),78.78,0.00,13827.08,,,,,,75.22,,151.50,168.27,216.26,54.04
Effective Decode Throughput Per User (tokens/sec/user),21.25,0.00,3456.77,,,,,,19.99,,37.13,40.78,53.45,13.06
Effective Latency (CO-aware) (ms),365570.91,24134.98,734692.16,50083214.83,30559.15,46631.25,139554.70,288220.50,379826.36,470018.07,534402.22,569954.41,677867.38,150143.43
Effective Prefill Concurrency,23.67,0.00,30.00,,,,,,27.00,,29.00,30.00,30.00,7.66
Effective Prefill Throughput (tokens/sec),6138.00,0.00,121180.17,,,,,,5365.85,,8360.72,11798.46,25656.63,4773.75
Effective Prefill Throughput Per User (tokens/sec/user),322.57,0.00,103248.75,,,,,,220.18,,320.53,426.70,1934.12,1964.40
Effective Total Throughput (tokens/sec),6217.93,8.27,121180.17,,,,,,5445.76,,8483.83,11912.17,25725.52,4777.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1065.91,4.00,10563.00,146030.00,6.72,12.80,88.00,210.00,620.00,1288.00,2692.60,3894.00,6124.24,1482.77
HTTP Chunks Sent,1.00,1.00,1.00,137.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.91,0.00,5.15,124.20,0.00,0.00,0.00,0.70,1.08,1.17,1.35,1.42,1.53,0.59
HTTP Connection Overhead (ms),1.24,0.00,8.21,170.52,0.00,0.00,0.00,0.70,1.53,1.68,1.91,2.00,2.20,0.91
HTTP Connection Reused (ratio),0.18,0.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.39
HTTP Data Received (KB),265.36,1.60,2627.78,36354.25,2.27,3.78,22.53,53.01,155.19,319.71,670.22,961.51,1523.79,368.29
HTTP Data Sent (KB),318.08,9.12,736.53,43576.63,9.41,92.06,118.37,191.55,310.35,429.53,510.34,691.31,733.10,166.06
HTTP DNS Lookup (ms),0.34,0.00,3.06,46.32,0.00,0.00,0.00,0.00,0.45,0.51,0.55,0.60,0.68,0.34
HTTP Duration (excl. conn) (ms),365565.57,24123.97,734689.99,50082483.75,30552.79,46611.38,139540.46,288219.00,379824.54,470016.61,534400.53,569953.06,677864.14,150147.48
HTTP Receiving (ms),49781.78,78.53,374890.05,6820103.92,147.38,344.99,3163.44,10376.17,27695.92,60550.47,130383.67,170540.74,298358.91,63179.04
HTTP Sending (ms),1.20,0.23,5.40,164.35,0.23,0.25,0.27,0.97,1.35,1.48,1.72,1.77,1.90,0.60
HTTP Total Time (ms),365566.82,24125.83,734690.70,50082654.28,30554.63,46613.28,139542.00,288219.00,379825.28,470016.61,534401.27,569954.37,677865.80,150147.16
HTTP Waiting (TTFB) (ms),315782.59,1184.59,532993.19,43262215.49,3507.97,27837.24,113419.76,251417.25,330920.44,430790.04,473529.63,499841.02,521052.82,136951.08
Input Sequence Length (tokens),81878.31,2349.00,191382.00,11217329.00,2376.40,23498.80,30383.60,49221.00,79295.00,110504.00,130978.00,177578.00,190524.04,42849.67
Inter Chunk Latency (ms),50.03,0.00,3646.01,6819851.56,17.84,21.24,22.72,26.16,31.33,37.74,53.40,65.71,759.76,139.19
Inter Token Latency (ms),51.28,19.63,217.47,7025.38,21.19,25.43,27.05,32.30,38.95,66.00,80.54,107.76,176.00,30.60
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1067.27,5.00,10571.00,146216.00,7.08,12.80,89.80,210.00,624.00,1288.00,2698.40,3899.80,6127.24,1484.12
Output Token Count (tokens),1067.27,5.00,10571.00,146216.00,7.08,12.80,89.80,210.00,624.00,1288.00,2698.40,3899.80,6127.24,1484.12
Output Token Throughput Per User (tokens/sec/user),24.44,4.60,50.94,3348.44,5.68,9.28,12.42,15.15,25.68,30.96,36.97,39.32,47.23,9.95
Prefill Throughput Per User (tokens/sec/user),1366.94,5.28,103248.76,187270.28,7.40,63.14,88.23,156.13,237.09,396.08,926.64,4088.60,9278.33,8846.51
Request Latency (ms),365563.86,24124.10,734690.11,50082248.73,30552.92,46606.15,139540.58,288219.10,379824.67,470016.73,534392.60,569953.16,677864.26,150148.69
Requested OSL (tokens),1067.27,5.00,10571.00,146216.00,7.08,12.80,89.80,210.00,624.00,1288.00,2698.40,3899.80,6127.24,1484.12
Time to First Output Token (ms),315783.92,1186.33,532994.28,43262397.18,3509.80,27839.07,113421.59,251418.79,330921.66,430791.07,473531.27,499842.55,521053.75,136950.83
Time to First Token (ms),315783.92,1186.33,532994.28,43262397.18,3509.80,27839.07,113421.59,251418.79,330921.66,430791.07,473531.27,499842.55,521053.75,136950.83
Time to Second Token (ms),83.76,0.00,1234.22,11475.43,0.03,0.13,0.16,0.24,0.43,23.48,356.57,404.52,842.97,188.92
Tokens In Flight (tokens),2292729.21,28785.31,2812390.70,,,,,,2571786.95,,2764553.33,2780067.56,2808421.57,655103.42
Usage Completion Tokens (tokens),1067.27,5.00,10571.00,146216.00,7.08,12.80,89.80,210.00,624.00,1288.00,2698.40,3899.80,6127.24,1484.12
Usage Prompt Tokens (tokens),81878.31,2349.00,191382.00,11217329.00,2376.40,23498.80,30383.60,49221.00,79295.00,110504.00,130978.00,177578.00,190524.04,42849.67
Usage Total Tokens (tokens),82945.58,2361.00,194665.00,11363545.00,2679.56,24052.80,30847.80,50138.00,80738.00,112600.00,133710.80,178988.00,192308.52,43310.99

Metric,Value
Benchmark Duration (sec),1827.52
Input Token Throughput (tokens/sec),6138.00
Maximum Response Timestamp (ns),1780507543445452544.00
Minimum Request Timestamp (ns),1780505715924005376.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),80.01
Request Count,137.00
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),94.51
Total Input Sequence Length (tokens),11217329.00
Total Output Sequence Length (tokens),146216.00
Total Output Tokens (tokens),146216.00
Total Token Throughput (tokens/sec),6218.01
Total Usage Completion Tokens (tokens),146216.00
Total Usage Prompt Tokens (tokens),11217329.00
Total Usage Total Tokens (tokens),11363545.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
