Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),67.31,0.00,9485.63,,,,,,60.51,,125.47,152.68,169.97,50.26
Active Decode Throughput Per User (tokens/sec/user),17.94,0.00,1897.13,,,,,,17.42,,31.79,38.45,42.51,12.14
Active Prefill Throughput (tokens/sec),5306.86,189.03,32391.15,,,,,,4972.40,,8365.44,12272.03,21986.79,3818.30
Active Prefill Throughput Per User (tokens/sec/user),155.68,83.81,8609.90,,,,,,117.45,,181.86,292.19,935.49,245.23
Active Total Throughput (tokens/sec),5324.77,12.05,32391.15,,,,,,5042.73,,8433.19,12306.56,22004.39,3827.85
Credit Drop Latency (ms),6.98,1.09,21.96,41.89,1.13,1.31,1.54,2.07,3.68,8.37,15.72,18.84,21.34,7.26
Credit-to-Start Latency (ms),8.31,1.04,96.88,946.82,1.09,1.18,1.23,1.52,1.81,7.08,18.34,41.56,69.47,15.14
E2E Output Token Throughput (tokens/sec/user),1.99,0.01,13.82,227.30,0.01,0.11,0.15,0.31,0.85,2.59,5.65,7.77,12.58,2.76
Effective Concurrency,40.38,1.00,52.00,,,,,,48.00,,50.00,50.00,52.00,13.73
Effective Decode Concurrency,3.67,0.00,7.00,,,,,,4.00,,5.00,5.00,6.00,1.14
Effective Decode Throughput (tokens/sec),66.78,0.00,9485.63,,,,,,60.49,,125.44,152.65,169.97,50.41
Effective Decode Throughput Per User (tokens/sec/user),17.80,0.00,1897.13,,,,,,17.02,,31.78,38.43,42.51,12.20
Effective Latency (CO-aware) (ms),640794.91,52161.10,1145810.58,73050619.43,56252.91,95228.06,145575.44,592121.32,686012.12,833023.06,922419.26,961093.61,1077968.82,270858.74
Effective Prefill Concurrency,36.71,0.00,50.00,,,,,,44.00,,47.00,47.00,48.00,13.65
Effective Prefill Throughput (tokens/sec),5256.23,0.00,32391.15,,,,,,4946.86,,8365.44,12272.03,21986.79,3834.90
Effective Prefill Throughput Per User (tokens/sec/user),154.19,0.00,8609.90,,,,,,117.45,,181.86,292.19,899.00,244.53
Effective Total Throughput (tokens/sec),5324.77,12.05,32391.15,,,,,,5042.73,,8433.19,12306.56,22004.39,3827.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1086.16,6.00,10550.00,123822.00,9.00,59.65,97.60,197.00,415.00,1088.50,2749.60,5053.95,7388.08,1736.47
HTTP Chunks Sent,1.00,1.00,1.00,114.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.85,0.00,1.58,96.41,0.00,0.00,0.00,0.68,1.03,1.15,1.23,1.27,1.38,0.40
HTTP Connection Overhead (ms),1.11,0.00,2.04,126.92,0.00,0.00,0.00,0.68,1.46,1.63,1.80,1.84,1.94,0.62
HTTP Connection Reused (ratio),0.14,0.00,1.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.35
HTTP Data Received (KB),270.07,2.09,2626.42,30787.61,2.84,15.45,24.87,49.65,103.80,270.40,680.16,1253.01,1821.94,430.53
HTTP Data Sent (KB),323.60,9.12,747.18,36890.39,9.26,78.33,98.35,186.35,330.99,425.67,552.96,697.81,743.01,175.86
HTTP DNS Lookup (ms),0.27,0.00,0.61,30.51,0.00,0.00,0.00,0.00,0.40,0.48,0.56,0.57,0.61,0.24
HTTP Duration (excl. conn) (ms),640786.48,52154.46,1145808.55,73049658.94,56249.29,95224.07,145567.75,592112.61,686010.54,833020.24,922417.67,961092.04,1077953.38,270863.39
HTTP Receiving (ms),58195.61,195.07,529463.82,6634300.04,296.69,2287.26,3926.16,9215.36,25470.02,61094.22,147149.84,257820.18,397252.47,87575.66
HTTP Sending (ms),1.13,0.26,1.91,129.37,0.26,0.28,0.31,0.95,1.30,1.44,1.53,1.58,1.73,0.41
HTTP Total Time (ms),640787.60,52156.20,1145810.02,73049785.86,56250.82,95225.94,145569.12,592114.43,686012.15,833021.53,922417.88,961092.51,1077954.10,270863.10
HTTP Waiting (TTFB) (ms),582589.73,14224.25,922483.05,66415229.53,15241.37,58695.15,96310.00,413582.73,639338.41,769536.77,888868.66,902149.79,916754.27,266826.36
Input Sequence Length (tokens),83416.97,2349.00,194151.00,9509535.00,2364.93,20010.95,25359.10,47618.50,85252.00,109484.75,142258.30,179474.20,193061.48,45429.54
Inter Chunk Latency (ms),59.28,0.12,4367.22,6634122.97,20.87,23.55,23.96,26.24,31.44,33.18,49.43,66.07,1012.77,181.16
Inter Token Latency (ms),67.78,20.80,517.64,7726.60,22.65,23.66,25.67,31.58,49.97,78.21,143.81,171.86,195.86,60.80
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1088.65,6.00,10571.00,124106.00,9.00,59.65,97.60,197.50,416.00,1091.75,2758.00,5063.60,7403.17,1739.68
Output Token Count (tokens),1088.65,6.00,10571.00,124106.00,9.00,59.65,97.60,197.50,416.00,1091.75,2758.00,5063.60,7403.17,1739.68
Output Token Throughput Per User (tokens/sec/user),22.28,1.93,48.08,2540.32,5.11,5.82,6.96,12.79,20.01,31.66,38.95,42.26,44.16,11.86
Prefill Throughput Per User (tokens/sec/user),377.27,2.68,8609.90,43008.44,4.84,27.45,42.64,78.83,140.36,217.27,917.82,1126.05,4922.78,984.30
Request Latency (ms),640785.06,52154.60,1145808.67,73049496.29,56249.43,95224.20,145567.88,592112.73,686010.66,833020.35,922417.77,961092.15,1077922.96,270861.93
Requested OSL (tokens),1088.65,6.00,10571.00,124106.00,9.00,59.65,97.60,197.50,416.00,1091.75,2758.00,5063.60,7403.17,1739.68
Time to First Output Token (ms),582590.99,14226.30,922484.13,66415373.32,15243.20,58696.91,96311.57,413584.22,639339.41,769538.33,888869.50,902150.62,916755.41,266826.14
Time to First Token (ms),582590.99,14226.30,922484.13,66415373.32,15243.20,58696.91,96311.57,413584.22,639339.41,769538.33,888869.50,902150.62,916755.41,266826.14
Time to Second Token (ms),98.87,0.15,1485.53,11271.40,0.19,0.23,0.29,0.39,0.67,230.59,284.08,302.73,354.56,178.04
Tokens In Flight (tokens),3439931.41,118784.02,4399904.05,,,,,,4162624.36,,4324407.00,4332896.92,4356015.31,1247987.99
Usage Completion Tokens (tokens),1088.65,6.00,10571.00,124106.00,9.00,59.65,97.60,197.50,416.00,1091.75,2758.00,5063.60,7403.17,1739.68
Usage Prompt Tokens (tokens),83416.97,2349.00,194151.00,9509535.00,2364.93,20010.95,25359.10,47618.50,85252.00,109484.75,142258.30,179474.20,193061.48,45429.54
Usage Total Tokens (tokens),84505.62,2361.00,194473.00,9633641.00,2482.71,20341.80,26312.60,47908.50,87400.00,112434.00,145492.40,183015.75,193886.40,45753.24

Metric,Value
Benchmark Duration (sec),1809.19
Input Token Throughput (tokens/sec),5256.23
Maximum Response Timestamp (ns),1780507132072560640.00
Minimum Request Timestamp (ns),1780505322880732416.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),68.60
Request Count,114.00
Request Throughput (requests/sec),0.06
Theoretical Prefix Cache Hit (%),95.46
Total Input Sequence Length (tokens),9509535.00
Total Output Sequence Length (tokens),124106.00
Total Output Tokens (tokens),124106.00
Total Token Throughput (tokens/sec),5324.83
Total Usage Completion Tokens (tokens),124106.00
Total Usage Prompt Tokens (tokens),9509535.00
Total Usage Total Tokens (tokens),9633641.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
