exp_name,tp,conc,offload,status,num_requests,throughput_rps,output_throughput_tps,total_throughput_tps,input_throughput_tps,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p90_tpot_ms,p99_tpot_ms,mean_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms
agentic_qwen3.5_tp4_conc16_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_05,4,16,hicache,SUCCESS,738,0.4,286.26,25314.09,25027.83,1748.23,1176.73,2561.36,6242.12,31.41,28.86,38.71,89.31,23945.42,11148.73,58446.56,177625.19
agentic_qwen3.5_tp4_conc16_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc16_mi355x-amds_02,4,16,none,SUCCESS,759,0.42,297.92,25918.95,25621.030000000002,1377.71,1144.15,2401.26,5080.54,29.79,28.72,36.6,54.93,22673.66,11500.98,53696.78,172268.16
agentic_qwen3.5_tp4_conc1_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_06,4,1,hicache,SUCCESS,52,0.03,31.27,2501.9,2470.63,1984.44,727.34,1429.14,30215.49,16.72,16.38,19.85,20.04,19793.09,8900.57,50317.49,108899.25
agentic_qwen3.5_tp4_conc1_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc1_mi355x-amds_07,4,1,none,SUCCESS,50,0.03,31.11,2482.66,2451.5499999999997,2080.54,769.98,1434.96,31591.31,17.02,16.53,19.94,20.08,20585.62,9141.64,51395.63,111107.76
agentic_qwen3.5_tp4_conc2_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_04,4,2,hicache,SUCCESS,137,0.08,51.06,4222.77,4171.71,1640.48,754.83,1305.13,38406.44,15.99,14.96,20.54,24.07,12398.81,6827.39,26451.57,69077.29
agentic_qwen3.5_tp4_conc2_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc2_mi355x-amds_01,4,2,none,SUCCESS,137,0.08,51.16,4230.77,4179.610000000001,1587.68,782.81,1271.07,35532.09,15.88,14.96,20.55,23.51,12349.48,6852.0,26343.32,67431.03
agentic_qwen3.5_tp4_conc32_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_00,4,32,hicache,SUCCESS,810,0.44,292.22,28411.79,28119.57,2121.45,1966.75,3406.46,6341.99,81.89,81.14,93.84,135.09,56289.5,28061.64,115907.09,495979.41
agentic_qwen3.5_tp4_conc32_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc32_mi355x-amds_08,4,32,none,SUCCESS,1012,0.55,398.59,36138.78,35740.19,1907.33,1587.84,3456.8,5973.39,54.87,52.75,67.12,103.03,41094.67,20262.86,94075.01,318034.35
agentic_qwen3.5_tp4_conc40_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_07,4,40,hicache,SUCCESS,865,0.47,317.01,31359.67,31042.66,4057.64,2167.14,4200.06,61665.87,95.23,89.3,110.94,274.92,66356.33,34849.51,142100.08,543998.08
agentic_qwen3.5_tp4_conc40_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc40_mi355x-amds_06,4,40,none,SUCCESS,1074,0.59,416.62,38987.7,38571.079999999994,2208.4,1895.98,4082.41,7427.86,68.82,66.05,85.66,125.09,50499.21,26741.08,105394.83,381789.44
agentic_qwen3.5_tp4_conc48_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_03,4,48,hicache,SUCCESS,919,0.5,341.2,33424.94,33083.740000000005,3191.43,2319.65,4452.48,46521.07,106.8,100.35,134.92,285.09,75011.02,39761.49,163600.18,597524.57
agentic_qwen3.5_tp4_conc48_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc48_mi355x-amds_03,4,48,none,SUCCESS,1175,0.64,456.63,42445.38,41988.75,2213.91,1914.84,3820.49,6787.99,77.49,74.47,95.37,162.59,56715.49,29514.45,119550.39,436293.97
agentic_qwen3.5_tp4_conc4_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_04,4,4,hicache,SUCCESS,181,0.1,91.04,5642.26,5551.22,1633.21,935.63,1589.64,14152.91,19.47,18.05,23.66,35.79,18757.4,7677.83,51875.87,142174.04
agentic_qwen3.5_tp4_conc4_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc4_mi355x-amds_08,4,4,none,SUCCESS,188,0.1,92.46,5866.97,5774.51,1508.31,838.2,1500.99,11009.25,17.9,16.77,21.78,26.64,17314.36,7084.83,47375.49,132781.18
agentic_qwen3.5_tp4_conc8_offloadhicache_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_03,4,8,hicache,SUCCESS,372,0.21,170.96,12129.58,11958.62,1909.68,991.52,1905.34,58054.86,22.41,21.49,25.93,55.27,20512.85,9378.43,48421.99,188789.81
agentic_qwen3.5_tp4_conc8_offloadnone_fp8_sglang_tp4-ep1-dpafalse_disagg-false_spec-none_conc8_mi355x-amds_02,4,8,none,SUCCESS,390,0.21,174.71,12615.03,12440.320000000002,1213.64,1042.94,1860.86,4610.21,24.09,21.74,26.72,61.98,19306.7,9310.43,41839.36,149503.94
