# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 880d615a-592c-4236-9645-6928067fce42
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8890,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8890,gauge,sglang:cache_hit_rate,,0.1602,0.0000,0.9945,0.3356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8621,0.9214,0.9635,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8890,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8890,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8890,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8890,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8890,gauge,sglang:decode_sum_seq_lens,,604257.8907,46295.0000,1105569.0000,180264.0476,122571.0000,313817.0000,388900.0000,495720.0000,593035.0000,726365.0000,834029.0000,917339.0000,1022533.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8890,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8890,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8890,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8890,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8890,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
localhost:8890,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to start up.
localhost:8890,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to start up.
localhost:8890,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to start up.
localhost:8890,gauge,sglang:full_token_usage,,0.1387,0.0103,0.2456,0.0399,0.0386,0.0717,0.0906,0.1129,0.1379,0.1648,0.1907,0.2077,0.2278,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for full attention layers.
localhost:8890,gauge,sglang:gen_throughput,tokens/s,345.5928,23.3247,686.5442,116.9687,65.3515,136.8302,177.9869,260.7644,369.7112,422.1061,484.2488,526.6946,582.8841,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The generation throughput (token/s).
localhost:8890,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Whether the batch is using CUDA graph.
localhost:8890,gauge,sglang:kv_available_tokens,tokens,1822424.1983,578324.0000,3456775.0000,937388.2264,584154.4000,636372.0000,682405.0000,908436.0000,1746449.0000,2595016.5000,3230155.0000,3407425.0000,3453653.1000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8890,gauge,sglang:kv_evictable_tokens,tokens,2058312.1700,224528.0000,3646714.0000,922041.0393,346736.0000,530255.0000,711581.0000,1281568.0000,2269404.0000,2812680.0000,3253954.0000,3384403.0000,3584584.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8890,gauge,sglang:kv_used_tokens,tokens,624893.6317,46272.0000,1106406.0000,179554.6585,173714.0000,322972.0000,408185.0000,508661.0000,621312.0000,742619.0000,859334.0000,935601.5000,1026346.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8890,gauge,sglang:mamba_available_tokens,tokens,431.3881,1.0000,1200.0000,404.2948,2.0000,2.0000,2.0000,4.0000,361.0000,787.0000,1046.0000,1139.0000,1190.9400,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8890,gauge,sglang:mamba_evictable_tokens,tokens,846.1106,92.0000,1287.0000,404.3054,95.0000,135.0000,224.0000,492.0000,925.0000,1269.0000,1276.0000,1279.0000,1284.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8890,gauge,sglang:mamba_usage,,0.0143,0.0015,0.0247,0.0037,0.0046,0.0077,0.0093,0.0123,0.0139,0.0170,0.0185,0.0201,0.0231,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for Mamba layers.
localhost:8890,gauge,sglang:mamba_used_tokens,tokens,18.5014,2.0000,32.0000,4.8371,6.0000,10.0000,12.0000,16.0000,18.0000,22.0000,24.0000,26.0000,30.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used state slots in the mamba SSM pool.
localhost:8890,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum total number of tokens in the KV cache pool.
localhost:8890,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum total number of tokens in the KV cache pool.
localhost:8890,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum total number of tokens in the KV cache pool.
localhost:8890,gauge,sglang:max_total_num_tokens,tokens,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum total number of tokens in the KV cache pool.
localhost:8890,gauge,sglang:new_token_ratio,ratio,0.1032,0.0980,0.7000,0.0512,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.3882,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The new token ratio.
localhost:8890,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the decode prealloc queue.
localhost:8890,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the decode transfer queue.
localhost:8890,gauge,sglang:num_grammar_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the grammar waiting queue.
localhost:8890,gauge,sglang:num_pages,,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of KV cache pages.
localhost:8890,gauge,sglang:num_pages,,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Number of KV cache pages.
localhost:8890,gauge,sglang:num_pages,,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Number of KV cache pages.
localhost:8890,gauge,sglang:num_pages,,4505630.0000,4505630.0000,4505630.0000,0.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,4505630.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Number of KV cache pages.
localhost:8890,gauge,sglang:num_prefill_bootstrap_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the prefill bootstrap queue.
localhost:8890,gauge,sglang:num_prefill_inflight_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the prefill inflight queue.
localhost:8890,gauge,sglang:num_queue_reqs,requests,0.0280,0.0000,3.0000,0.2060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the waiting queue.
localhost:8890,gauge,sglang:num_running_reqs,requests,8.9677,0.0000,16.0000,2.4069,3.0000,5.0000,6.0000,8.0000,9.0000,11.0000,12.0000,13.0000,14.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of running requests.
localhost:8890,gauge,sglang:num_unique_running_routing_keys,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of unique routing keys in running batch.
