Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),76.16,0.00,66921.61,,,,,,70.68,,132.28,146.37,159.52,65.72
Active Decode Throughput Per User (tokens/sec/user),60.56,0.00,66921.61,,,,,,64.84,,79.63,82.19,116.66,59.87
Active Prefill Throughput (tokens/sec),45629.64,686.75,205015.94,,,,,,40341.26,,112338.33,143489.35,185355.48,45785.90
Active Prefill Throughput Per User (tokens/sec/user),44440.41,686.75,205015.94,,,,,,39923.91,,106046.75,140185.70,185355.48,45273.84
Active Total Throughput (tokens/sec),6064.17,42.74,205015.94,,,,,,74.14,,2120.65,56707.27,120023.10,22629.92
Credit Drop Latency (ms),3.67,1.99,6.77,18.35,2.02,2.12,2.26,2.65,3.44,3.50,5.46,6.12,6.64,1.65
Credit-to-Start Latency (ms),1.56,1.06,8.20,213.69,1.09,1.14,1.22,1.31,1.39,1.50,1.68,2.04,5.38,0.84
E2E Output Token Throughput (tokens/sec/user),54.40,3.79,78.01,7452.78,4.25,34.40,37.29,47.77,56.71,65.76,69.49,70.95,76.28,14.57
Effective Concurrency,0.94,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.74
Effective Decode Concurrency,0.82,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.72
Effective Decode Throughput (tokens/sec),50.34,0.00,66921.61,,,,,,58.55,,116.60,138.09,159.12,63.44
Effective Decode Throughput Per User (tokens/sec/user),38.51,0.00,66921.61,,,,,,50.44,,76.02,79.91,115.97,55.94
Effective Latency (CO-aware) (ms),12400.75,299.18,105609.28,1698902.58,498.19,1332.68,2409.70,4150.78,6828.52,14914.06,26452.93,48972.94,69078.84,15484.80
Effective Prefill Concurrency,0.12,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.42
Effective Prefill Throughput (tokens/sec),4171.71,0.00,205015.94,,,,,,0.00,,0.00,34357.00,106046.75,19094.76
Effective Prefill Throughput Per User (tokens/sec/user),4062.98,0.00,205015.94,,,,,,0.00,,0.00,34357.00,96807.36,18746.98
Effective Total Throughput (tokens/sec),4222.69,0.00,205015.94,,,,,,67.34,,137.87,34417.67,106104.72,19088.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,655.38,6.00,5835.00,89787.00,8.16,22.40,97.80,226.00,372.00,757.00,1382.00,2363.00,3266.36,793.63
HTTP Chunks Sent,1.00,1.00,1.00,137.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.46,0.00,1.33,63.59,0.00,0.00,0.00,0.00,0.64,0.69,0.82,1.14,1.23,0.38
HTTP Connection Overhead (ms),0.50,0.00,1.84,68.08,0.00,0.00,0.00,0.00,0.64,0.69,0.82,1.58,1.72,0.46
HTTP Connection Reused (ratio),0.37,0.00,1.00,51.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),175.98,2.42,1560.49,24108.63,3.00,6.79,26.95,61.28,100.49,203.30,369.89,632.12,873.81,212.07
HTTP Data Sent (KB),187.96,1.56,405.22,25750.30,1.64,112.25,120.44,161.58,172.06,215.70,270.97,385.11,402.50,74.83
HTTP DNS Lookup (ms),0.03,0.00,0.52,4.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.49,0.12
