# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 97022e94-f1d5-416a-8744-55ad59fc26a8
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8892,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8892,gauge,sglang:cache_hit_rate,,0.0191,0.0000,0.9856,0.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8795,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8892,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8892,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8892,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8892,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8892,gauge,sglang:decode_sum_seq_lens,,73243.9172,424.0000,168078.0000,33694.9810,33781.0000,41734.0000,46848.0000,49546.0000,55792.0000,85752.0000,118528.0000,147199.2000,161131.2000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8892,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8892,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8892,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8892,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8892,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
localhost:8892,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to start up.
localhost:8892,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to start up.
localhost:8892,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to start up.
localhost:8892,gauge,sglang:full_token_usage,,0.0163,0.0000,0.0373,0.0078,0.0000,0.0091,0.0104,0.0110,0.0130,0.0204,0.0277,0.0328,0.0361,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for full attention layers.
localhost:8892,gauge,sglang:gen_throughput,tokens/s,73.8869,0.0000,136.8994,26.2261,0.0000,13.3740,50.6350,63.8297,73.7741,75.8693,115.1764,126.9926,135.0403,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The generation throughput (token/s).
localhost:8892,gauge,sglang:hicache_host_total_tokens,tokens,11718751.0000,11718751.0000,11718751.0000,0.0000,11718751.0000,11718751.0000,11718751.0000,11718751.0000,11718751.0000,11718751.0000,11718751.0000,11718751.0000,11718751.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Total capacity of the host KV cache in tokens.
localhost:8892,gauge,sglang:hicache_host_used_tokens,tokens,334644.9793,73475.0000,646412.0000,146922.8060,120020.0000,125490.0000,134636.0000,217025.0000,388581.0000,446708.0000,529370.0000,612599.0000,645061.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of tokens currently used in the host KV cache.
localhost:8892,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Whether the batch is using CUDA graph.
localhost:8892,gauge,sglang:kv_available_tokens,tokens,4120743.0807,3751975.0000,4385240.0000,179147.1549,3768848.0000,3807040.0000,3814553.0000,3992251.0000,4071813.0000,4265849.0000,4365956.0000,4375692.0000,4384920.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free token slots in the KV cache pool.
localhost:8892,gauge,sglang:kv_evictable_tokens,tokens,311760.4854,5490.0000,705403.0000,184389.0040,10543.0000,57670.0000,73989.0000,110049.0000,325529.0000,459613.0000,544356.0000,624656.0000,629492.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
localhost:8892,gauge,sglang:kv_used_tokens,tokens,73235.4339,0.0000,168077.0000,35280.5638,0.0000,40787.0000,46830.0000,49466.0000,58357.0000,91703.0000,124722.0000,147834.0000,162447.2000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used token slots in the KV cache pool.
localhost:8892,gauge,sglang:mamba_available_tokens,tokens,1141.2415,1011.0000,1285.0000,82.9735,1014.0000,1022.0000,1027.0000,1072.0000,1126.0000,1216.0000,1264.0000,1276.0000,1284.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
localhost:8892,gauge,sglang:mamba_evictable_tokens,tokens,152.3875,9.0000,283.0000,82.9559,10.0000,18.0000,30.0000,78.0000,166.0000,220.0000,265.0000,272.0000,280.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
localhost:8892,gauge,sglang:mamba_usage,,0.0018,0.0000,0.0031,0.0007,0.0000,0.0015,0.0015,0.0015,0.0015,0.0015,0.0031,0.0031,0.0031,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The token usage for Mamba layers.
localhost:8892,gauge,sglang:mamba_used_tokens,tokens,2.3710,0.0000,4.0000,0.8478,0.0000,2.0000,2.0000,2.0000,2.0000,2.0000,4.0000,4.0000,4.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Number of actively used state slots in the mamba SSM pool.
localhost:8892,gauge,sglang:max_total_num_tokens,tokens,4505739.0000,4505739.0000,4505739.0000,0.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum total number of tokens in the KV cache pool.
localhost:8892,gauge,sglang:max_total_num_tokens,tokens,4505739.0000,4505739.0000,4505739.0000,0.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum total number of tokens in the KV cache pool.
localhost:8892,gauge,sglang:max_total_num_tokens,tokens,4505739.0000,4505739.0000,4505739.0000,0.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum total number of tokens in the KV cache pool.
localhost:8892,gauge,sglang:max_total_num_tokens,tokens,4505739.0000,4505739.0000,4505739.0000,0.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,4505739.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum total number of tokens in the KV cache pool.
localhost:8892,gauge,sglang:new_token_ratio,ratio,0.4605,0.0980,0.7000,0.2783,0.0980,0.0980,0.0980,0.0980,0.7000,0.7000,0.7000,0.7000,0.7000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The new token ratio.
localhost:8892,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the decode prealloc queue.
localhost:8892,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The number of requests in the decode transfer queue.
