# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.8.0
# schema_version: 1.0
# benchmark_id: 1c6373a4-d1b1-4110-80ab-d955f43d2c4e
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,engine_type,gt,le,model_name,moe_ep_rank,pid,pp_rank,tp_rank,Description
localhost:8888,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,Number of unique routing keys with active requests
localhost:8888,gauge,sglang:cache_hit_rate,,0.3162,0.0000,0.9985,0.4226,0.0000,0.0000,0.0000,0.0000,0.0000,0.8593,0.9296,0.9481,0.9775,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The prefix cache hit rate.
localhost:8888,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,Maximum context length.
localhost:8888,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,Maximum context length.
localhost:8888,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,Maximum context length.
localhost:8888,gauge,sglang:context_len,,131072.0000,131072.0000,131072.0000,0.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,131072.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,Maximum context length.
localhost:8888,gauge,sglang:decode_sum_seq_lens,,1670634.2302,71662.0000,2208805.0000,230785.9166,802127.0000,1339743.0000,1409434.0000,1556510.0000,1672256.0000,1822162.0000,1939446.0000,2007189.0000,2116804.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The sum of all sequence lengths in decode.
localhost:8888,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to load weights.
localhost:8888,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,1,The time taken for the engine to load weights.
localhost:8888,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,2,The time taken for the engine to load weights.
localhost:8888,gauge,sglang:engine_load_weights_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,3,The time taken for the engine to load weights.
localhost:8888,gauge,sglang:engine_startup_time,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unified,,,Qwen/Qwen3.5-397B-A17B-FP8,0,,0,0,The time taken for the engine to start up.
